Gene	effect.size_ZT0	p.value_ZT0	q.value_ZT0	Mean_ZT0	CV2_ZT0	TechNoise_ZT0	BioVar_ZT0
AT2G14247	2.162259806	0	0	31.78571429	2.180118672	0.017858866	6.931622374
AT4G19112	1.869670596	0	0	13	1.909877105	0.040206509	5.56990692
AT1G13609	1.761466668	0	0	18.14285714	1.790954659	0.02948799	5.924457495
ATCG01080	1.604244879	0	0	8.285714286	1.665965426	0.061720547	4.7544638
AT2G24940	1.392026519	0	0	6.357142857	1.471745021	0.079718501	4.206469349
AT3G20395	1.112819058	0	0	12.71428571	1.153875288	0.041056229	4.812742361
ATCG00520	0.969346353	0	0	11.14285714	1.015854954	0.046508601	4.449053072
AT5G09672	0.926158189	0	0	7.214285714	0.996689616	0.070531427	3.820806169
ATCG00580	0.922784424	0	0	24.28571429	0.945419217	0.022634794	5.38434012
AT3G02480	0.922054759	0	0	5.857142857	1.008374136	0.086319377	3.546202758
AT1G43800	0.918999035	0	0	10.78571429	0.966968385	0.047969351	4.333283903
AT1G25472	0.886842324	0	0	6.071428571	0.970199627	0.083357303	3.540901114
AT1G55010	0.858780186	0	0	10.92857143	0.90615378	0.047373594	4.257600875
AT2G47880	0.832527472	0	0	15	0.867692308	0.035164835	4.624978167
ATCG01100	0.825214408	0	0	6.642857143	0.901607122	0.076392714	3.560991952
ATCG01060	0.818638295	0	0	13.5	0.857444339	0.038806044	4.465689743
AT1G47400	0.816771157	0	0	21.07142857	0.842493536	0.025722379	5.03356963
AT3G07273	0.811809081	0	0	11.64285714	0.856423188	0.044614107	4.262751988
ATCG00070	0.794120129	0	0	28.07142857	0.814025242	0.019905114	5.353862523
AT5G45428	0.769146706	0	0	46.92857143	0.782015373	0.012868667	5.925262419
ATCG00710	0.766125824	0	0	17.5	0.796609105	0.030483281	4.707781851
AT2G41240	0.745118094	0	0	9.642857143	0.798488973	0.053370879	3.903147811
AT1G47395	0.737155957	0	0	47	0.750008706	0.012852748	5.866758563
ATCG00680	0.724226009	0	0	28.07142857	0.744131122	0.019905114	5.22434585
AT1G31258	0.709182501	0	0	46	0.722262615	0.013080113	5.787076561
AT2G07732	0.679479992	0	0	52.85714286	0.691173793	0.011693801	5.885232653
AT5G45430	0.67089021	0	0	28.5	0.690531998	0.019641788	5.135710104
ATCG00020	0.657278512	0	0	150.8571429	0.662930937	0.005652425	6.873844748
ATCG00040	0.640607744	0	0	8.357142857	0.701821226	0.061213482	3.519182237
ATCG00490	0.61376839	0	0	77	0.622546285	0.008777895	6.148162343
ATCG00330	0.602439896	0	0	39.78571429	0.617189121	0.014749226	5.387001523
AT1G61275	0.593545606	4.01E-13	5.53E-11	5.5	0.685314685	0.09176908	2.90068656
ATCG00130	0.57819484	0	0	21.21428571	0.603760126	0.025565285	4.561717448
AT3G13857	0.576642413	0	0	9.428571429	0.631171858	0.054529445	3.532925498
ATCG00720	0.572288845	0	0	27.57142857	0.592511518	0.020222673	4.872797563
ATCG00340	0.564865525	0	0	43	0.578691184	0.013825659	5.387373514
AT4G22513	0.555502807	0	0	156.4285714	0.561039178	0.00553637	6.663017272
AT2G07671	0.542873981	0	0	11	0.589955499	0.047081518	3.64737338
ATCG00430	0.523153956	3.18E-13	4.43E-11	6.428571429	0.602013295	0.07885934	2.932441814
AT5G04150	0.518660148	1.22E-15	1.95E-13	7.785714286	0.58419066	0.065530512	3.156200593
AT4G22520	0.514956105	0	0	74	0.523992808	0.009036703	5.85760671
AT1G29951	0.511040796	0	0	9.285714286	0.566372326	0.05533153	3.355577059
AT4G22517	0.50444507	0	0	137.2857143	0.510419612	0.005974542	6.416711751
ATCG00730	0.50073242	0	0	29	0.520076832	0.019344412	4.748736023
AT5G50335	0.500274883	0	0	14.71428571	0.536076046	0.035801163	3.904359303
AT1G26250	0.492289846	0	0	9.785714286	0.544916536	0.05262669	3.372168701
AT4G10270	0.492064286	3.03E-14	4.51E-12	7.5	0.56	0.067935714	3.043184727
ATCG00270	0.491221268	0	0	31.28571429	0.50932729	0.018106022	4.814051488
ATCG00280	0.488862877	0	0	42.78571429	0.50274579	0.013882913	5.178446884
AT2G30766	0.487075885	0	0	172.6428571	0.492317126	0.005241241	6.553535698
ATCG00140	0.476325206	0	0	36.42857143	0.492213054	0.015887848	4.953287261
ATCG00350	0.465831442	0	0	37.71428571	0.481259271	0.015427829	4.963207339
ATCG00640	0.455574281	2.01E-14	3.02E-12	8.357142857	0.516787763	0.061213482	3.077650565
ATCG00540	0.448008714	0	0	10.42857143	0.497538866	0.049530152	3.328430276
AT4G22490	0.442715985	0	0	210.1428571	0.447449128	0.004733143	6.562781336
AT5G59330	0.437748965	2.61E-11	3.17E-09	6.714285714	0.513354459	0.075605494	2.763392344
AT1G63245	0.42446767	9.60E-10	8.96E-08	5.928571429	0.509775897	0.085308227	2.579106371
AT4G22510	0.417280155	4.50E-14	6.49E-12	9.071428571	0.473862178	0.056582024	3.066051838
AT1G25470	0.411301595	0	0	11.71428571	0.455658262	0.044356667	3.360729353
AT5G15120	0.400304953	7.55E-10	7.27E-08	6.428571429	0.479164292	0.07885934	2.603166867
AT5G07840	0.383498843	7.14E-10	6.92E-08	6.785714286	0.458333688	0.074834846	2.614616227
ATCG00120	0.37753014	0	0	23.28571429	0.401034172	0.023504032	4.092744992
AT5G27889	0.369730891	0	0	15.78571429	0.403264596	0.033533706	3.588042925
AT2G14580	0.369391653	9.59E-09	8.05E-07	6.214285714	0.45088773	0.081496077	2.467965733
AT3G05727	0.366088627	0	0	293.6428571	0.370156601	0.004067974	6.507681334
AT3G44006	0.361624488	0	0	14.07142857	0.398951869	0.037327381	3.417908521
AT3G55240	0.354469369	0	0	16.71428571	0.386273088	0.03180372	3.602353751
AT4G29030	0.345594442	0	0	34.78571429	0.362119579	0.016525137	4.453732062
AT5G03552	0.340734709	1.11E-16	1.83E-14	14.35714286	0.377366897	0.036632188	3.364784085
AT3G25572	0.330947523	3.54E-11	4.25E-09	9.357142857	0.385874949	0.054927426	2.812534793
ATCG00890	0.329924108	8.11E-08	6.00E-06	6.285714286	0.410521297	0.080597189	2.348655635
AT3G22231	0.323975888	5.47E-11	6.41E-09	9.428571429	0.378505333	0.054529445	2.795206243
AT5G58390	0.318941409	1.43E-09	1.31E-07	8.214285714	0.381177839	0.06223643	2.614633024
AT5G53450	0.317750332	0	0	44.71428571	0.331137715	0.013387383	4.628485475
AT4G22485	0.317503332	0	0	22.07142857	0.34216876	0.024665428	3.794145827
ATMG01390	0.313212335	0	0	75.92857143	0.322080313	0.008867978	5.182671414
