Gene	TypeV	ZT
AT4G23600	Variable	ZT8
AT2G39530	Variable	ZT8
AT3G09350	Variable	ZT8
AT1G08115	Variable	ZT8
AT1G65845	Variable	ZT8
AT3G05890	Variable	ZT8
AT1G62560	Variable	ZT8
AT1G75040	Variable	ZT8
AT2G37130	Variable	ZT8
AT2G03760	Variable	ZT8
AT2G38530	Variable	ZT8
AT4G12480	Variable	ZT8
AT5G13740	Variable	ZT8
AT2G42840	Variable	ZT8
AT2G01530	Variable	ZT8
AT3G15450	Variable	ZT8
AT3G28740	Variable	ZT8
AT3G24480	Variable	ZT8
AT2G31730	Variable	ZT8
ATCG00140	Variable	ZT8
AT5G50562	Variable	ZT8
AT4G17245	Variable	ZT8
AT4G12510	Variable	ZT8
AT4G12545	Variable	ZT8
AT2G43530	Variable	ZT8
AT2G43535	Variable	ZT8
AT2G28790	Variable	ZT8
AT1G03850	Variable	ZT8
AT1G70850	Variable	ZT8
AT5G51720	Variable	ZT8
AT3G03190	Variable	ZT8
AT2G33770	Variable	ZT8
AT3G22120	Variable	ZT8
AT5G47500	Variable	ZT8
AT1G21100	Variable	ZT8
AT1G52070	Variable	ZT8
AT5G45670	Variable	ZT8
AT5G54370	Variable	ZT8
AT1G55860	Variable	ZT8
AT2G40330	Variable	ZT8
AT5G15780	Variable	ZT8
AT3G30775	Variable	ZT8
AT3G02020	Variable	ZT8
AT3G58990	Variable	ZT8
AT3G16670	Variable	ZT8
AT2G16660	Variable	ZT8
AT1G78370	Variable	ZT8
AT1G57990	Variable	ZT8
AT1G49860	Variable	ZT8
AT5G08790	Variable	ZT8
AT4G24350	Variable	ZT8
AT5G15970	Variable	ZT8
ATCG00340	Variable	ZT8
AT5G63660	Variable	ZT8
AT5G23010	Variable	ZT8
AT1G74670	Variable	ZT8
AT1G55450	Variable	ZT8
AT1G78850	Variable	ZT8
AT5G19240	Variable	ZT8
ATCG00350	Variable	ZT8
AT5G08000	Variable	ZT8
AT4G39940	Variable	ZT8
AT4G11320	Variable	ZT8
AT5G25090	Variable	ZT8
AT1G17190	Variable	ZT8
AT4G21990	Variable	ZT8
AT3G01290	Variable	ZT8
AT5G25980	Variable	ZT8
AT4G18440	Variable	ZT8
AT1G48330	Variable	ZT8
AT3G08520	Variable	ZT8
AT5G37990	Variable	ZT8
AT4G12030	Variable	ZT8
AT5G35735	Variable	ZT8
AT1G66270	Variable	ZT8
AT3G25770	Variable	ZT8
AT1G17170	Variable	ZT8
AT3G16660	Variable	ZT8
AT4G36500	Variable	ZT8
AT2G40300	Variable	ZT8
AT2G43100	Variable	ZT8
AT5G44130	Variable	ZT8
AT2G46650	Variable	ZT8
AT1G03870	Variable	ZT8
AT5G42650	Variable	ZT8
AT2G01020	Variable	ZT8
AT1G62380	Variable	ZT8
AT5G53250	Variable	ZT8
AT1G67865	Variable	ZT8
AT1G08930	Variable	ZT8
AT1G44800	Variable	ZT8
AT1G45145	Variable	ZT8
AT5G17170	Variable	ZT8
AT4G04830	Variable	ZT8
AT2G38310	Variable	ZT8
AT4G39800	Variable	ZT8
AT1G29418	Variable	ZT8
AT1G19550	Variable	ZT8
AT1G21130	Variable	ZT8
AT3G05730	Variable	ZT8
AT1G76680	Variable	ZT8
AT4G38080	Variable	ZT8
AT5G53460	Variable	ZT8
AT3G19710	Variable	ZT8
AT4G30650	Variable	ZT8
AT2G43550	Variable	ZT8
AT2G46600	Variable	ZT8
AT1G70830	Variable	ZT8
AT3G20370	Variable	ZT8
AT3G09390	Variable	ZT8
AT1G54010	Variable	ZT8
AT1G31580	Variable	ZT8
AT3G02470	Variable	ZT8
AT1G21310	Variable	ZT8
AT2G45180	Variable	ZT8
AT1G70310	Stable	ZT8
AT2G45990	Stable	ZT8
AT1G01290	Stable	ZT8
AT2G25920	Stable	ZT8
AT5G19350	Stable	ZT8
AT4G18975	Stable	ZT8
AT1G53760	Stable	ZT8
AT4G09520	Stable	ZT8
AT4G18260	Stable	ZT8
AT2G44200	Stable	ZT8
AT5G18950	Stable	ZT8
AT2G18670	Stable	ZT8
AT3G03700	Stable	ZT8
AT5G44480	Stable	ZT8
AT4G35550	Stable	ZT8
AT4G17640	Stable	ZT8
AT3G26850	Stable	ZT8
AT5G62030	Stable	ZT8
AT1G27385	Stable	ZT8
AT2G26640	Stable	ZT8
AT2G33360	Stable	ZT8
AT1G48280	Stable	ZT8
AT5G26770	Stable	ZT8
AT4G22920	Stable	ZT8
AT4G02210	Stable	ZT8
AT3G15090	Stable	ZT8
AT1G09850	Stable	ZT8
AT1G67410	Stable	ZT8
AT4G39190	Stable	ZT8
AT3G08760	Stable	ZT8
AT1G74800	Stable	ZT8
AT3G55840	Stable	ZT8
AT1G23530	Stable	ZT8
AT1G57790	Stable	ZT8
AT5G23680	Stable	ZT8
AT5G13760	Stable	ZT8
AT3G47610	Stable	ZT8
AT4G33180	Stable	ZT8
AT2G17220	Stable	ZT8
AT2G47020	Stable	ZT8
AT5G49940	Stable	ZT8
AT5G53470	Stable	ZT8
AT4G35500	Stable	ZT8
AT4G21560	Stable	ZT8
AT1G49480	Stable	ZT8
AT4G39100	Stable	ZT8
AT1G26160	Stable	ZT8
AT4G17540	Stable	ZT8
AT3G28450	Stable	ZT8
AT2G31580	Stable	ZT8
AT1G23950	Stable	ZT8
AT5G12390	Stable	ZT8
AT4G36720	Stable	ZT8
AT3G11270	Stable	ZT8
AT1G14205	Stable	ZT8
AT2G13290	Stable	ZT8
AT5G02290	Stable	ZT8
AT4G10130	Stable	ZT8
AT2G21540	Stable	ZT8
AT5G59830	Stable	ZT8
AT5G37530	Stable	ZT8
AT4G10030	Stable	ZT8
AT5G51840	Stable	ZT8
AT5G19850	Stable	ZT8
AT2G02360	Stable	ZT8
AT3G29400	Stable	ZT8
AT4G31420	Stable	ZT8
AT2G37680	Stable	ZT8
AT4G11680	Stable	ZT8
AT5G20930	Stable	ZT8
AT1G65380	Stable	ZT8
AT1G55760	Stable	ZT8
AT1G77280	Stable	ZT8
AT2G37160	Stable	ZT8
AT5G13970	Stable	ZT8
AT1G77140	Stable	ZT8
AT3G47680	Stable	ZT8
AT5G07910	Stable	ZT8
AT5G56340	Stable	ZT8
AT1G30890	Stable	ZT8
AT4G34070	Stable	ZT8
AT1G64580	Stable	ZT8
AT2G32415	Stable	ZT8
AT5G67170	Stable	ZT8
AT5G51450	Stable	ZT8
AT1G51600	Stable	ZT8
AT3G21390	Stable	ZT8
AT4G33890	Stable	ZT8
AT3G13700	Stable	ZT8
AT5G16240	Stable	ZT8
AT1G18600	Stable	ZT8
AT5G25620	Stable	ZT8
AT1G16670	Stable	ZT8
AT1G69080	Stable	ZT8
AT3G09710	Stable	ZT8
AT4G21705	Stable	ZT8
AT3G21280	Stable	ZT8
AT4G02880	Stable	ZT8
AT2G21940	Stable	ZT8
AT4G28220	Stable	ZT8
AT3G29090	Stable	ZT8
AT1G75130	Stable	ZT8
AT3G54850	Stable	ZT8
AT2G33630	Stable	ZT8
AT3G58840	Stable	ZT8
AT3G61570	Stable	ZT8
AT3G19380	Stable	ZT8
AT5G26880	Stable	ZT8
AT5G23200	Stable	ZT8
AT5G23340	Stable	ZT8
AT3G57070	Stable	ZT8
AT2G33310	Stable	ZT8
AT2G39170	Stable	ZT8
AT3G15480	Stable	ZT8
AT5G04920	Stable	ZT8
AT3G59640	Stable	ZT8
AT1G01740	Stable	ZT8
AT3G26600	Stable	ZT8
AT5G23100	Stable	ZT8
AT1G61980	Stable	ZT8
AT2G34090	Stable	ZT8
AT4G26430	Stable	ZT8
AT5G35400	Stable	ZT8
AT3G07950	Stable	ZT8
