Gene	TypeV	ZT
AT2G24940	Variable	ZT16
AT1G43800	Variable	ZT16
AT1G31258	Variable	ZT16
AT3G20395	Variable	ZT16
AT3G28220	Variable	ZT16
AT4G22880	Variable	ZT16
AT4G12490	Variable	ZT16
AT4G22870	Variable	ZT16
AT3G13857	Variable	ZT16
AT4G31940	Variable	ZT16
AT4G22485	Variable	ZT16
AT5G42800	Variable	ZT16
AT3G29590	Variable	ZT16
AT5G45430	Variable	ZT16
ATCG01020	Variable	ZT16
AT4G27450	Variable	ZT16
AT5G54060	Variable	ZT16
AT5G09672	Variable	ZT16
AT4G10270	Variable	ZT16
AT1G52060	Variable	ZT16
AT5G45428	Variable	ZT16
AT1G25472	Variable	ZT16
AT4G22520	Variable	ZT16
AT3G03820	Variable	ZT16
AT2G04040	Variable	ZT16
AT5G17220	Variable	ZT16
ATCG00070	Variable	ZT16
AT4G22517	Variable	ZT16
AT4G22513	Variable	ZT16
AT4G35770	Variable	ZT16
AT4G22505	Variable	ZT16
AT1G52070	Variable	ZT16
AT5G24770	Variable	ZT16
AT4G22490	Variable	ZT16
AT2G41240	Variable	ZT16
AT4G26055	Variable	ZT16
AT2G42530	Variable	ZT16
AT1G55010	Variable	ZT16
AT4G22510	Variable	ZT16
AT5G38930	Variable	ZT16
AT3G22231	Variable	ZT16
AT4G19112	Variable	ZT16
ATCG00905	Variable	ZT16
AT2G16060	Variable	ZT16
AT2G42540	Variable	ZT16
AT3G02550	Variable	ZT16
AT2G36854	Variable	ZT16
AT3G44006	Variable	ZT16
AT3G14981	Variable	ZT16
AT1G52000	Variable	ZT16
AT1G63245	Variable	ZT16
AT4G13493	Variable	ZT16
AT1G26250	Variable	ZT16
AT4G36850	Variable	ZT16
AT1G01580	Variable	ZT16
AT4G33560	Variable	ZT16
AT1G77120	Variable	ZT16
AT1G52400	Variable	ZT16
AT4G17470	Variable	ZT16
AT3G27027	Variable	ZT16
AT3G05727	Variable	ZT16
AT1G13609	Variable	ZT16
AT5G51720	Variable	ZT16
AT4G15700	Variable	ZT16
AT5G18661	Variable	ZT16
AT4G19690	Variable	ZT16
AT5G35480	Variable	ZT16
AT5G63160	Variable	ZT16
AT2G16005	Variable	ZT16
AT4G29030	Variable	ZT16
AT5G38940	Variable	ZT16
AT2G47880	Variable	ZT16
AT3G22235	Variable	ZT16
AT3G56980	Variable	ZT16
AT5G54370	Variable	ZT16
ATCG00640	Variable	ZT16
AT3G56970	Variable	ZT16
AT5G15120	Variable	ZT16
AT1G47600	Variable	ZT16
AT4G14090	Variable	ZT16
AT5G04238	Variable	ZT16
AT2G14247	Variable	ZT16
AT2G14580	Variable	ZT16
AT4G33070	Variable	ZT16
AT4G02380	Variable	ZT16
AT1G52050	Variable	ZT16
AT5G59330	Variable	ZT16
AT5G35190	Variable	ZT16
AT5G45650	Variable	ZT16
AT1G31690	Variable	ZT16
AT1G02850	Variable	ZT16
AT1G49860	Variable	ZT16
AT5G45080	Variable	ZT16
AT4G30140	Variable	ZT16
AT5G03545	Variable	ZT16
AT5G56840	Variable	ZT16
AT5G60530	Variable	ZT16
ATCG00330	Variable	ZT16
AT5G64110	Variable	ZT16
AT5G39890	Variable	ZT16
AT5G10130	Variable	ZT16
ATCG01060	Variable	ZT16
AT5G48485	Variable	ZT16
AT5G26200	Variable	ZT16
AT5G56080	Variable	ZT16
AT1G51470	Variable	ZT16
AT5G47990	Variable	ZT16
AT1G62500	Variable	ZT16
AT1G77760	Variable	ZT16
AT2G37770	Variable	ZT16
AT4G37160	Variable	ZT16
AT2G41090	Variable	ZT16
AT1G68600	Variable	ZT16
AT3G28550	Variable	ZT16
AT5G45070	Variable	ZT16
AT3G02240	Variable	ZT16
AT4G33610	Variable	ZT16
AT4G15160	Variable	ZT16
AT3G01940	Variable	ZT16
AT5G57080	Variable	ZT16
AT1G25470	Variable	ZT16
AT3G20380	Variable	ZT16
AT3G06390	Variable	ZT16
AT2G28780	Variable	ZT16
AT5G09670	Variable	ZT16
AT3G18200	Variable	ZT16
AT1G74770	Variable	ZT16
AT4G30270	Variable	ZT16
AT2G39530	Variable	ZT16
AT5G04150	Variable	ZT16
AT2G40610	Variable	ZT16
AT1G66800	Variable	ZT16
AT5G63660	Variable	ZT16
AT2G45220	Variable	ZT16
AT1G51840	Variable	ZT16
AT1G23720	Variable	ZT16
AT5G43180	Variable	ZT16
AT1G14960	Variable	ZT16
AT1G13590	Variable	ZT16
AT4G12510	Variable	ZT16
AT2G01520	Variable	ZT16
AT5G59090	Variable	ZT16
AT1G15380	Variable	ZT16
AT3G25190	Variable	ZT16
AT5G02780	Variable	ZT16
AT4G22460	Variable	ZT16
AT4G16690	Variable	ZT16
AT5G09530	Variable	ZT16
AT5G62340	Variable	ZT16
AT4G00651	Variable	ZT16
AT2G05540	Variable	ZT16
AT1G50060	Variable	ZT16
AT1G32450	Variable	ZT16
AT3G15450	Variable	ZT16
AT5G58570	Variable	ZT16
ATCG00340	Variable	ZT16
AT4G11210	Variable	ZT16
AT2G19590	Variable	ZT16
AT3G57157	Variable	ZT16
AT1G67148	Variable	ZT16
AT3G54040	Variable	ZT16
AT2G05380	Variable	ZT16
AT1G22160	Variable	ZT16
AT3G58810	Variable	ZT16
AT5G13580	Variable	ZT16
AT2G47540	Variable	ZT16
AT4G12545	Variable	ZT16
AT3G25760	Variable	ZT16
AT1G02930	Variable	ZT16
AT1G47400	Variable	ZT16
AT3G54580	Variable	ZT16
AT1G73120	Variable	ZT16
AT5G01740	Variable	ZT16
AT2G20670	Variable	ZT16
AT2G36030	Variable	ZT16
