Gene	effect.size_ZT4	p.value_ZT4	q.value_ZT4	Mean_ZT4	CV2_ZT4	TechNoise_ZT4	BioVar_ZT4
AT2G24940	1.89668405	0	0	5.785714286	1.98625913	0.08957508	4.470812607
AT5G03545	1.488051922	0	0	12.78571429	1.52945865	0.041406728	5.207012074
AT2G14247	1.406896166	0	0	10.71428571	1.456	0.049103834	4.890030858
AT5G20790	1.375385898	0	0	6.285714286	1.457962492	0.082576594	4.142076877
AT5G18661	1.364790472	0	0	6.5	1.444697315	0.079906842	4.176304409
AT5G47990	1.328895508	0	0	8.642857143	1.389385971	0.060490462	4.521595935
AT4G19112	1.291083882	0	0	9.5	1.346260388	0.055176506	4.608759567
AT1G13609	1.28639963	0	0	10.5	1.336473051	0.050073421	4.738241923
AT5G45428	1.20097845	0	0	33.64285714	1.217703046	0.016724596	6.186047171
AT4G37095	1.181866398	0	0	26.64285714	1.202566296	0.020699898	5.860348969
AT5G48000	1.144503031	0	0	9.642857143	1.198885723	0.054382693	4.462402754
AT4G22520	1.096820079	0	0	66.07142857	1.106118469	0.00929839	6.894309192
AT5G27889	1.079155893	0	0	8.214285714	1.142719209	0.063563316	4.168132756
AT2G43020	1.029741576	0	0	6.714285714	1.107149075	0.0774075	3.838232334
AT1G61800	0.962295917	0	0	8.642857143	1.02278638	0.060490462	4.079653354
AT4G22517	0.920323305	0	0	109.3571429	0.92657219	0.006248885	7.212160866
AT1G55010	0.908653139	0	0	11.21428571	0.955638706	0.046985567	4.346175738
AT5G48850	0.831948324	0	0	7.357142857	0.902731353	0.070783029	3.672821316
AT5G48010	0.825313348	0	0	9.857142857	0.878548463	0.053235115	4.04467178
AT1G01580	0.785633651	0	0	26.57142857	0.806384909	0.020751258	5.280197968
AT5G59320	0.779216763	0	0	15.28571429	0.814112082	0.034895319	4.544122004
AT5G59330	0.768827187	0	0	9.142857143	0.826096755	0.057269568	3.850470133
AT4G22513	0.727108839	0	0	138.0714286	0.732389685	0.005280846	7.115698639
ATCG00300	0.726322094	0	0	16.64285714	0.758501864	0.03217977	4.558926812
AT5G08760	0.721105134	0	0	12.07142857	0.764867638	0.043762505	4.127442895
AT4G22510	0.699895938	0	0	10.28571429	0.750979345	0.051083406	3.877846594
AT5G09672	0.681170021	0	0	8.357142857	0.743674034	0.062504013	3.572649677
AT4G22490	0.665860536	0	0	168.5714286	0.670474333	0.004613797	7.183083841
AT2G01520	0.622915788	0	0	39.64285714	0.637350365	0.014434577	5.464485959
AT1G31258	0.619113001	0	0	35.78571429	0.63493158	0.015818579	5.326909219
AT4G31940	0.615532679	0	0	77.21428571	0.623719258	0.00818658	6.251492198
AT4G22505	0.607914065	0	0	36.85714286	0.623319142	0.015405077	5.338493213
AT2G42540	0.583190707	0	0	63.64285714	0.592783088	0.009592381	5.949471532
AT1G09240	0.537030582	2.33E-15	4.78E-13	7.5	0.606495726	0.069465145	3.126136315
AT3G02480	0.519170049	0	0	14.14285714	0.556756375	0.037586326	3.888766376
AT2G14580	0.516581504	3.83E-13	6.93E-11	6.642857143	0.594804201	0.078222697	2.926755649
AT1G14960	0.51102444	4.06E-13	7.25E-11	6.714285714	0.588431939	0.0774075	2.926330304
AT5G26220	0.499854988	0	0	15	0.535384615	0.035529628	3.913481204
AT2G15128	0.489821409	1.64E-11	2.49E-09	6.142857143	0.574281316	0.084459908	2.765419049
AT5G45430	0.486377984	0	0	65	0.495803368	0.009425384	5.717072858
AT4G22485	0.466531533	0	0	23.42857143	0.489852652	0.023321119	4.392638953
AT5G40590	0.455797285	6.66E-16	1.40E-13	9.5	0.510973791	0.055176506	3.211123289
AT1G47395	0.455465687	0	0	23.85714286	0.4783965	0.022930813	4.382847417
AT5G66400	0.447421665	0	0	19.14285714	0.475607039	0.028185374	4.076751447
AT3G05727	0.435658837	0	0	312	0.438884464	0.003225626	7.088118141
AT1G25472	0.424588642	7.68E-10	9.97E-08	6.142857143	0.50904855	0.084459908	2.591464682
AT5G57080	0.422823581	4.00E-14	7.98E-12	9.142857143	0.480093149	0.057269568	3.067473718
AT3G49580	0.408740592	0	0	14.5	0.44544041	0.036699818	3.601387631
AT3G02040	0.405748531	2.87E-11	4.23E-09	7.5	0.475213675	0.069465145	2.774215188
AT4G33610	0.396516429	5.67E-14	1.10E-11	9.785714286	0.450128485	0.053612056	3.069707486
AT2G41100	0.393702521	0	0	19.21428571	0.421789043	0.028086522	3.908571737
AT5G04238	0.393345491	1.14E-13	2.14E-11	9.642857143	0.447728184	0.054382693	3.041403647
AT3G29250	0.391530846	0	0	14.42857143	0.428404455	0.036873609	3.538312966
AT5G56080	0.379535024	0	0	74.64285714	0.387948712	0.008413688	5.526983724
AT1G47400	0.367933231	0	0	14.35714286	0.40498236	0.037049128	3.450347556
AT4G19690	0.348227062	0	0	121.3571429	0.354015674	0.005788613	5.93445179
AT1G61275	0.338377709	2.07E-10	2.81E-08	8.571428571	0.399358974	0.060981265	2.711248143
AT1G55990	0.336024809	2.13E-11	3.21E-09	9.571428571	0.390801446	0.054776637	2.834803199
AT4G11460	0.33538285	3.96E-07	3.55E-05	5.714285714	0.426057692	0.090674843	2.232274558
AT2G43018	0.332248837	0	0	18.21428571	0.361789844	0.029541007	3.614360993
AT1G65486	0.307139556	0	0	21.64285714	0.332253332	0.025113776	3.725732797
AT5G23980	0.286019769	8.00E-06	0.000613083	5.5	0.380165289	0.09414552	2.013662458
AT4G21870	0.281375609	0	0	35.64285714	0.2972512	0.015875591	4.226800435
AT5G09520	0.279236918	8.74E-12	1.35E-09	12.64285714	0.321093506	0.041856589	2.939466854
AT2G36854	0.277969363	7.94E-08	7.93E-06	7.928571429	0.343765803	0.06579644	2.385344604
AT1G43800	0.27610725	1.20E-07	1.18E-05	7.785714286	0.343081714	0.066974464	2.35686919
AT3G17790	0.270902299	2.60E-13	4.75E-11	15.28571429	0.305797618	0.034895319	3.13147174
ATCG01020	0.261646089	0	0	42.28571429	0.275278137	0.013632048	4.335815844
AT4G39675	0.257843302	4.44E-16	9.63E-14	21.07142857	0.2835949	0.025751597	3.461097751
AT5G64110	0.253638852	1.62E-09	2.04E-07	11.14285714	0.30091539	0.047276537	2.670161612
ATCG00070	0.251927388	0	0	26	0.273099681	0.021172294	3.689178153
AT5G15120	0.251665872	4.47E-06	0.000347723	6.714285714	0.329073371	0.0774075	2.087864035
AT1G73120	0.251362055	0	0	48.57142857	0.263436252	0.012074197	4.447454742
AT3G14981	0.249341108	3.58E-05	0.002507578	5.642857143	0.341143554	0.091802447	1.893774448
AT2G30766	0.247835492	0	0	108.7142857	0.254111901	0.00627641	5.339380635
AT5G38930	0.247361024	1.72E-08	1.87E-06	10.07142857	0.299497394	0.05213637	2.522181406
AT4G30140	0.244942933	0	0	69.14285714	0.253899087	0.008956155	4.825231923
AT4G30270	0.240042167	0	0	48.71428571	0.252085631	0.012043464	4.387591618
AT3G46700	0.231372637	1.29E-05	0.000954332	6.785714286	0.307982101	0.076609464	2.007251978
AT5G38940	0.229580391	1.92E-12	3.21E-10	17.78571429	0.259794817	0.030214426	3.104063195
AT3G49570	0.229096735	7.58E-07	6.69E-05	8.642857143	0.289587197	0.060490462	2.259218227
AT5G26270	0.225599339	4.80E-13	8.46E-11	19.42857143	0.253393665	0.027794326	3.188518148
AT2G22510	0.224438535	6.66E-16	1.40E-13	25.85714286	0.245718995	0.02128046	3.529408115
