Gene	effect.size_ZT22	p.value_ZT22	q.value_ZT22	Mean_ZT22	CV2_ZT22	TechNoise_ZT22	BioVar_ZT22
ATCG01020	2.625481512	0	0	62.35714286	2.636377225	0.010895714	7.918652278
AT4G22505	1.488376444	0	0	28.21428571	1.508451555	0.020075111	6.231516601
AT5G27889	1.386407029	0	0	10.92857143	1.432999142	0.046592114	4.94280816
AT3G05727	1.313329688	0	0	289.1428571	1.318275818	0.00494613	8.058136311
AT4G22490	1.278837221	0	0	202.4285714	1.284484122	0.005646901	7.829514023
AT4G22485	1.22022439	0	0	23.35714286	1.243785776	0.023561386	5.722169808
AT5G45428	1.041955868	0	0	44.42857143	1.055912605	0.013956738	6.241384878
AT1G31258	1.020217491	0	0	40.71428571	1.035145489	0.014927998	6.115669045
AT4G19112	1.009215657	0	0	11.5	1.053657118	0.044441461	4.567355408
AT4G22513	1.000782137	0	0	113.2857143	1.00826773	0.007485594	7.073546333
AT4G22517	0.993429309	0	0	105.2142857	1.001235213	0.007805903	7.002999625
AT1G55010	0.942212506	0	0	9.142857143	0.997258113	0.055045607	4.179267628
AT4G22520	0.929609031	0	0	50.14285714	0.942352491	0.01274346	6.208437838
AT2G14580	0.800875127	0	0	7.857142857	0.864386523	0.063511396	3.766589199
AT5G42800	0.793046281	0	0	13.42857143	0.831580597	0.038534316	4.431640413
AT2G14247	0.791994166	0	0	69.71428571	0.802089363	0.010095197	6.31202208
AT1G25470	0.785416938	0	0	8.214285714	0.846310891	0.060893954	3.796816843
AT4G29030	0.783848473	0	0	42.57142857	0.798269655	0.014421183	5.790614794
AT5G59330	0.777295524	0	0	7.071428571	0.847495938	0.070200414	3.593655006
AT4G12490	0.776673757	0	0	7.714285714	0.841299989	0.064626232	3.70242854
ATCG01060	0.742908011	0	0	6.071428571	0.824125632	0.081217621	3.342999606
AT1G77120	0.739121233	0	0	10.07142857	0.789396912	0.050275678	3.972818333
AT5G38930	0.719422482	0	0	11.64285714	0.763359265	0.043936783	4.11886105
AT5G04790	0.698542061	0	0	14.5	0.734473612	0.035931551	4.35338755
