Gene	TypeV	ZT
ATCG01020	Variable	ZT22
AT4G22505	Variable	ZT22
AT5G27889	Variable	ZT22
AT3G05727	Variable	ZT22
AT4G22490	Variable	ZT22
AT4G22485	Variable	ZT22
AT5G45428	Variable	ZT22
AT1G31258	Variable	ZT22
AT4G19112	Variable	ZT22
AT4G22513	Variable	ZT22
AT4G22517	Variable	ZT22
AT1G55010	Variable	ZT22
AT4G22520	Variable	ZT22
AT2G14580	Variable	ZT22
AT5G42800	Variable	ZT22
AT2G14247	Variable	ZT22
AT1G25470	Variable	ZT22
AT4G29030	Variable	ZT22
AT5G59330	Variable	ZT22
AT4G12490	Variable	ZT22
ATCG01060	Variable	ZT22
AT1G77120	Variable	ZT22
AT5G38930	Variable	ZT22
AT5G04790	Variable	ZT22
AT5G36920	Variable	ZT22
AT3G25572	Variable	ZT22
AT1G19070	Variable	ZT22
AT4G22880	Variable	ZT22
AT5G03552	Variable	ZT22
AT1G29951	Variable	ZT22
AT4G22510	Variable	ZT22
AT3G13857	Variable	ZT22
AT5G17220	Variable	ZT22
AT5G47990	Variable	ZT22
AT5G45430	Variable	ZT22
AT1G43800	Variable	ZT22
AT5G38940	Variable	ZT22
AT3G02480	Variable	ZT22
AT1G52400	Variable	ZT22
AT3G12900	Variable	ZT22
AT5G03545	Variable	ZT22
AT5G07840	Variable	ZT22
AT5G57080	Variable	ZT22
AT1G13609	Variable	ZT22
AT4G35770	Variable	ZT22
AT2G16005	Variable	ZT22
AT5G09672	Variable	ZT22
AT5G51720	Variable	ZT22
AT4G13493	Variable	ZT22
AT4G11210	Variable	ZT22
AT1G14960	Variable	ZT22
AT5G09520	Variable	ZT22
AT4G10270	Variable	ZT22
AT1G55990	Variable	ZT22
AT2G36030	Variable	ZT22
AT5G24770	Variable	ZT22
AT2G33790	Variable	ZT22
AT1G14250	Variable	ZT22
AT1G52000	Variable	ZT22
AT1G47400	Variable	ZT22
AT3G07273	Variable	ZT22
AT1G25472	Variable	ZT22
AT5G15120	Variable	ZT22
AT2G47880	Variable	ZT22
AT1G64220	Variable	ZT22
AT5G48010	Variable	ZT22
AT4G22230	Variable	ZT22
AT5G48000	Variable	ZT22
AT3G27027	Variable	ZT22
ATCG00710	Variable	ZT22
AT1G08115	Variable	ZT22
AT1G02710	Variable	ZT22
AT2G37770	Variable	ZT22
AT2G19590	Variable	ZT22
ATCG00330	Variable	ZT22
AT2G43670	Variable	ZT22
AT2G01520	Variable	ZT22
AT2G01530	Variable	ZT22
AT4G33610	Variable	ZT22
AT4G39675	Variable	ZT22
ATCG00820	Variable	ZT22
AT3G08770	Variable	ZT22
AT5G39890	Variable	ZT22
AT3G45140	Variable	ZT22
AT3G06390	Variable	ZT22
AT1G47395	Variable	ZT22
AT4G08555	Variable	ZT22
AT2G16060	Variable	ZT22
ATCG00520	Variable	ZT22
AT1G21520	Variable	ZT22
AT5G56080	Variable	ZT22
AT4G02380	Variable	ZT22
ATCG00340	Variable	ZT22
AT1G05065	Variable	ZT22
AT1G63245	Variable	ZT22
AT5G53450	Variable	ZT22
AT1G11600	Variable	ZT22
AT4G12550	Variable	ZT22
AT5G04150	Variable	ZT22
AT1G65970	Variable	ZT22
AT5G18404	Variable	ZT22
ATCG00350	Variable	ZT22
AT3G16360	Variable	ZT22
AT5G04238	Variable	ZT22
