Gene	effect.size_ZT14	p.value_ZT14	q.value_ZT14	Mean_ZT14	CV2_ZT14	TechNoise_ZT14	BioVar_ZT14
AT1G43800	4.185233204	0	0	14.28571429	4.242215385	0.05698218	6.218163236
AT4G10270	1.998094047	0	0	10.5	2.074655503	0.076561456	4.76010972
AT2G24940	1.982773809	0	0	7.5	2.088888889	0.10611508	4.299034162
AT4G19112	1.878140946	0	0	10.14285714	1.957303954	0.079163007	4.627897581
AT2G41240	1.395758725	0	0	26.35714286	1.427869609	0.032110884	5.474658059
AT3G02550	1.272234022	0	0	8.642857143	1.364671392	0.09243737	3.88393358
AT1G07901	1.238548764	0	0	11.21428571	1.310404229	0.071855465	4.188770223
ATCG00070	1.161775041	0	0	17.71428571	1.208246618	0.046471577	4.700422542
AT1G55010	1.1521565	0	0	9.642857143	1.235285428	0.083128928	3.893350016
AT4G31940	1.08789656	0	0	11.35714286	1.15888186	0.070985301	4.029069384
AT3G18217	1.05870063	0	0	9.071428571	1.146897371	0.088196741	3.700867142
AT4G33560	1.030532499	0	0	18.71428571	1.074663929	0.04413143	4.605935263
AT5G04150	1.027036256	0	0	8.142857143	1.124985203	0.097948947	3.521732234
AT2G14247	0.952584153	0	0	73.85714286	0.965765376	0.013181223	6.195116566
AT1G25472	0.871181509	9.10E-15	1.17E-12	6.357142857	0.995892127	0.124710618	2.997405175
AT4G22505	0.8611748	0	0	27.85714286	0.891700804	0.030526004	4.868449082
AT1G77120	0.860624624	0	0	10.78571429	0.935228887	0.074604262	3.647989527
AT5G45428	0.835127177	0	0	27.35714286	0.866162163	0.031034986	4.802669749
AT5G27889	0.832964278	0	0	11.71428571	0.901867021	0.068902743	3.710281412
AT1G13609	0.819140016	0	0	38.92857143	0.841745774	0.022605758	5.218622395
AT1G25470	0.810070499	0	0	11.57142857	0.879790839	0.069720339	3.65750908
AT5G07840	0.80373466	9.99E-16	1.41E-13	7.428571429	0.910844333	0.107109673	3.08811574
AT4G27450	0.803002682	0	0	33.78571429	0.828641932	0.02563925	5.014322848
AT5G47990	0.78953602	0	0	23.71428571	0.824927141	0.035391122	4.542807309
AT3G13857	0.785795642	0	0	14.92857143	0.840439339	0.054643697	3.943016698
AT5G15120	0.759337959	5.94E-14	7.18E-12	7	0.872841444	0.113503486	2.942983002
AT4G12490	0.758457072	0	0	13.14285714	0.820161408	0.061704335	3.732464097
AT5G03545	0.758297404	0	0	31.92857143	0.785272243	0.026974839	4.863506647
AT4G22520	0.749491136	0	0	54.64285714	0.766365862	0.016874726	5.505097336
AT1G47400	0.746637021	0	0	47.64285714	0.765597711	0.01896069	5.335503134
AT5G13220	0.740746327	4.77E-15	6.33E-13	7.785714286	0.843065528	0.102319201	3.04256786
AT3G56980	0.712531784	0	0	28.5	0.742429623	0.02989784	4.63414113
AT2G16005	0.704097338	0	0	10.57142857	0.780159577	0.076062239	3.358516929
AT1G31258	0.690523295	0	0	38	0.713616024	0.023092729	4.949637438
AT5G58570	0.663263974	0	0	14.28571429	0.720246154	0.05698218	3.659907322
AT3G18000	0.656935077	0	0	15.35714286	0.710128552	0.053193474	3.738759035
AT3G56970	0.653582521	0	0	21.57142857	0.692223351	0.03864083	4.163039636
AT5G09672	0.643897991	0	0	11	0.717101081	0.07320309	3.292200045
AT5G45430	0.63876006	0	0	21.07142857	0.678254259	0.039494199	4.10211353
ATCG00350	0.635607442	0	0	38.28571429	0.658547818	0.022940376	4.843327278
ATCG00340	0.622813497	0	0	44.92857143	0.642757916	0.019944419	5.010218506
AT4G35770	0.611632474	0	0	67.92857143	0.625730435	0.014097961	5.471982843
AT3G20395	0.610957898	2.78E-12	3.02E-10	7.857142857	0.712371265	0.101413367	2.812381503
AT2G36854	0.594857457	6.66E-16	9.49E-14	10.64285714	0.670427181	0.075569724	3.149200388
AT4G22485	0.571635512	0	0	15.92857143	0.623016751	0.051381238	3.599957382
AT4G22517	0.547795587	0	0	98	0.558389133	0.010593546	5.720013384
AT5G48000	0.544888979	0	0	28.14285714	0.575132255	0.030243277	4.249207389
AT4G12550	0.5396513	0	0	21.35714286	0.578652966	0.039001667	3.891090703
AT1G01580	0.539418928	0	0	18.71428571	0.583550358	0.04413143	3.724978759
AT4G39675	0.534828663	2.54E-09	2.17E-07	6.857142857	0.650641026	0.115812363	2.490072529
AT4G22513	0.530005901	0	0	129.7142857	0.538664001	0.0086581	5.959191421
AT1G47395	0.523067355	0	0	74.85714286	0.53610826	0.013040905	5.361408463
AT4G22490	0.515199567	0	0	144.9285714	0.523229826	0.008030259	6.025854529
AT5G10380	0.500504132	1.22E-07	8.09E-06	6	0.632478632	0.131974501	2.260757535
AT1G14960	0.498067299	0	0	20.07142857	0.539395787	0.041328488	3.706135757
ATCG00330	0.496941278	0	0	41.42857143	0.518344462	0.021403184	4.598013801
AT3G44006	0.488667317	8.07E-12	8.48E-10	9.785714286	0.57062177	0.081954453	2.799640542
AT4G22510	0.482110722	3.10E-09	2.60E-07	7.642857143	0.586292387	0.104181665	2.492518923
AT1G53885	0.46894756	1.72E-06	9.82E-05	5.428571429	0.614532282	0.145584722	2.077629836
AT1G52060	0.459359677	1.11E-16	1.64E-14	15.57142857	0.511857976	0.052498299	3.285400979
AT2G01520	0.456367549	0	0	99.21428571	0.466864209	0.01049666	5.475000747
AT5G48010	0.452837147	0	0	20.57142857	0.493226199	0.040389052	3.610213246
AT2G43018	0.45065431	9.22E-07	5.36E-05	5.928571429	0.584186607	0.133532297	2.129240561
AT5G51720	0.44986688	0	0	37.07142857	0.473470975	0.023604096	4.326166877
AT5G38930	0.448157251	1.11E-11	1.13E-09	10.71428571	0.523241026	0.075083775	2.800902574
ATCG00270	0.405002991	0	0	29.78571429	0.433725847	0.028722856	3.916512285
AT5G53450	0.398060279	0	0	98.07142857	0.408648059	0.01058778	5.27038681
ATCG01060	0.395013149	9.96E-09	7.59E-07	9.071428571	0.483209889	0.088196741	2.45385273
AT1G52070	0.388624915	0	0	41.5	0.409995869	0.021370954	4.261886163
AT4G22230	0.387047833	3.35E-05	0.001469312	5.285714286	0.536494915	0.149447082	1.843929767
AT4G08555	0.386797168	1.11E-15	1.54E-13	18	0.432573599	0.045776431	3.240268717
AT3G28220	0.385651711	2.67E-12	2.93E-10	13.64285714	0.445192756	0.059541044	2.902473683
AT5G08760	0.383487039	0	0	21.78571429	0.42177413	0.038287091	3.461540659
AT3G14981	0.382805344	9.05E-07	5.29E-05	7.142857143	0.494092308	0.111286964	2.150495989
ATCG01020	0.376074101	0	0	23.57142857	0.411663488	0.035589387	3.531946517
ATCG00905	0.374088305	1.83E-08	1.34E-06	9.357142857	0.459673768	0.085585463	2.42517266
ATCG00580	0.372425816	4.11E-14	5.05E-12	16.71428571	0.421517558	0.049091742	3.102040469
AT2G16060	0.366987277	0	0	34.28571429	0.392291667	0.02530439	3.954467095
AT1G72900	0.357943539	3.26E-10	3.00E-08	12.14285714	0.424508917	0.066565377	2.672950968
AT5G09670	0.355650483	1.67E-13	1.93E-11	16.85714286	0.404348883	0.0486984	3.053654355
AT4G19690	0.350129924	0	0	91.42857143	0.361292443	0.011162519	5.016432524
AT1G66800	0.345603896	3.82E-05	0.001657097	5.928571429	0.479136193	0.133532297	1.843247071
AT3G27027	0.338800416	0.00030755	0.011080536	4.857142857	0.501197764	0.162397348	1.625851902
ATCG00730	0.334984866	2.15E-14	2.71E-12	19.71428571	0.377013556	0.042028689	3.165170031
AT3G12820	0.334620514	2.99E-06	0.000161011	7.642857143	0.43880218	0.104181665	2.074469291
AT2G36030	0.332580814	4.70E-06	0.000248956	7.428571429	0.439690487	0.107109673	2.037399546
AT3G05727	0.318411987	0	0	275.5714286	0.323904562	0.005492575	5.881942389
AT3G29250	0.318152754	0	0	31.64285714	0.345346983	0.027194229	3.666674188
AT5G37990	0.312739442	0	0	28.57142857	0.342569231	0.029829789	3.521569922
AT5G47240	0.309278225	2.29E-07	1.46E-05	10.07142857	0.388983684	0.079705459	2.286959207
ATCG00280	0.307840423	0	0	36.14285714	0.331982161	0.024141738	3.781504272
AT5G24780	0.306694743	6.17E-10	5.63E-08	14.28571429	0.363676923	0.05698218	2.674074654
AT3G60420	0.30041299	4.57E-11	4.49E-09	16.64285714	0.349703935	0.049290945	2.826739488
AT4G33610	0.298807191	2.84E-10	2.63E-08	15.35714286	0.352000666	0.053193474	2.726256978
AT2G23540	0.298057305	0	0	35.71428571	0.322456615	0.02439931	3.724192804
AT4G12545	0.296676807	0	0	42.35714286	0.317669477	0.020992669	3.91956894
AT4G27410	0.295723255	5.96E-06	0.000309131	8.357142857	0.391229342	0.095506087	2.034349991
ATCG00540	0.294636379	1.17E-05	0.00055999	7.928571429	0.395160233	0.100523854	1.974899884
