Gene	effect.size_ZT10	p.value_ZT10	q.value_ZT10	Mean_ZT10	CV2_ZT10	TechNoise_ZT10	BioVar_ZT10
AT3G02480	4.782083281	0	0	11.14285714	4.859429525	0.077346244	5.973311911
AT5G66400	3.42511681	0	0	8.285714286	3.528171591	0.103054781	5.097437388
AT4G19112	2.05345775	0	0	8.357142857	2.15565558	0.10219783	4.398690227
AT5G48850	1.747459501	0	0	23.28571429	1.785927498	0.038467997	5.536870994
AT5G45428	1.65838985	0	0	28.57142857	1.690257692	0.031867843	5.728998042
AT5G18661	1.554933522	0	0	5.785714286	1.701311948	0.146378426	3.538872852
AT4G19690	1.536135539	0	0	10.14285714	1.620832252	0.084696713	4.258284995
ATCG00070	1.323800595	0	0	13.78571429	1.386853958	0.063053363	4.459098735
AT2G42540	1.211463389	0	0	250.2142857	1.217575043	0.006111654	7.638232129
AT2G43020	1.161161851	0	0	6.5	1.291761493	0.130599642	3.306116878
AT4G22520	1.057399518	0	0	70.64285714	1.071950906	0.014551389	6.202938185
AT5G26220	1.020037666	0	0	50.5	1.039279709	0.019242042	5.755178255
AT3G49580	1.007375951	0	0	16.28571429	1.061178587	0.053802637	4.30184678
AT2G41240	0.988023535	0	0	12.57142857	1.056897648	0.068874113	3.939730032
AT3G22231	0.981341478	0	0	28.5	1.013282193	0.031940716	4.987495557
ATCG00300	0.953609853	1.67E-12	2.13E-10	5.214285714	1.115723833	0.162113981	2.782899552
AT2G42530	0.943810001	0	0	330.1428571	0.949117832	0.005307832	7.482320752
AT4G22513	0.919408385	0	0	144.5	0.927949028	0.008540643	6.763556981
AT1G25472	0.914134835	1.90E-11	2.18E-09	5	1.083076923	0.168942088	2.680535022
AT5G59330	0.900488624	2.66E-14	4.02E-12	6.357142857	1.033960359	0.133471735	2.953574713
AT4G39675	0.897019004	0	0	10.57142857	0.978395235	0.081376231	3.587738011
AT4G22490	0.896851144	0	0	127.5714286	0.906154693	0.009303549	6.605832332
AT2G43620	0.891686037	0	0	12.64285714	0.960186802	0.068500765	3.80912311
AT4G22517	0.859334118	0	0	111.7857143	0.869557262	0.010223144	6.410370184
AT1G77120	0.845333853	0	0	22	0.88588684	0.040552988	4.449242313
AT3G50480	0.835251207	2.44E-15	3.92E-13	7.428571429	0.949874829	0.114623622	3.05083302
AT1G61275	0.834586316	2.98E-11	3.31E-09	5.428571429	0.990411251	0.155824935	2.668101592
AT3G05727	0.77934091	0	0	224.4285714	0.785834034	0.006493124	6.919168014
AT4G37095	0.760464177	0	0	22	0.801017165	0.040552988	4.303953044
AT4G22485	0.738897586	0	0	15.85714286	0.794078902	0.055181317	3.847030582
AT2G16005	0.727272107	2.59E-09	2.44E-07	5.214285714	0.889386088	0.162113981	2.455801323
AT3G49570	0.701928278	0	0	16.14285714	0.756182341	0.054254063	3.800931072
AT4G22505	0.694098159	0	0	21.42857143	0.73565812	0.041559961	4.145769255
AT1G31258	0.68949334	0	0	30.42857143	0.71958657	0.03009323	4.579657414
AT1G55010	0.685607085	5.82E-11	6.20E-09	6.571428571	0.814817508	0.129210422	2.656754533
