Gene	effect.size_ZT8	p.value_ZT8	q.value_ZT8	Mean_ZT8	CV2_ZT8	TechNoise_ZT8	BioVar_ZT8
AT2G41240	3.935820769	0	0	3.142857143	4.171964399	0.23614363	4.142990322
AT2G24940	2.175793935	0	0	6.285714286	2.295136682	0.119342746	4.265397286
AT5G45428	2.087054344	0	0	27.28571429	2.116503217	0.029448872	6.167326482
AT4G19690	1.958082697	0	0	7.428571429	2.059456076	0.10137338	4.344512599
AT1G76600	1.676619808	0	0	10.78571429	1.747231059	0.070611252	4.629028507
AT1G13609	1.662882381	0	0	9.857142857	1.739905967	0.077023585	4.497565245
AT5G24770	1.510330914	0	0	23.21428571	1.544498862	0.034167948	5.498351396
AT2G14247	1.206703483	0	0	20.42857143	1.245184079	0.038480596	5.016084085
AT1G77120	1.200536074	0	0	9.857142857	1.277559659	0.077023585	4.051946571
AT2G43020	1.07947203	0	0	12.07142857	1.142833288	0.063361258	4.172870185
AT5G20790	1.066717191	0	0	15.5	1.11662531	0.049908119	4.483726809
AT1G55010	1.043135097	0	0	7.214285714	1.147444067	0.104308969	3.459488709
AT5G18661	1.009144308	0	0	6.785714286	1.119880673	0.110736365	3.338144037
AT5G48850	0.926102848	0	0	13.64285714	0.98245873	0.056355882	4.1237587
AT4G17490	0.905370133	0	0	12.5	0.966646154	0.061276021	3.979593353
AT3G56980	0.819539751	8.70E-14	1.39E-11	6	0.944444444	0.124904693	2.918638249
AT3G23550	0.813934898	3.33E-16	6.57E-14	7.142857143	0.919261538	0.10532664	3.125604998
AT1G47400	0.803012998	0	0	23.14285714	0.837278557	0.034265559	4.61087654
AT5G03545	0.797583239	0	0	38.42857143	0.819230078	0.02164684	5.242040365
AT2G36030	0.790832434	0	0	7.857142857	0.886815003	0.095982569	3.207788838
AT5G45430	0.755421399	0	0	52.64285714	0.771909635	0.016488237	5.54892295
AT1G47395	0.743016516	0	0	39.14285714	0.764314725	0.021298209	5.165362823
AT4G17470	0.737159699	2.90E-14	4.94E-12	7	0.844583987	0.107424289	2.97492067
AT2G43620	0.730523764	0	0	8.714285714	0.817315445	0.08679168	3.235264337
AT4G15700	0.719042619	1.15E-11	1.50E-09	5.857142857	0.846931771	0.127889152	2.727351851
AT5G26220	0.706270652	0	0	35.85714286	0.729287569	0.023016918	4.985721248
AT4G22520	0.700622932	0	0	70.57142857	0.713568112	0.01294518	5.784564215
AT4G39675	0.700227165	4.62E-11	5.61E-09	5.714285714	0.83125	0.131022835	2.665464169
AT5G59820	0.695211442	0	0	9.928571429	0.771699187	0.076487746	3.334738053
