Gene	TPM_average_ZT2	TPM_average_ZT4	TPM_average_ZT6	TPM_average_ZT8	TPM_average_ZT10	TPM_average_ZT12	TPM_average_ZT14	TPM_average_ZT16	TPM_average_ZT18	TPM_average_ZT20	TPM_average_ZT22	TPM_average_ZT24
AT1G01860	17.28571429	18.21428571	19.57142857	18.28571429	20.92857143	20.57142857	17.85714286	17.21428571	19.85714286	17.35714286	16.78571429	14.42857143
AT1G01910	37.85714286	43.07142857	50.14285714	50.5	52.21428571	45.07142857	49.28571429	44.14285714	42	39.78571429	37.35714286	35.78571429
AT1G01920	12.28571429	12.78571429	14.07142857	14.71428571	15.85714286	16.28571429	19.14285714	17.35714286	18.42857143	17.14285714	16.57142857	16.78571429
AT1G01930	8.928571429	9.071428571	9.285714286	9.071428571	9.785714286	9	9.714285714	9.785714286	10.21428571	10.78571429	10.85714286	10.78571429
AT1G01940	26.14285714	25.42857143	28.42857143	31	34.14285714	35.85714286	35.5	32.07142857	31.71428571	26.42857143	25.21428571	21.57142857
AT1G01950	12.57142857	11.92857143	10.85714286	9.071428571	10.14285714	10.35714286	10.71428571	11.64285714	11.57142857	11.42857143	11.71428571	12.21428571
AT1G01960	22.28571429	25.57142857	26.78571429	24.71428571	26.21428571	21.64285714	28.28571429	28.21428571	28.35714286	27.14285714	27.21428571	26.28571429
AT1G01970	41	32.78571429	32.78571429	32.35714286	41.85714286	44.28571429	30.71428571	34.28571429	35.78571429	30.5	28.92857143	24.42857143
AT1G01990	23.14285714	20.35714286	22.64285714	22.28571429	24.57142857	23.42857143	30.28571429	34.35714286	32.71428571	34	33	33.5
AT1G02000	10.14285714	8.5	8.285714286	7.214285714	7.428571429	6.857142857	8.785714286	8.285714286	8.142857143	8.714285714	9	10.14285714
AT1G02010	11	8.928571429	7.571428571	5.857142857	6.357142857	5.928571429	6.142857143	6.428571429	7.142857143	7.071428571	7.714285714	8.071428571
AT1G02020	9.428571429	10	10.21428571	8.857142857	10.21428571	9.785714286	9.214285714	10.07142857	9.428571429	10	10.28571429	10.5
AT1G02050	5.214285714	NA	4.928571429	5.5	6.357142857	6.142857143	7.785714286	8	8.714285714	8.5	8.285714286	9.5
AT1G02080	25.42857143	27	26.21428571	23.21428571	25.92857143	21.92857143	24.42857143	26.21428571	26.42857143	27.21428571	27.85714286	26.92857143
AT1G02090	48.64285714	44.5	44.78571429	44.78571429	46.85714286	46.85714286	42.71428571	40.42857143	41.07142857	37.07142857	37.5	38.5
AT1G02100	32.42857143	29.85714286	28.85714286	28.35714286	29.57142857	29.28571429	38.57142857	45.28571429	46.5	50.78571429	49.78571429	57.28571429
AT1G02110	15.5	15.21428571	14.35714286	12.5	13.28571429	13.28571429	16.5	20.07142857	19.71428571	20.71428571	21.5	23.14285714
AT1G02120	35.57142857	33.92857143	32.42857143	29.64285714	30.85714286	31.57142857	35.64285714	40.07142857	37.85714286	39.85714286	39.35714286	43
AT1G02130	62.07142857	66.92857143	66.21428571	58.42857143	58.14285714	55.28571429	59.07142857	58	60.07142857	57.57142857	55.5	59
AT1G02140	173.1428571	174.0714286	183.9285714	175.5714286	195.9285714	207.2857143	192.3571429	191.6428571	191.5714286	175.7857143	172.1428571	169.3571429
AT1G02145	19.64285714	21.92857143	22.07142857	19.57142857	20.21428571	19	21.71428571	24.14285714	24.21428571	23.92857143	23.71428571	24.14285714
AT1G02150	81.35714286	93	94.14285714	90.92857143	97.85714286	95.71428571	90.28571429	89.5	94.21428571	91.92857143	92.5	82.85714286
AT1G02160	35	41.85714286	47.71428571	47.57142857	48.78571429	46	48.42857143	46.28571429	51.92857143	48	47.42857143	46.5
AT1G02170	23	23.71428571	23.57142857	23.42857143	22.64285714	21.57142857	28.07142857	27.07142857	25.21428571	25.92857143	26.21428571	28.71428571
AT1G02180	7.642857143	8.428571429	8.214285714	7.071428571	8.071428571	9.285714286	7.428571429	7.928571429	8.785714286	7.5	7.928571429	8.071428571
AT1G02205	14.07142857	22.57142857	17.78571429	10.71428571	15.28571429	18.21428571	10.35714286	8.785714286	8.357142857	7.142857143	7.285714286	5.571428571
AT1G02220	14.35714286	10.85714286	8.214285714	8.785714286	10.92857143	11.5	7.785714286	7.571428571	8.857142857	8.071428571	8.071428571	8.571428571
AT1G02260	8.785714286	10.92857143	12.85714286	13.92857143	14.78571429	13.92857143	17.21428571	18.78571429	17.92857143	18.21428571	17.5	15.14285714
AT1G02270	14.85714286	22.5	26.57142857	23.42857143	22.85714286	18.64285714	14.5	15.5	14.78571429	13.57142857	12.5	11.21428571
AT1G02280	104	100.8571429	102.2142857	96.92857143	105.2857143	100.9285714	117.8571429	145.5	149.4285714	167.7857143	167.2142857	170.0714286
AT1G02290	7.642857143	9.5	9.357142857	8.428571429	9.428571429	10	9.642857143	9.428571429	10.28571429	8.357142857	8.5	7.928571429
AT1G02300	6.071428571	14.28571429	24.28571429	26.57142857	23.07142857	16.42857143	18.07142857	20.71428571	20	17.14285714	15.07142857	8.642857143
AT1G02305	42.64285714	43.85714286	45.21428571	43.21428571	44.64285714	45.21428571	54.07142857	61.42857143	56.78571429	65.35714286	68.57142857	74.21428571
AT1G02330	28.42857143	28.78571429	30.21428571	30.07142857	29.42857143	30.14285714	28.14285714	28.71428571	28.42857143	25.57142857	25.92857143	26.57142857
AT1G02335	30.07142857	29	28.28571429	24.28571429	21.92857143	21.35714286	22.57142857	23.92857143	29.71428571	27.64285714	32.92857143	35.35714286
AT1G02360	26.85714286	23.28571429	27.78571429	33.21428571	28.78571429	27.28571429	31.07142857	30.85714286	28.42857143	25.28571429	24.42857143	32.42857143
AT1G02370	6.571428571	6.5	8.285714286	8.785714286	9.642857143	8.785714286	7.071428571	6.357142857	6.642857143	5.785714286	4.785714286	5.214285714
AT1G02400	6.357142857	7.714285714	8.285714286	7.714285714	7.071428571	7.142857143	8.214285714	6	7	6.5	6.214285714	7.071428571
AT1G02410	28.21428571	29.14285714	27.92857143	24.64285714	22.92857143	22.92857143	23.57142857	22.57142857	24.78571429	24.28571429	25.85714286	24.5
AT1G02475	92.78571429	90.85714286	89.35714286	82.14285714	99.07142857	99.07142857	106.7142857	115.1428571	109.2142857	114.3571429	103.1428571	102.8571429
AT1G02500	471.3571429	327.6428571	276.4285714	258.3571429	252.5	258.0714286	356	415	475.4285714	473.5	541.0714286	511.5714286
AT1G02560	290.7142857	301.9285714	303.7142857	310.4285714	333.5	343.7142857	345.9285714	353.7142857	331.5714286	309.2857143	303.0714286	278.9285714
AT1G02640	8.285714286	NA	NA	5.428571429	NA	NA	20.85714286	14.71428571	13.57142857	18.14285714	19.28571429	29.85714286
AT1G02680	14.07142857	14.28571429	14.64285714	14.85714286	16.42857143	16.78571429	17.28571429	16.14285714	17.21428571	16.21428571	15.92857143	16.92857143
AT1G02690	16.78571429	21.5	25.85714286	22.78571429	22.71428571	22.64285714	21.28571429	18.85714286	17.78571429	16.28571429	17.07142857	15.85714286
AT1G02710	6.071428571	5.5	6	6	6.785714286	6.5	6.142857143	6.357142857	5.571428571	6.571428571	5.214285714	NA
AT1G02720	12	13.64285714	13.42857143	13.57142857	16.64285714	14.92857143	14.92857143	13.71428571	14.35714286	13.64285714	13.57142857	12.85714286
AT1G02730	19.28571429	28.92857143	32.92857143	27.92857143	28.14285714	28.57142857	25.71428571	23.42857143	21.57142857	16.85714286	18.57142857	15.07142857
AT1G02740	8.071428571	8.785714286	9.285714286	9.142857143	9.142857143	8.642857143	9.928571429	9.785714286	10.42857143	9.5	9.571428571	9.285714286
AT1G02750	15.92857143	14.5	13.85714286	12.78571429	14.14285714	15.5	15.71428571	17.57142857	17.64285714	18.5	19	19.07142857
AT1G02780	818.7142857	787.1428571	799.2857143	860.2142857	906.6428571	990.0714286	936.9285714	951.9285714	918.7857143	809.6428571	794.8571429	753.4285714
AT1G02810	14.07142857	13.42857143	12.5	12.5	12.57142857	10.85714286	10.92857143	10.64285714	10.28571429	9.785714286	12.42857143	13.28571429
AT1G02816	35.57142857	23.14285714	18.57142857	18.57142857	15.78571429	16.85714286	27.35714286	29.57142857	29.35714286	32	33.78571429	39
AT1G02820	270.4285714	99.21428571	27.71428571	8.857142857	NA	NA	NA	NA	4.785714286	11	14.07142857	17.57142857
AT1G02840	97.92857143	88.64285714	89.21428571	88.07142857	90	89.21428571	107	113.4285714	107.9285714	116.6428571	117.5714286	137.7857143
AT1G02850	20.42857143	15.21428571	13.71428571	13.57142857	14.28571429	20.71428571	31.21428571	57.42857143	43.21428571	37.42857143	32.57142857	41.14285714
AT1G02860	7.428571429	8.142857143	10.14285714	10.35714286	10.64285714	9.928571429	16.57142857	14.78571429	14.64285714	13.64285714	14.21428571	14.85714286
AT1G02870	38.78571429	33.64285714	42.21428571	46.85714286	52.57142857	49.85714286	41.07142857	41.07142857	41.21428571	37.78571429	35.92857143	34.07142857
AT1G02880	30.42857143	31.35714286	33.14285714	33.28571429	34.57142857	36.07142857	32.21428571	33.85714286	30.85714286	27.71428571	27.14285714	24.92857143
AT1G02890	27.42857143	27.71428571	28.14285714	26.07142857	28.85714286	26.35714286	35.92857143	31.28571429	32.07142857	32.35714286	33.07142857	35.28571429
AT1G02900	65.85714286	50.28571429	48.71428571	52.14285714	52.07142857	44.92857143	52.85714286	51.5	53.85714286	48.21428571	52.14285714	55.71428571
AT1G02910	51.71428571	54	53.85714286	51.42857143	57.71428571	57.42857143	60.57142857	58.85714286	56.85714286	56.85714286	53.85714286	48.5
AT1G02920	23.07142857	31	31.85714286	43.78571429	42.42857143	50	52.5	52	39.21428571	35.92857143	25.57142857	28.21428571
AT1G02930	19.64285714	57.85714286	34.78571429	35.5	38.71428571	107.7857143	85.14285714	43.35714286	38.21428571	18.35714286	13.5	8.428571429
AT1G02950	12.07142857	13.78571429	14.21428571	12.64285714	12.21428571	11.28571429	11.64285714	12.78571429	12.78571429	13.5	13.28571429	14.42857143
AT1G02960	10.5	13.28571429	13.57142857	11.5	12.57142857	11.28571429	15.78571429	16.14285714	16.07142857	16.21428571	16.07142857	16.42857143
AT1G02990	5.785714286	6.428571429	6.142857143	5.071428571	5.714285714	5.357142857	5.857142857	5.642857143	6	5.642857143	5.5	5.857142857
AT1G03000	10.92857143	14.07142857	15.85714286	14.5	14.78571429	12.42857143	14.28571429	14.5	15.14285714	15.21428571	14.78571429	14.14285714
AT1G03030	17.28571429	19.64285714	16.5	15.5	17.14285714	17.78571429	19.92857143	24.42857143	25.35714286	24.14285714	24	24.57142857
AT1G03040	39.57142857	39.07142857	37.85714286	37.35714286	43.85714286	45.35714286	47.35714286	48.57142857	48.92857143	44.14285714	43.71428571	40.57142857
AT1G03055	18.35714286	16.78571429	10.78571429	6.642857143	5.714285714	8	NA	5.785714286	6.642857143	9.071428571	9	10.14285714
AT1G03060	7.357142857	8.142857143	7.285714286	6.571428571	7.642857143	7.214285714	7.642857143	8.214285714	8.142857143	8.357142857	8.785714286	8.428571429
AT1G03080	14.57142857	16.14285714	14.71428571	12.85714286	14.57142857	14	15.21428571	15.85714286	15.92857143	15.21428571	15.78571429	15.85714286
AT1G03090	11.28571429	11.78571429	10.5	10.14285714	9.785714286	9.285714286	24.35714286	20.5	19.14285714	28.57142857	28	41.21428571
AT1G03110	22.5	18.64285714	21	21.07142857	22.28571429	21.85714286	16.57142857	15.5	15.78571429	13.5	13.42857143	13.5
AT1G03130	777.7142857	1076.142857	1069.214286	974.2142857	555.5714286	289.0714286	134.7142857	126.5714286	224.6428571	421.4285714	584.1428571	632.5
AT1G03140	31.07142857	34.64285714	35.78571429	32.35714286	32.85714286	28.5	34.5	35.5	36.57142857	40.92857143	43.35714286	50
AT1G03150	30.64285714	32.92857143	35.28571429	31.57142857	32.28571429	30.71428571	28	29.21428571	29.78571429	26.28571429	27.85714286	28.57142857
AT1G03160	26.71428571	37.07142857	37.14285714	33.35714286	40.64285714	39.78571429	31.28571429	31.14285714	32.28571429	29.5	26.71428571	20.14285714
AT1G03180	5.357142857	6.142857143	6.357142857	5.142857143	5.714285714	5.642857143	5.428571429	NA	5.142857143	NA	NA	NA
AT1G03190	6.5	6.714285714	6.857142857	6.142857143	6.714285714	6.714285714	6.857142857	7.571428571	7.357142857	6.928571429	7.357142857	6.857142857
AT1G03200	11.28571429	11.14285714	10.28571429	9.642857143	10.78571429	10.07142857	12.71428571	14.35714286	14	16.78571429	15.5	18
AT1G03210	22.92857143	24.14285714	24.92857143	25	24.35714286	24	28	33.35714286	32.42857143	32	30	34.28571429
AT1G03220	153.5714286	122.4285714	129.3571429	167.2857143	140.8571429	118.9285714	206.3571429	175	153.0714286	156.2857143	151.7857143	207
AT1G03230	18.85714286	19.78571429	24.21428571	31.78571429	28.57142857	23.35714286	32.57142857	35.42857143	33.28571429	30.85714286	27.85714286	28.78571429
AT1G03250	30.21428571	33.5	37.78571429	33	33.35714286	31.14285714	26.07142857	26.14285714	27.07142857	24	21.85714286	21.71428571
AT1G03260	9.142857143	8.5	9.714285714	9.285714286	9.357142857	8.785714286	11.71428571	11.14285714	11.35714286	11.71428571	10.92857143	12.14285714
AT1G03280	21.42857143	20.92857143	20.42857143	18.85714286	20.35714286	20	24.28571429	24.07142857	23.42857143	23.85714286	24.07142857	23.35714286
AT1G03290	12.35714286	11.85714286	10.57142857	10.14285714	11.71428571	12.78571429	13	14.21428571	14.42857143	14.42857143	14.5	16.35714286
AT1G03310	28.71428571	49.78571429	51.42857143	41.28571429	46.35714286	47.14285714	17.64285714	19.71428571	22.21428571	19.28571429	18.57142857	14.21428571
AT1G03330	63.71428571	61.35714286	63.78571429	64	65.78571429	69.64285714	69.14285714	67.71428571	66	66.28571429	63.5	64.28571429
AT1G03350	26.85714286	26.5	27.21428571	25.64285714	26.07142857	26.5	25.57142857	26.92857143	26.28571429	26.07142857	26.28571429	26.78571429
AT1G03360	18	15.35714286	19.21428571	20.64285714	22.14285714	21.71428571	15.64285714	15.78571429	15.14285714	12.5	13.07142857	13.5
AT1G03365	9.071428571	9.642857143	9.285714286	8.142857143	9.571428571	9.142857143	9.357142857	10.5	11.07142857	10.42857143	10.42857143	10.42857143
AT1G03370	7.071428571	7.5	8.642857143	9.071428571	9.357142857	9.071428571	12.14285714	11.35714286	10.07142857	10.5	10.28571429	10.14285714
AT1G03380	16.85714286	16	13.14285714	11.21428571	11.28571429	10.85714286	13.71428571	13.71428571	14.21428571	15.57142857	16	17.85714286
AT1G03400	14.14285714	14.85714286	12.64285714	10	8.357142857	10.07142857	16.5	12.5	10.92857143	15.85714286	17.28571429	22.14285714
AT1G03430	13.21428571	23.71428571	24.28571429	20.35714286	21.14285714	19.07142857	18.21428571	17.42857143	17.92857143	16.28571429	14.57142857	15.57142857
AT1G03440	31.28571429	25.35714286	19.64285714	15.42857143	16.21428571	17.71428571	16.14285714	17.07142857	16.5	17.92857143	21.71428571	21.28571429
AT1G03457	12.71428571	8.714285714	9.714285714	9.571428571	9.428571429	8.857142857	13.64285714	12.64285714	12.21428571	11.71428571	12.07142857	14.78571429
AT1G03470	5.428571429	6.785714286	9	8.285714286	9	8.642857143	10.85714286	12.21428571	14.21428571	9.571428571	9.785714286	6.214285714
AT1G03475	182.9285714	196.5714286	206.1428571	219.2857143	266.2857143	282.9285714	269.7857143	270.2857143	257.7857143	235.7857143	223.5	176.5
AT1G03495	23.07142857	33.07142857	17.28571429	13.78571429	20.92857143	51.5	20.57142857	17	16.71428571	10.35714286	10.35714286	8.071428571
AT1G03520	8.571428571	8.142857143	7.857142857	7.571428571	7.142857143	6.571428571	9.214285714	9.142857143	9.428571429	10.64285714	11.42857143	12.42857143
AT1G03530	7.928571429	7.214285714	8	8.5	10.28571429	9.357142857	6.928571429	7.071428571	7.214285714	5.571428571	6.714285714	6.642857143
AT1G03550	10	9.142857143	9.214285714	8.142857143	8.357142857	6.928571429	9.428571429	11.35714286	10.92857143	11.35714286	10.78571429	13.57142857
AT1G03560	5.785714286	5.714285714	6.071428571	5.571428571	6	5.5	6.214285714	6.357142857	6.571428571	5.357142857	5.785714286	5.785714286
AT1G03590	17.42857143	16.28571429	14.71428571	14.14285714	14.07142857	13.42857143	15.57142857	17.07142857	17.07142857	19.21428571	21.28571429	26.14285714
AT1G03600	778.7142857	806.3571429	733.7142857	649.5714286	592.1428571	550.9285714	510.1428571	476.5	442.3571429	521.6428571	587.0714286	667
AT1G03610	21.92857143	23.57142857	17	12.92857143	10.85714286	10.64285714	14.92857143	18.42857143	17.07142857	22.21428571	25.35714286	37.78571429
AT1G03630	259.6428571	342.2142857	308.2142857	270.4285714	271.6428571	274.8571429	192.9285714	157.7142857	182.0714286	187.6428571	216.3571429	161.4285714
AT1G03680	421.9285714	493.6428571	526.5	545	596.3571429	608.2857143	620.9285714	567.3571429	493.2142857	464.8571429	438.4285714	354.5714286
AT1G03687	16.35714286	16.14285714	16.42857143	16.57142857	17.92857143	18.14285714	16.92857143	19.42857143	19.42857143	19.35714286	18.42857143	17.92857143
AT1G03730	10.71428571	12.21428571	15.64285714	17.85714286	16.57142857	15.64285714	13.64285714	14.07142857	13.14285714	12.35714286	12	11.21428571
AT1G03740	10.57142857	13.07142857	16.21428571	17.42857143	15.71428571	11.35714286	17	15	12.78571429	13.5	11.35714286	11.92857143
AT1G03760	7.642857143	7.071428571	8.071428571	9.857142857	9.714285714	9.785714286	10.64285714	10.28571429	10.57142857	10.71428571	10.21428571	9.714285714
AT1G03780	8.928571429	12.78571429	15.21428571	12.85714286	12.14285714	11.57142857	11.21428571	10.07142857	9.357142857	7.357142857	8.785714286	6.714285714
AT1G03820	16.92857143	22.42857143	31.71428571	37.92857143	34.78571429	36.35714286	36.28571429	28.71428571	29.92857143	22	23.78571429	18.14285714
AT1G03850	24.64285714	25.35714286	22.07142857	23.5	15.5	11.92857143	19.14285714	27.42857143	25.71428571	30.14285714	29.42857143	45.07142857
AT1G03860	81.64285714	79.85714286	88.92857143	96.35714286	107.7857143	110.9285714	110.2857143	105.9285714	100.6428571	89.92857143	88.35714286	84.42857143
AT1G03870	267.5	107.1428571	140.2857143	144.6428571	99.92857143	74.21428571	249.2857143	178.5714286	181.2857143	196.1428571	213.2857143	265.2857143
AT1G03900	71.57142857	67.28571429	70.07142857	70.64285714	77.07142857	77.78571429	101.2857143	95.28571429	91	92.64285714	92.28571429	97.92857143
AT1G03905	7.928571429	6.5	5.571428571	6.285714286	8.142857143	8.214285714	7.571428571	7.357142857	7.428571429	6.428571429	6.857142857	5.5
AT1G03910	22.14285714	24.07142857	25.21428571	24.5	27.35714286	25.71428571	27.14285714	26.64285714	26.28571429	27.42857143	26.57142857	26.64285714
AT1G03930	23.07142857	22	23.14285714	19.64285714	22.5	22.5	23.57142857	23.92857143	23.57142857	23.14285714	22.71428571	23.07142857
AT1G03940	6.5	9.5	NA	NA	5.571428571	14.35714286	5	NA	NA	NA	NA	NA
AT1G03950	13.21428571	14.64285714	15.85714286	15.85714286	15.5	15.78571429	17.21428571	17.35714286	16.57142857	16.85714286	15.42857143	14.92857143
AT1G03960	6	8.714285714	10.5	9.357142857	10.71428571	8.714285714	7.428571429	7.642857143	7.428571429	6.357142857	5.714285714	NA
