sample	seedling	ZT
TPM_ZT0_seedling1	seedling1	ZT0
TPM_ZT0_seedling2	seedling2	ZT0
TPM_ZT0_seedling4	seedling4	ZT0
TPM_ZT0_seedling5	seedling5	ZT0
TPM_ZT0_seedling6	seedling6	ZT0
TPM_ZT0_seedling7	seedling7	ZT0
TPM_ZT0_seedling8	seedling8	ZT0
TPM_ZT0_seedling9	seedling9	ZT0
TPM_ZT0_seedling10	seedling10	ZT0
TPM_ZT0_seedling12	seedling12	ZT0
TPM_ZT0_seedling13	seedling13	ZT0
TPM_ZT0_seedling14	seedling14	ZT0
TPM_ZT0_seedling15	seedling15	ZT0
TPM_ZT0_seedling16	seedling16	ZT0
