Gene	TypeV	ZT
AT1G43800	Variable	ZT20
AT5G03545	Variable	ZT20
AT1G07901	Variable	ZT20
AT4G22513	Variable	ZT20
AT4G22505	Variable	ZT20
AT3G12900	Variable	ZT20
AT3G44006	Variable	ZT20
AT5G47990	Variable	ZT20
AT1G61275	Variable	ZT20
AT4G22490	Variable	ZT20
AT2G16005	Variable	ZT20
AT2G41240	Variable	ZT20
AT4G22485	Variable	ZT20
AT2G14247	Variable	ZT20
AT5G51720	Variable	ZT20
AT4G22517	Variable	ZT20
AT5G59330	Variable	ZT20
AT3G22231	Variable	ZT20
AT1G13609	Variable	ZT20
AT5G04790	Variable	ZT20
AT1G29951	Variable	ZT20
AT3G14981	Variable	ZT20
AT5G38930	Variable	ZT20
AT4G22520	Variable	ZT20
AT2G24940	Variable	ZT20
AT4G35770	Variable	ZT20
AT2G36854	Variable	ZT20
AT4G26055	Variable	ZT20
AT3G47340	Variable	ZT20
AT1G52060	Variable	ZT20
AT4G29030	Variable	ZT20
AT5G03552	Variable	ZT20
AT1G31258	Variable	ZT20
AT4G31940	Variable	ZT20
AT2G04040	Variable	ZT20
AT2G47880	Variable	ZT20
ATCG00640	Variable	ZT20
AT1G25472	Variable	ZT20
AT5G48010	Variable	ZT20
AT3G05727	Variable	ZT20
AT1G55990	Variable	ZT20
AT5G56080	Variable	ZT20
AT1G62500	Variable	ZT20
AT4G22510	Variable	ZT20
AT5G07840	Variable	ZT20
AT5G45430	Variable	ZT20
AT5G64110	Variable	ZT20
AT1G52070	Variable	ZT20
AT1G63245	Variable	ZT20
AT1G25470	Variable	ZT20
AT1G64590	Variable	ZT20
AT3G22235	Variable	ZT20
AT1G66800	Variable	ZT20
AT5G38940	Variable	ZT20
AT2G37770	Variable	ZT20
AT4G33610	Variable	ZT20
AT2G01520	Variable	ZT20
AT4G14690	Variable	ZT20
AT5G48000	Variable	ZT20
AT1G52050	Variable	ZT20
AT4G19112	Variable	ZT20
AT3G56970	Variable	ZT20
AT3G61930	Variable	ZT20
AT1G01580	Variable	ZT20
AT3G56980	Variable	ZT20
AT5G42800	Variable	ZT20
AT1G51470	Variable	ZT20
ATCG00710	Variable	ZT20
AT1G05065	Variable	ZT20
AT4G19690	Variable	ZT20
AT3G27027	Variable	ZT20
AT5G60530	Variable	ZT20
AT5G07475	Variable	ZT20
AT4G10270	Variable	ZT20
AT2G27550	Variable	ZT20
AT3G20395	Variable	ZT20
AT4G22880	Variable	ZT20
AT5G45070	Variable	ZT20
AT1G47600	Variable	ZT20
AT4G12545	Variable	ZT20
AT5G54370	Variable	ZT20
AT4G30140	Variable	ZT20
AT2G01530	Variable	ZT20
AT5G63660	Variable	ZT20
AT3G07273	Variable	ZT20
AT1G14960	Variable	ZT20
AT3G01940	Variable	ZT20
AT2G05510	Variable	ZT20
AT1G77120	Variable	ZT20
AT5G36920	Variable	ZT20
AT5G44585	Variable	ZT20
AT2G36030	Variable	ZT20
AT4G08780	Variable	ZT20
AT1G14250	Variable	ZT20
AT5G04150	Variable	ZT20
AT3G58550	Variable	ZT20
AT2G39530	Variable	ZT20
AT1G74770	Variable	ZT20
AT3G06390	Variable	ZT20
AT4G02380	Variable	ZT20
AT4G38080	Variable	ZT20
AT2G47200	Variable	ZT20
AT5G37690	Variable	ZT20
AT5G09520	Variable	ZT20
AT2G22510	Variable	ZT20
AT3G13610	Variable	ZT20
AT5G15120	Variable	ZT20
AT5G09530	Variable	ZT20
AT1G26250	Variable	ZT20
AT5G10130	Variable	ZT20
AT1G11600	Variable	ZT20
AT5G13580	Variable	ZT20
AT2G25510	Variable	ZT20
AT5G45428	Variable	ZT20
AT5G18404	Variable	ZT20
AT4G30270	Variable	ZT20
AT3G49580	Variable	ZT20
AT4G36850	Variable	ZT20
AT3G29250	Variable	ZT20
AT2G48140	Variable	ZT20
AT3G50400	Variable	ZT20
AT2G19590	Variable	ZT20
AT4G12550	Variable	ZT20
AT3G08040	Variable	ZT20
AT3G02550	Variable	ZT20
AT5G63160	Variable	ZT20
AT2G23540	Variable	ZT20
AT4G13493	Variable	ZT20
AT2G05540	Variable	ZT20
AT3G12820	Variable	ZT20
AT3G03820	Variable	ZT20
AT1G59730	Variable	ZT20
AT5G26260	Variable	ZT20
AT2G35380	Variable	ZT20
AT4G20390	Variable	ZT20
AT4G28940	Variable	ZT20
AT5G17220	Variable	ZT20
AT4G08770	Variable	ZT20
AT1G31690	Variable	ZT20
AT5G58570	Variable	ZT20
AT1G50060	Variable	ZT20
AT5G03350	Variable	ZT20
AT5G45080	Variable	ZT20
AT5G47450	Variable	ZT20
AT2G30766	Variable	ZT20
