Gene	TypeV	ZT
AT3G62450	Variable	ZT2
AT1G74770	Variable	ZT2
AT2G38530	Variable	ZT2
AT1G75240	Variable	ZT2
AT3G16660	Variable	ZT2
ATCG00820	Variable	ZT2
AT5G28640	Variable	ZT2
AT4G02270	Variable	ZT2
AT3G47510	Variable	ZT2
AT5G01600	Variable	ZT2
AT2G01530	Variable	ZT2
ATCG00520	Variable	ZT2
AT1G70850	Variable	ZT2
AT1G11080	Variable	ZT2
AT1G74460	Variable	ZT2
AT1G19960	Variable	ZT2
AT3G03190	Variable	ZT2
AT2G29300	Variable	ZT2
AT2G07732	Variable	ZT2
ATCG00720	Variable	ZT2
AT2G37130	Variable	ZT2
AT2G22510	Variable	ZT2
AT2G05510	Variable	ZT2
ATCG00330	Variable	ZT2
ATCG00020	Variable	ZT2
AT3G23730	Variable	ZT2
ATCG00490	Variable	ZT2
AT1G73330	Variable	ZT2
AT2G06925	Variable	ZT2
AT2G22330	Variable	ZT2
AT5G15970	Variable	ZT2
AT5G44580	Variable	ZT2
AT1G25098	Variable	ZT2
AT1G08115	Variable	ZT2
AT3G21510	Variable	ZT2
AT4G11650	Variable	ZT2
AT3G53980	Variable	ZT2
AT1G62510	Variable	ZT2
AT5G25090	Variable	ZT2
AT5G22580	Variable	ZT2
AT4G12545	Variable	ZT2
AT4G11320	Variable	ZT2
ATCG00680	Variable	ZT2
AT4G39950	Variable	ZT2
AT1G13590	Variable	ZT2
ATCG00780	Variable	ZT2
AT3G22120	Variable	ZT2
AT4G14090	Variable	ZT2
ATCG00730	Variable	ZT2
AT5G25980	Variable	ZT2
AT3G54040	Variable	ZT2
AT5G62210	Variable	ZT2
AT3G16530	Variable	ZT2
AT5G14330	Variable	ZT2
AT5G19120	Variable	ZT2
AT2G29995	Variable	ZT2
AT1G06360	Variable	ZT2
AT5G22920	Variable	ZT2
AT2G23130	Variable	ZT2
AT2G38390	Variable	ZT2
ATCG00120	Variable	ZT2
AT1G76930	Variable	ZT2
AT3G63160	Variable	ZT2
AT1G52100	Variable	ZT2
AT2G39310	Variable	ZT2
AT2G27385	Variable	ZT2
AT5G14780	Variable	ZT2
AT4G04745	Variable	ZT2
AT1G49310	Variable	ZT2
AT3G22620	Variable	ZT2
AT3G49120	Variable	ZT2
AT1G18590	Variable	ZT2
AT5G10580	Variable	ZT2
AT4G27440	Variable	ZT2
AT1G62560	Variable	ZT2
AT5G53250	Variable	ZT2
AT4G26320	Variable	ZT2
AT1G62380	Variable	ZT2
AT4G25100	Variable	ZT2
AT5G04950	Variable	ZT2
AT3G50740	Variable	ZT2
AT5G64100	Variable	ZT2
AT5G01870	Variable	ZT2
AT4G12030	Variable	ZT2
AT3G09440	Variable	ZT2
AT5G64770	Variable	ZT2
AT4G39940	Variable	ZT2
AT5G23010	Variable	ZT2
AT1G28290	Variable	ZT2
AT1G29418	Variable	ZT2
AT3G54400	Variable	ZT2
AT2G42840	Variable	ZT2
ATMG00020	Variable	ZT2
AT4G16260	Variable	ZT2
