Gene	TypeV	ZT
AT2G14247	Variable	ZT24
AT4G19112	Variable	ZT24
AT1G13609	Variable	ZT24
ATCG01080	Variable	ZT24
AT2G24940	Variable	ZT24
AT3G20395	Variable	ZT24
ATCG00520	Variable	ZT24
AT5G09672	Variable	ZT24
ATCG00580	Variable	ZT24
AT3G02480	Variable	ZT24
AT1G43800	Variable	ZT24
AT1G25472	Variable	ZT24
AT1G55010	Variable	ZT24
AT2G47880	Variable	ZT24
ATCG01100	Variable	ZT24
ATCG01060	Variable	ZT24
AT1G47400	Variable	ZT24
AT3G07273	Variable	ZT24
ATCG00070	Variable	ZT24
AT5G45428	Variable	ZT24
ATCG00710	Variable	ZT24
AT2G41240	Variable	ZT24
AT1G47395	Variable	ZT24
ATCG00680	Variable	ZT24
AT1G31258	Variable	ZT24
AT2G07732	Variable	ZT24
AT5G45430	Variable	ZT24
ATCG00020	Variable	ZT24
ATCG00040	Variable	ZT24
ATCG00490	Variable	ZT24
ATCG00330	Variable	ZT24
AT1G61275	Variable	ZT24
ATCG00130	Variable	ZT24
AT3G13857	Variable	ZT24
ATCG00720	Variable	ZT24
ATCG00340	Variable	ZT24
AT4G22513	Variable	ZT24
AT2G07671	Variable	ZT24
ATCG00430	Variable	ZT24
AT5G04150	Variable	ZT24
AT4G22520	Variable	ZT24
AT1G29951	Variable	ZT24
AT4G22517	Variable	ZT24
ATCG00730	Variable	ZT24
AT5G50335	Variable	ZT24
AT1G26250	Variable	ZT24
AT4G10270	Variable	ZT24
ATCG00270	Variable	ZT24
ATCG00280	Variable	ZT24
AT2G30766	Variable	ZT24
ATCG00140	Variable	ZT24
ATCG00350	Variable	ZT24
ATCG00640	Variable	ZT24
ATCG00540	Variable	ZT24
AT4G22490	Variable	ZT24
AT5G59330	Variable	ZT24
AT1G63245	Variable	ZT24
AT4G22510	Variable	ZT24
AT1G25470	Variable	ZT24
AT5G15120	Variable	ZT24
AT5G07840	Variable	ZT24
ATCG00120	Variable	ZT24
AT5G27889	Variable	ZT24
AT2G14580	Variable	ZT24
AT3G05727	Variable	ZT24
AT3G44006	Variable	ZT24
AT3G55240	Variable	ZT24
AT4G29030	Variable	ZT24
AT5G03552	Variable	ZT24
AT3G25572	Variable	ZT24
ATCG00890	Variable	ZT24
AT3G22231	Variable	ZT24
AT5G58390	Variable	ZT24
AT5G53450	Variable	ZT24
AT4G22485	Variable	ZT24
ATMG01390	Variable	ZT24
AT2G16005	Variable	ZT24
AT4G22505	Variable	ZT24
AT3G56970	Variable	ZT24
ATCG00530	Variable	ZT24
AT5G53486	Variable	ZT24
AT5G64110	Variable	ZT24
ATMG00020	Variable	ZT24
AT3G59900	Variable	ZT24
AT3G16360	Variable	ZT24
AT5G38940	Variable	ZT24
ATCG00820	Variable	ZT24
ATCG00840	Variable	ZT24
AT3G12900	Variable	ZT24
AT5G38930	Variable	ZT24
AT3G47340	Variable	ZT24
ATCG01020	Variable	ZT24
ATCG00150	Variable	ZT24
AT3G14981	Variable	ZT24
ATCG00900	Variable	ZT24
AT5G64120	Variable	ZT24
AT1G52400	Variable	ZT24
AT3G23290	Variable	ZT24
AT1G66100	Variable	ZT24
AT1G13650	Variable	ZT24
AT1G52060	Variable	ZT24
ATMG00030	Variable	ZT24
AT1G55990	Variable	ZT24
AT5G01600	Variable	ZT24
AT2G27550	Variable	ZT24
ATCG00905	Variable	ZT24
AT4G39675	Variable	ZT24
AT5G36920	Variable	ZT24
AT5G57080	Variable	ZT24
AT3G02550	Variable	ZT24
AT3G08770	Variable	ZT24
AT3G48450	Variable	ZT24
AT4G36570	Variable	ZT24
ATCG00790	Variable	ZT24
AT5G33370	Variable	ZT24
AT2G43510	Variable	ZT24
AT1G56430	Variable	ZT24
AT3G56980	Variable	ZT24
AT4G33610	Variable	ZT24
ATCG00750	Variable	ZT24
AT1G08115	Variable	ZT24
AT2G36854	Variable	ZT24
AT5G51720	Variable	ZT24
AT2G18193	Variable	ZT24
AT4G35770	Variable	ZT24
AT1G52070	Variable	ZT24
AT4G12545	Variable	ZT24
AT1G67148	Variable	ZT24
AT5G55450	Variable	ZT24
ATCG00800	Variable	ZT24
AT2G30540	Variable	ZT24
AT4G26055	Variable	ZT24
AT5G04790	Variable	ZT24
AT5G09530	Variable	ZT24
AT5G05250	Variable	ZT24
AT5G02760	Variable	ZT24
AT5G23940	Variable	ZT24
AT2G33790	Variable	ZT24
AT2G38530	Variable	ZT24
AT4G30140	Variable	ZT24
AT2G35380	Variable	ZT24
AT4G13493	Variable	ZT24
ATCG00810	Variable	ZT24
AT4G38080	Variable	ZT24
AT1G62500	Variable	ZT24
AT5G09520	Variable	ZT24
AT5G04238	Variable	ZT24
AT1G15125	Variable	ZT24
AT4G20390	Variable	ZT24
AT2G47200	Variable	ZT24
AT4G14630	Variable	ZT24
AT1G25098	Variable	ZT24
ATCG00770	Variable	ZT24
AT5G03545	Variable	ZT24
AT5G54370	Variable	ZT24
AT2G01010	Variable	ZT24
AT4G31940	Variable	ZT24
AT2G23540	Variable	ZT24
AT2G05510	Variable	ZT24
AT1G06360	Variable	ZT24
AT5G58860	Variable	ZT24
AT3G06390	Variable	ZT24
AT2G41480	Variable	ZT24
AT1G09530	Variable	ZT24
AT5G09480	Variable	ZT24
AT3G25570	Variable	ZT24
AT1G52050	Variable	ZT24
AT2G40205	Variable	ZT24
AT5G64572	Variable	ZT24
AT2G15128	Variable	ZT24
