Gene	TypeV	ZT
AT3G02480	Variable	ZT6
AT4G19112	Variable	ZT6
AT1G13609	Variable	ZT6
AT3G44006	Variable	ZT6
AT2G14247	Variable	ZT6
AT1G43800	Variable	ZT6
AT1G77120	Variable	ZT6
AT2G41100	Variable	ZT6
AT3G18000	Variable	ZT6
AT4G19690	Variable	ZT6
AT5G45428	Variable	ZT6
AT5G09672	Variable	ZT6
AT1G61275	Variable	ZT6
AT2G43620	Variable	ZT6
AT4G22485	Variable	ZT6
AT5G20790	Variable	ZT6
AT1G47400	Variable	ZT6
AT5G48850	Variable	ZT6
AT4G22517	Variable	ZT6
AT3G18217	Variable	ZT6
AT1G31258	Variable	ZT6
AT4G31940	Variable	ZT6
AT2G30766	Variable	ZT6
AT5G66400	Variable	ZT6
AT1G25470	Variable	ZT6
AT5G55450	Variable	ZT6
ATCG00640	Variable	ZT6
AT1G08090	Variable	ZT6
AT4G22520	Variable	ZT6
AT2G24940	Variable	ZT6
AT4G22513	Variable	ZT6
AT1G47395	Variable	ZT6
AT5G08760	Variable	ZT6
AT3G50480	Variable	ZT6
AT4G22490	Variable	ZT6
AT4G12490	Variable	ZT6
AT5G04790	Variable	ZT6
AT2G42530	Variable	ZT6
AT5G47990	Variable	ZT6
AT2G16005	Variable	ZT6
AT4G37095	Variable	ZT6
AT5G48000	Variable	ZT6
AT1G55010	Variable	ZT6
AT5G38930	Variable	ZT6
AT3G49580	Variable	ZT6
AT4G22505	Variable	ZT6
AT1G15125	Variable	ZT6
AT1G10640	Variable	ZT6
AT4G22510	Variable	ZT6
AT1G65390	Variable	ZT6
AT5G24770	Variable	ZT6
AT4G36670	Variable	ZT6
AT5G03545	Variable	ZT6
ATCG00300	Variable	ZT6
AT2G42540	Variable	ZT6
AT5G59330	Variable	ZT6
AT5G26220	Variable	ZT6
AT1G53542	Variable	ZT6
AT4G33070	Variable	ZT6
AT3G02040	Variable	ZT6
AT4G15680	Variable	ZT6
AT1G26250	Variable	ZT6
AT3G02550	Variable	ZT6
AT5G48010	Variable	ZT6
AT3G16360	Variable	ZT6
AT5G42800	Variable	ZT6
AT5G40590	Variable	ZT6
AT1G65486	Variable	ZT6
AT1G60590	Variable	ZT6
AT3G28220	Variable	ZT6
AT1G14960	Variable	ZT6
AT1G19380	Variable	ZT6
AT4G11460	Variable	ZT6
AT5G36920	Variable	ZT6
AT3G56980	Variable	ZT6
ATCG01020	Variable	ZT6
AT1G66800	Variable	ZT6
AT4G22870	Variable	ZT6
AT1G52060	Variable	ZT6
AT5G44585	Variable	ZT6
AT4G21870	Variable	ZT6
AT5G44568	Variable	ZT6
AT5G54060	Variable	ZT6
AT5G45430	Variable	ZT6
AT4G11210	Variable	ZT6
AT5G38940	Variable	ZT6
AT2G01520	Variable	ZT6
AT5G53450	Variable	ZT6
AT4G22880	Variable	ZT6
AT5G64570	Variable	ZT6
AT1G52070	Variable	ZT6
AT1G56650	Variable	ZT6
AT5G54710	Variable	ZT6
AT3G06390	Variable	ZT6
AT2G05540	Variable	ZT6
AT3G29590	Variable	ZT6
AT2G16060	Variable	ZT6
AT2G39800	Variable	ZT6
AT5G64572	Variable	ZT6
AT3G61898	Variable	ZT6
AT2G32487	Variable	ZT6
AT3G17790	Variable	ZT6
AT1G19070	Variable	ZT6
