Gene	TypeV	ZT
AT4G30270	Variable	ZT12
AT4G34800	Variable	ZT12
AT5G45070	Variable	ZT12
ATCG00905	Variable	ZT12
AT1G07600	Variable	ZT12
AT1G78460	Variable	ZT12
AT1G56150	Variable	ZT12
AT4G07820	Variable	ZT12
AT2G19590	Variable	ZT12
AT1G14250	Variable	ZT12
AT1G68880	Variable	ZT12
AT5G26220	Variable	ZT12
AT5G61440	Variable	ZT12
AT1G31690	Variable	ZT12
AT3G52520	Variable	ZT12
AT3G13857	Variable	ZT12
AT1G32450	Variable	ZT12
AT2G37130	Variable	ZT12
AT1G52100	Variable	ZT12
AT4G01080	Variable	ZT12
AT4G17470	Variable	ZT12
AT2G30600	Variable	ZT12
AT1G21100	Variable	ZT12
AT1G62500	Variable	ZT12
AT5G14780	Variable	ZT12
AT4G18205	Variable	ZT12
AT3G49110	Variable	ZT12
AT3G17998	Variable	ZT12
AT3G54363	Variable	ZT12
AT1G14120	Variable	ZT12
AT2G19970	Variable	ZT12
ATCG00330	Variable	ZT12
AT4G14400	Variable	ZT12
AT1G62510	Variable	ZT12
AT3G54830	Variable	ZT12
AT3G53980	Variable	ZT12
AT1G68600	Variable	ZT12
AT1G50060	Variable	ZT12
AT5G38020	Variable	ZT12
AT3G23290	Variable	ZT12
ATCG00340	Variable	ZT12
AT1G08115	Variable	ZT12
AT3G26960	Variable	ZT12
AT3G54040	Variable	ZT12
AT3G05890	Variable	ZT12
AT4G15440	Variable	ZT12
AT3G22120	Variable	ZT12
AT4G40090	Variable	ZT12
AT1G55990	Variable	ZT12
AT1G18970	Variable	ZT12
AT2G23000	Variable	ZT12
AT4G12480	Variable	ZT12
AT4G12470	Variable	ZT12
AT3G62680	Variable	ZT12
AT2G32870	Variable	ZT12
AT3G08770	Variable	ZT12
AT3G02470	Variable	ZT12
AT3G09220	Variable	ZT12
AT5G40450	Variable	ZT12
AT2G41090	Variable	ZT12
AT3G28270	Variable	ZT12
AT2G32880	Variable	ZT12
ATCG00720	Variable	ZT12
AT1G02205	Variable	ZT12
AT3G20380	Variable	ZT12
AT5G02690	Variable	ZT12
AT2G36690	Variable	ZT12
AT5G15960	Variable	ZT12
AT1G66270	Variable	ZT12
AT4G15760	Variable	ZT12
AT3G58550	Variable	ZT12
AT3G48340	Variable	ZT12
AT1G02930	Variable	ZT12
AT5G45080	Variable	ZT12
AT4G22666	Variable	ZT12
AT1G54040	Variable	ZT12
AT1G30820	Variable	ZT12
AT5G20150	Variable	ZT12
ATCG00140	Variable	ZT12
AT1G45145	Variable	ZT12
AT1G72360	Variable	ZT12
AT1G51140	Variable	ZT12
AT1G22890	Variable	ZT12
AT5G58650	Variable	ZT12
AT2G02120	Variable	ZT12
AT1G19020	Variable	ZT12
AT3G08520	Variable	ZT12
AT2G48140	Variable	ZT12
AT1G12740	Variable	ZT12
AT2G39800	Variable	ZT12
AT4G14630	Variable	ZT12
AT2G21100	Variable	ZT12
AT3G56400	Variable	ZT12
AT5G09520	Variable	ZT12
AT2G22990	Variable	ZT12
AT1G67148	Variable	ZT12
AT1G49500	Variable	ZT12
AT4G20390	Variable	ZT12
AT5G65010	Variable	ZT12
AT3G01420	Variable	ZT12
AT4G11320	Variable	ZT12
AT1G59730	Variable	ZT12
AT1G47600	Variable	ZT12
AT1G65310	Variable	ZT12
AT3G28290	Variable	ZT12
AT4G01390	Variable	ZT12
ATCG00580	Variable	ZT12
AT3G11550	Variable	ZT12
AT1G48330	Variable	ZT12
AT3G27220	Variable	ZT12
AT3G52748	Variable	ZT12
AT1G68840	Variable	ZT12
AT5G05250	Variable	ZT12
AT1G33600	Variable	ZT12
AT3G25820	Variable	ZT12
AT5G02780	Variable	ZT12
AT3G28550	Variable	ZT12
AT4G22690	Variable	ZT12
AT1G73260	Variable	ZT12
AT3G12500	Variable	ZT12
AT3G51600	Variable	ZT12
AT5G14920	Variable	ZT12
AT1G21110	Variable	ZT12
AT2G39530	Variable	ZT12
AT5G62360	Variable	ZT12
AT1G22160	Variable	ZT12
AT1G45191	Variable	ZT12
AT5G53486	Variable	ZT12
AT5G14330	Variable	ZT12
AT2G43535	Variable	ZT12
AT1G54010	Variable	ZT12
AT1G51090	Variable	ZT12
AT2G18370	Variable	ZT12
AT1G65845	Variable	ZT12
AT1G08930	Variable	ZT12
AT4G11650	Variable	ZT12
AT5G09530	Variable	ZT12
AT4G37483	Variable	ZT12
AT1G64780	Variable	ZT12
AT1G25560	Variable	ZT12
AT1G03495	Variable	ZT12
AT3G46130	Variable	ZT12
AT2G23130	Variable	ZT12
AT5G01600	Variable	ZT12
AT1G13590	Variable	ZT12
AT1G78850	Variable	ZT12
AT4G04040	Variable	ZT12
AT3G62040	Variable	ZT12
AT5G24570	Variable	ZT12
AT4G13340	Variable	ZT12
AT3G16660	Variable	ZT12
AT5G54370	Variable	ZT12
AT3G30720	Variable	ZT12
AT3G12502	Variable	ZT12
AT5G40730	Variable	ZT12
AT4G26320	Variable	ZT12
AT2G34070	Variable	ZT12
AT4G39800	Variable	ZT12
AT1G53887	Variable	ZT12
AT5G43580	Variable	ZT12
AT5G23940	Variable	ZT12
AT5G20740	Variable	ZT12
AT1G15380	Variable	ZT12
AT4G37540	Variable	ZT12
AT1G17180	Variable	ZT12
AT3G15630	Variable	ZT12
AT2G42750	Variable	ZT12
AT1G76930	Variable	ZT12
AT4G17280	Variable	ZT12
AT4G16260	Variable	ZT12
AT2G23540	Variable	ZT12
AT2G40435	Variable	ZT12
AT1G62380	Variable	ZT12
