Gene	TypeV	ZT
AT2G42540	Variable	ZT18
AT4G12490	Variable	ZT18
AT2G14247	Variable	ZT18
AT5G09672	Variable	ZT18
AT1G13609	Variable	ZT18
AT5G45428	Variable	ZT18
AT4G35770	Variable	ZT18
AT2G41240	Variable	ZT18
AT5G27889	Variable	ZT18
AT2G04040	Variable	ZT18
AT1G07901	Variable	ZT18
AT3G13857	Variable	ZT18
AT3G44006	Variable	ZT18
AT4G19112	Variable	ZT18
AT5G04150	Variable	ZT18
AT4G26055	Variable	ZT18
AT1G47400	Variable	ZT18
AT5G51720	Variable	ZT18
AT1G25472	Variable	ZT18
AT3G56980	Variable	ZT18
AT3G56970	Variable	ZT18
AT5G44585	Variable	ZT18
AT3G12900	Variable	ZT18
AT2G24940	Variable	ZT18
AT1G47395	Variable	ZT18
AT3G02480	Variable	ZT18
AT5G53450	Variable	ZT18
AT5G42800	Variable	ZT18
AT4G22880	Variable	ZT18
AT5G54060	Variable	ZT18
AT3G47340	Variable	ZT18
AT4G30270	Variable	ZT18
AT5G04790	Variable	ZT18
AT1G43800	Variable	ZT18
AT2G47880	Variable	ZT18
ATCG01020	Variable	ZT18
AT4G31940	Variable	ZT18
AT5G03545	Variable	ZT18
AT3G18000	Variable	ZT18
ATCG00640	Variable	ZT18
ATCG00070	Variable	ZT18
AT5G50562	Variable	ZT18
AT5G63160	Variable	ZT18
AT5G56080	Variable	ZT18
AT1G02850	Variable	ZT18
AT4G22870	Variable	ZT18
AT2G30766	Variable	ZT18
AT5G47450	Variable	ZT18
AT1G16515	Variable	ZT18
AT4G22230	Variable	ZT18
AT3G20395	Variable	ZT18
AT2G42530	Variable	ZT18
AT3G18290	Variable	ZT18
AT1G22160	Variable	ZT18
AT3G29590	Variable	ZT18
AT2G37770	Variable	ZT18
AT3G30720	Variable	ZT18
AT1G52060	Variable	ZT18
AT4G36670	Variable	ZT18
AT5G17220	Variable	ZT18
AT3G14981	Variable	ZT18
AT2G05540	Variable	ZT18
AT3G22231	Variable	ZT18
AT4G36850	Variable	ZT18
AT4G33310	Variable	ZT18
AT3G12820	Variable	ZT18
AT5G67370	Variable	ZT18
AT5G45430	Variable	ZT18
AT4G02380	Variable	ZT18
AT4G22505	Variable	ZT18
AT1G77120	Variable	ZT18
AT1G31690	Variable	ZT18
AT5G02020	Variable	ZT18
AT1G26250	Variable	ZT18
AT4G36570	Variable	ZT18
AT4G22485	Variable	ZT18
AT1G14960	Variable	ZT18
AT1G16410	Variable	ZT18
AT3G02040	Variable	ZT18
AT1G64980	Variable	ZT18
AT5G13740	Variable	ZT18
AT1G22500	Variable	ZT18
AT1G31258	Variable	ZT18
AT1G21520	Variable	ZT18
AT3G25572	Variable	ZT18
AT5G05250	Variable	ZT18
AT4G22510	Variable	ZT18
AT3G61930	Variable	ZT18
AT4G14060	Variable	ZT18
AT5G49360	Variable	ZT18
AT3G50480	Variable	ZT18
AT4G22520	Variable	ZT18
AT5G47990	Variable	ZT18
AT4G00651	Variable	ZT18
AT3G17790	Variable	ZT18
AT5G59320	Variable	ZT18
AT2G01520	Variable	ZT18
AT1G54040	Variable	ZT18
AT4G22513	Variable	ZT18
AT1G52070	Variable	ZT18
AT1G01580	Variable	ZT18
AT4G12480	Variable	ZT18
AT5G07840	Variable	ZT18
AT5G01740	Variable	ZT18
AT1G29395	Variable	ZT18
AT4G14090	Variable	ZT18
AT2G34925	Variable	ZT18
AT1G23020	Variable	ZT18
AT4G27450	Variable	ZT18
AT1G02930	Variable	ZT18
AT5G09670	Variable	ZT18
AT3G13610	Variable	ZT18
AT5G58570	Variable	ZT18
AT5G15960	Variable	ZT18
AT4G22517	Variable	ZT18
AT1G49860	Variable	ZT18
AT5G67330	Variable	ZT18
AT5G53486	Variable	ZT18
AT4G15490	Variable	ZT18
AT1G25470	Variable	ZT18
AT4G33560	Variable	ZT18
AT1G52400	Variable	ZT18
AT3G47640	Variable	ZT18
AT2G34430	Variable	ZT18
AT2G16005	Variable	ZT18
AT5G48000	Variable	ZT18
AT4G22490	Variable	ZT18
AT4G13250	Variable	ZT18
AT1G73330	Variable	ZT18
AT2G21650	Variable	ZT18
AT5G48010	Variable	ZT18
AT4G14690	Variable	ZT18
AT4G19690	Variable	ZT18
AT2G39530	Variable	ZT18
AT2G40610	Variable	ZT18
ATCG00710	Variable	ZT18
AT3G05727	Variable	ZT18
AT3G06390	Variable	ZT18
AT1G67148	Variable	ZT18
AT5G15120	Variable	ZT18
AT2G28780	Variable	ZT18
AT5G64110	Variable	ZT18
AT5G26200	Variable	ZT18
AT1G52000	Variable	ZT18
AT3G07273	Variable	ZT18
AT5G43450	Variable	ZT18
AT4G10270	Variable	ZT18
AT4G29030	Variable	ZT18
AT1G66180	Variable	ZT18
AT2G19590	Variable	ZT18
AT1G05340	Variable	ZT18
AT2G20670	Variable	ZT18
AT2G28630	Variable	ZT18
AT3G14050	Variable	ZT18
AT1G55010	Variable	ZT18
AT1G66100	Variable	ZT18
AT1G56430	Variable	ZT18
AT2G34420	Variable	ZT18
AT5G45070	Variable	ZT18
AT3G29250	Variable	ZT18
AT1G58290	Variable	ZT18
AT5G54370	Variable	ZT18
AT3G45730	Variable	ZT18
AT3G53980	Variable	ZT18
AT2G42750	Variable	ZT18
AT2G41730	Variable	ZT18
AT3G25570	Variable	ZT18
AT4G20390	Variable	ZT18
AT1G74670	Variable	ZT18
AT1G21100	Variable	ZT18
AT2G34070	Variable	ZT18
AT4G16370	Variable	ZT18
AT4G12550	Variable	ZT18
AT3G22060	Variable	ZT18
AT5G57560	Variable	ZT18
AT4G08555	Variable	ZT18
AT3G25190	Variable	ZT18
AT5G66985	Variable	ZT18
AT5G17170	Variable	ZT18
AT2G01530	Variable	ZT18
AT5G01600	Variable	ZT18
AT5G02780	Variable	ZT18
AT3G15450	Variable	ZT18
AT1G74770	Variable	ZT18
AT4G22666	Variable	ZT18
AT1G08115	Variable	ZT18
AT3G22235	Variable	ZT18
AT1G49032	Variable	ZT18
AT2G05510	Variable	ZT18
AT2G16060	Variable	ZT18
AT4G15760	Variable	ZT18
AT3G45070	Variable	ZT18
AT5G46890	Variable	ZT18
AT4G13860	Variable	ZT18
AT4G33960	Variable	ZT18
AT1G13990	Variable	ZT18
AT5G38930	Variable	ZT18
AT1G78460	Variable	ZT18
AT4G04745	Variable	ZT18
AT2G23540	Variable	ZT18
AT5G44610	Variable	ZT18
AT1G70850	Variable	ZT18
AT3G57157	Variable	ZT18
AT4G23600	Variable	ZT18
AT2G33830	Variable	ZT18
AT1G02920	Variable	ZT18
AT1G66760	Variable	ZT18
AT2G05380	Variable	ZT18
AT5G07322	Variable	ZT18
AT1G50060	Variable	ZT18
AT1G47600	Variable	ZT18
AT2G35380	Variable	ZT18
AT1G13420	Variable	ZT18
AT3G05890	Variable	ZT18
AT2G43120	Variable	ZT18
AT5G14780	Variable	ZT18
AT5G48485	Variable	ZT18
AT4G11320	Variable	ZT18
AT1G11080	Variable	ZT18
AT5G07475	Variable	ZT18
AT4G28940	Variable	ZT18
AT2G15128	Variable	ZT18
AT5G37690	Variable	ZT18
AT1G13590	Variable	ZT18
AT5G37990	Variable	ZT18
AT3G58550	Variable	ZT18
AT1G03495	Variable	ZT18
AT5G53250	Variable	ZT18
AT1G65970	Variable	ZT18
AT3G13435	Variable	ZT18
AT5G64120	Variable	ZT18
AT2G47200	Variable	ZT18
AT3G07720	Variable	ZT18
AT1G27020	Variable	ZT18
AT4G38080	Variable	ZT18
AT4G04770	Variable	ZT18
AT5G26260	Variable	ZT18
AT5G15970	Variable	ZT18
AT3G15356	Variable	ZT18
AT2G37130	Variable	ZT18
AT2G41100	Variable	ZT18
AT5G58860	Variable	ZT18
AT1G20070	Variable	ZT18
AT3G14620	Variable	ZT18
AT4G25100	Variable	ZT18
AT2G48140	Variable	ZT18
AT1G62500	Variable	ZT18
AT4G21990	Variable	ZT18
AT3G01420	Variable	ZT18
AT5G64260	Variable	ZT18
AT5G09480	Variable	ZT18
AT2G38530	Variable	ZT18
AT1G52827	Variable	ZT18
AT2G46600	Variable	ZT18
AT5G47610	Variable	ZT18
AT1G62180	Variable	ZT18
AT1G45145	Variable	ZT18
AT2G39570	Variable	ZT18
AT4G01870	Variable	ZT18
AT5G38940	Variable	ZT18
AT5G09530	Variable	ZT18
AT5G19120	Variable	ZT18
AT2G43535	Variable	ZT18
AT1G54740	Variable	ZT18
AT3G54040	Variable	ZT18
AT3G17510	Variable	ZT18
AT3G17998	Variable	ZT18
AT1G52100	Variable	ZT18
AT2G43590	Variable	ZT18
AT3G25820	Variable	ZT18
AT2G27830	Variable	ZT18
AT2G18370	Variable	ZT18
AT2G27550	Variable	ZT18
AT4G02520	Variable	ZT18
AT2G36885	Variable	ZT18
AT1G02360	Variable	ZT18
AT4G02270	Variable	ZT18
AT4G12545	Variable	ZT18
AT1G77760	Variable	ZT18
AT3G22240	Variable	ZT18
AT4G26320	Variable	ZT18
AT2G40300	Variable	ZT18
AT1G74500	Variable	ZT18
AT2G29340	Variable	ZT18
AT2G37760	Variable	ZT18
AT5G20250	Variable	ZT18
AT1G17180	Variable	ZT18
AT4G12470	Variable	ZT18
AT1G80440	Variable	ZT18
AT2G38390	Variable	ZT18
AT5G47560	Variable	ZT18
AT1G75750	Variable	ZT18
AT4G12510	Variable	ZT18
AT1G13300	Variable	ZT18
AT1G60140	Variable	ZT18
AT2G24945	Variable	ZT18
AT5G56540	Variable	ZT18
AT3G16530	Variable	ZT18
AT2G41090	Variable	ZT18
AT5G40850	Variable	ZT18
AT3G62040	Variable	ZT18
AT5G40730	Variable	ZT18
AT5G10580	Variable	ZT18
AT1G66280	Variable	ZT18
AT4G15390	Variable	ZT18
AT1G05240	Variable	ZT18
AT4G38540	Variable	ZT18
AT3G13470	Variable	ZT18
AT2G39450	Variable	ZT18
AT4G30140	Variable	ZT18
AT3G45140	Variable	ZT18
AT5G18150	Variable	ZT18
AT1G73120	Variable	ZT18
AT5G64100	Variable	ZT18
AT5G18600	Variable	ZT18
AT5G64572	Variable	ZT18
AT2G41380	Variable	ZT18
AT3G16670	Variable	ZT18
AT2G19800	Variable	ZT18
AT1G32450	Variable	ZT18
AT2G33770	Variable	ZT18
AT1G66270	Variable	ZT18
AT2G22510	Variable	ZT18
AT5G61820	Variable	ZT18
AT2G36100	Variable	ZT18
AT2G22470	Variable	ZT18
AT5G55450	Variable	ZT18
AT2G15960	Variable	ZT18
AT1G52200	Variable	ZT18
AT1G54000	Variable	ZT18
AT5G56750	Variable	ZT18
AT3G08770	Variable	ZT18
AT5G65010	Variable	ZT18
AT1G08830	Variable	ZT18
AT1G69530	Variable	ZT18
AT2G18328	Variable	ZT18
AT1G22890	Variable	ZT18
AT5G07440	Variable	ZT18
AT1G44800	Variable	ZT18
AT4G35090	Variable	ZT18
AT5G06860	Variable	ZT18
AT1G14870	Variable	ZT18
AT4G11650	Variable	ZT18
AT5G14120	Variable	ZT18
AT5G18170	Variable	ZT18
AT5G21170	Variable	ZT18
AT5G44550	Variable	ZT18
ATMG01390	Variable	ZT18
AT4G11211	Variable	ZT18
AT3G02470	Variable	ZT18
AT3G56360	Variable	ZT18
AT2G21045	Variable	ZT18
AT4G34600	Variable	ZT18
AT5G43580	Variable	ZT18
AT2G01010	Variable	ZT18
AT4G21850	Variable	ZT18
AT5G23020	Variable	ZT18
AT4G21870	Variable	ZT18
AT3G08520	Variable	ZT18
AT5G05960	Variable	ZT18
AT3G25770	Variable	ZT18
AT5G25980	Variable	ZT18
AT3G22121	Variable	ZT18
AT3G48990	Variable	ZT18
AT5G47500	Variable	ZT18
AT5G51010	Variable	ZT18
AT1G10522	Variable	ZT18
AT2G25510	Variable	ZT18
AT1G07600	Variable	ZT18
AT5G17820	Variable	ZT18
AT1G21310	Variable	ZT18
AT5G42530	Variable	ZT18
AT3G09270	Variable	ZT18
AT1G78020	Variable	ZT18
AT2G26980	Variable	ZT18
AT2G37040	Variable	ZT18
AT1G30510	Variable	ZT18
AT1G10682	Variable	ZT18
AT3G02570	Variable	ZT18
AT2G44790	Variable	ZT18
AT5G59520	Variable	ZT18
AT1G78370	Variable	ZT18
AT3G27060	Variable	ZT18
AT3G17609	Variable	ZT18
AT4G34710	Variable	ZT18
AT1G09560	Variable	ZT18
AT1G31580	Variable	ZT18
AT2G40100	Variable	ZT18
ATCG00020	Variable	ZT18
AT1G80920	Variable	ZT18
AT2G43150	Variable	ZT18
AT3G16770	Variable	ZT18
AT4G25700	Variable	ZT18
AT4G37410	Variable	ZT18
AT2G40205	Variable	ZT18
AT1G29910	Variable	ZT18
ATCG00920	Variable	ZT18
AT2G38380	Variable	ZT18
AT5G53160	Variable	ZT18
AT1G29920	Variable	ZT18
AT4G15910	Variable	ZT18
AT3G19710	Variable	ZT18
AT1G17860	Variable	ZT18
AT3G32980	Variable	ZT18
AT1G20620	Variable	ZT18
AT5G54270	Variable	ZT18
ATCG00950	Variable	ZT18
AT1G15820	Variable	ZT18
AT3G53930	Stable	ZT18
AT4G28370	Stable	ZT18
AT2G35940	Stable	ZT18
AT5G53430	Stable	ZT18
AT3G23310	Stable	ZT18
AT1G72340	Stable	ZT18
AT2G27460	Stable	ZT18
AT3G13150	Stable	ZT18
AT2G06000	Stable	ZT18
AT1G56290	Stable	ZT18
AT2G47090	Stable	ZT18
AT2G44660	Stable	ZT18
AT3G18090	Stable	ZT18
AT3G43240	Stable	ZT18
AT1G77600	Stable	ZT18
AT1G33060	Stable	ZT18
AT2G27090	Stable	ZT18
AT5G22760	Stable	ZT18
AT5G63930	Stable	ZT18
AT5G65920	Stable	ZT18
AT1G68550	Stable	ZT18
AT5G13460	Stable	ZT18
AT3G18640	Stable	ZT18
AT2G34970	Stable	ZT18
AT1G19650	Stable	ZT18
AT3G49840	Stable	ZT18
AT5G54830	Stable	ZT18
AT3G04485	Stable	ZT18
AT1G11330	Stable	ZT18
AT3G15350	Stable	ZT18
AT5G24320	Stable	ZT18
AT1G02010	Stable	ZT18
AT4G20400	Stable	ZT18
AT1G03560	Stable	ZT18
AT3G49050	Stable	ZT18
AT3G10980	Stable	ZT18
AT1G62330	Stable	ZT18
AT1G61670	Stable	ZT18
AT4G27120	Stable	ZT18
AT2G26680	Stable	ZT18
AT3G53240	Stable	ZT18
AT5G52380	Stable	ZT18
AT5G47970	Stable	ZT18
AT3G01460	Stable	ZT18
AT1G05630	Stable	ZT18
AT1G66880	Stable	ZT18
AT5G59740	Stable	ZT18
AT2G01980	Stable	ZT18
AT5G01560	Stable	ZT18
AT1G16690	Stable	ZT18
AT3G01610	Stable	ZT18
AT4G19870	Stable	ZT18
AT2G20830	Stable	ZT18
AT3G09970	Stable	ZT18
AT3G11070	Stable	ZT18
AT4G25520	Stable	ZT18
AT1G43690	Stable	ZT18
AT3G49600	Stable	ZT18
AT4G27940	Stable	ZT18
AT3G23740	Stable	ZT18
AT5G56520	Stable	ZT18
AT3G61800	Stable	ZT18
AT1G09980	Stable	ZT18
AT1G59980	Stable	ZT18
AT5G63120	Stable	ZT18
AT4G39820	Stable	ZT18
AT5G01290	Stable	ZT18
AT2G33320	Stable	ZT18
AT4G36240	Stable	ZT18
AT5G05970	Stable	ZT18
AT4G29790	Stable	ZT18
AT1G80150	Stable	ZT18
AT3G50110	Stable	ZT18
AT5G61990	Stable	ZT18
AT4G36630	Stable	ZT18
AT5G66010	Stable	ZT18
AT1G11280	Stable	ZT18
AT5G66560	Stable	ZT18
AT5G51290	Stable	ZT18
AT3G01435	Stable	ZT18
AT5G63410	Stable	ZT18
AT1G01950	Stable	ZT18
AT1G63160	Stable	ZT18
AT3G20910	Stable	ZT18
AT5G53060	Stable	ZT18
AT5G14850	Stable	ZT18
AT5G41330	Stable	ZT18
AT5G45020	Stable	ZT18
AT1G24267	Stable	ZT18
AT1G74160	Stable	ZT18
AT1G68940	Stable	ZT18
AT5G07120	Stable	ZT18
AT1G62050	Stable	ZT18
AT3G19840	Stable	ZT18
AT2G39740	Stable	ZT18
AT5G05470	Stable	ZT18
AT4G03250	Stable	ZT18
AT5G22820	Stable	ZT18
AT5G47800	Stable	ZT18
AT2G22530	Stable	ZT18
AT5G43720	Stable	ZT18
AT1G47230	Stable	ZT18
AT2G38460	Stable	ZT18
AT4G24200	Stable	ZT18
AT4G11790	Stable	ZT18
AT4G32790	Stable	ZT18
AT4G32820	Stable	ZT18
AT5G08780	Stable	ZT18
AT5G55500	Stable	ZT18
AT2G19260	Stable	ZT18
AT5G57160	Stable	ZT18
AT5G58980	Stable	ZT18
AT4G14605	Stable	ZT18
AT4G18975	Stable	ZT18
AT2G34570	Stable	ZT18
AT5G44510	Stable	ZT18
AT2G14680	Stable	ZT18
AT2G17670	Stable	ZT18
AT1G68910	Stable	ZT18
AT2G36470	Stable	ZT18
AT4G15570	Stable	ZT18
AT3G12590	Stable	ZT18
AT5G50860	Stable	ZT18
AT5G02910	Stable	ZT18
AT1G28390	Stable	ZT18
AT1G32930	Stable	ZT18
AT2G14740	Stable	ZT18
AT4G00500	Stable	ZT18
AT2G41370	Stable	ZT18
AT5G58510	Stable	ZT18
AT1G08260	Stable	ZT18
AT1G77720	Stable	ZT18
AT2G06510	Stable	ZT18
AT2G23200	Stable	ZT18
AT3G17250	Stable	ZT18
AT4G30000	Stable	ZT18
AT5G22110	Stable	ZT18
AT1G29550	Stable	ZT18
AT5G19900	Stable	ZT18
AT1G07510	Stable	ZT18
AT5G66950	Stable	ZT18
AT1G03190	Stable	ZT18
AT1G17930	Stable	ZT18
AT1G77850	Stable	ZT18
AT4G17720	Stable	ZT18
AT3G55320	Stable	ZT18
AT1G14020	Stable	ZT18
AT1G13940	Stable	ZT18
AT1G80290	Stable	ZT18
AT3G43700	Stable	ZT18
AT1G65470	Stable	ZT18
AT1G67792	Stable	ZT18
AT2G23950	Stable	ZT18
AT2G37160	Stable	ZT18
AT4G34910	Stable	ZT18
AT5G57610	Stable	ZT18
AT4G23040	Stable	ZT18
AT2G46180	Stable	ZT18
AT1G55820	Stable	ZT18
AT2G28880	Stable	ZT18
AT5G47490	Stable	ZT18
AT3G04580	Stable	ZT18
AT4G25210	Stable	ZT18
AT5G42970	Stable	ZT18
AT3G52940	Stable	ZT18
AT1G67190	Stable	ZT18
AT1G69670	Stable	ZT18
AT5G15580	Stable	ZT18
AT1G10180	Stable	ZT18
AT5G43900	Stable	ZT18
AT1G63670	Stable	ZT18
AT2G44950	Stable	ZT18
AT4G00480	Stable	ZT18
AT5G02410	Stable	ZT18
AT5G10190	Stable	ZT18
AT1G80630	Stable	ZT18
AT5G62620	Stable	ZT18
AT1G13120	Stable	ZT18
AT4G12130	Stable	ZT18
AT2G26200	Stable	ZT18
AT3G43590	Stable	ZT18
AT5G51280	Stable	ZT18
AT1G48635	Stable	ZT18
AT1G53040	Stable	ZT18
AT3G49880	Stable	ZT18
AT4G16110	Stable	ZT18
AT5G23100	Stable	ZT18
AT2G34930	Stable	ZT18
AT4G00440	Stable	ZT18
AT1G67880	Stable	ZT18
AT3G18370	Stable	ZT18
AT2G48060	Stable	ZT18
AT2G13100	Stable	ZT18
AT3G30841	Stable	ZT18
AT3G17430	Stable	ZT18
AT4G36940	Stable	ZT18
AT3G15920	Stable	ZT18
AT3G17910	Stable	ZT18
AT3G51250	Stable	ZT18
AT3G12990	Stable	ZT18
AT4G22540	Stable	ZT18
AT1G74750	Stable	ZT18
AT3G11570	Stable	ZT18
AT3G20490	Stable	ZT18
AT5G19080	Stable	ZT18
AT5G20320	Stable	ZT18
AT5G47580	Stable	ZT18
AT5G46740	Stable	ZT18
AT5G54200	Stable	ZT18
AT3G13225	Stable	ZT18
AT4G37820	Stable	ZT18
AT3G12100	Stable	ZT18
AT3G13226	Stable	ZT18
AT1G26830	Stable	ZT18
AT5G37530	Stable	ZT18
AT1G65650	Stable	ZT18
AT4G01810	Stable	ZT18
AT4G17020	Stable	ZT18
AT5G35910	Stable	ZT18
AT2G18245	Stable	ZT18
AT1G07380	Stable	ZT18
AT3G48150	Stable	ZT18
AT3G54170	Stable	ZT18
AT3G55340	Stable	ZT18
AT1G02270	Stable	ZT18
AT3G16170	Stable	ZT18
AT4G00520	Stable	ZT18
AT5G14270	Stable	ZT18
AT3G56480	Stable	ZT18
AT3G14130	Stable	ZT18
AT5G44080	Stable	ZT18
AT3G12390	Stable	ZT18
AT1G77440	Stable	ZT18
AT1G70340	Stable	ZT18
AT3G16785	Stable	ZT18
AT5G15170	Stable	ZT18
AT3G09710	Stable	ZT18
AT4G29860	Stable	ZT18
AT5G42140	Stable	ZT18
AT3G50860	Stable	ZT18
AT5G65685	Stable	ZT18
AT2G40980	Stable	ZT18
AT2G17700	Stable	ZT18
AT5G48520	Stable	ZT18
AT4G02630	Stable	ZT18
AT1G09800	Stable	ZT18
AT1G33390	Stable	ZT18
AT1G73710	Stable	ZT18
AT4G19010	Stable	ZT18
AT5G55760	Stable	ZT18
AT4G22290	Stable	ZT18
AT3G16940	Stable	ZT18
AT1G74390	Stable	ZT18
AT3G59100	Stable	ZT18
AT4G21530	Stable	ZT18
AT2G25355	Stable	ZT18
AT1G18340	Stable	ZT18
AT2G21150	Stable	ZT18
AT4G39240	Stable	ZT18
AT1G14770	Stable	ZT18
AT2G41020	Stable	ZT18
AT3G51120	Stable	ZT18
AT5G26910	Stable	ZT18
AT5G41800	Stable	ZT18
AT5G50350	Stable	ZT18
AT3G06210	Stable	ZT18
AT3G23790	Stable	ZT18
AT5G04890	Stable	ZT18
AT5G43880	Stable	ZT18
AT3G07800	Stable	ZT18
AT3G51480	Stable	ZT18
AT5G05660	Stable	ZT18
AT5G45190	Stable	ZT18
AT3G07210	Stable	ZT18
AT3G08020	Stable	ZT18
AT3G27700	Stable	ZT18
AT4G15415	Stable	ZT18
AT1G75710	Stable	ZT18
AT2G39280	Stable	ZT18
AT5G50530	Stable	ZT18
AT2G47310	Stable	ZT18
AT3G04160	Stable	ZT18
AT4G02760	Stable	ZT18
AT3G49060	Stable	ZT18
AT1G29630	Stable	ZT18
AT2G44980	Stable	ZT18
AT3G50430	Stable	ZT18
AT3G07020	Stable	ZT18
AT5G12290	Stable	ZT18
AT3G17712	Stable	ZT18
AT3G56690	Stable	ZT18
AT4G03090	Stable	ZT18
AT3G04750	Stable	ZT18
AT5G06850	Stable	ZT18
AT5G42400	Stable	ZT18
AT5G63950	Stable	ZT18
AT3G23780	Stable	ZT18
AT4G17430	Stable	ZT18
AT3G63130	Stable	ZT18
AT5G27540	Stable	ZT18
AT4G32920	Stable	ZT18
AT2G29910	Stable	ZT18
AT1G20200	Stable	ZT18
AT3G03680	Stable	ZT18
AT4G39420	Stable	ZT18
AT5G10080	Stable	ZT18
AT5G53890	Stable	ZT18
AT1G49720	Stable	ZT18
AT3G09890	Stable	ZT18
AT1G33080	Stable	ZT18
AT2G24520	Stable	ZT18
AT4G36090	Stable	ZT18
AT3G15940	Stable	ZT18
AT4G09630	Stable	ZT18
AT3G12380	Stable	ZT18
