"Gene"	"effect.size"	"p.value"	"q.value"	"Mean"	"CV2"	"TechNoise"	"BioVar"
"AT2G42540"	6.84407356295254	0	0	16.4285714285714	6.89019049003926	0.0461169270867175	7.22310367383931
"AT4G12490"	1.57472032048983	0	0	11.2142857142857	1.64070316474065	0.0659828442508221	4.63607947258174
"AT2G14247"	1.50260204731757	0	0	160.285714285714	1.51037280150209	0.00777075418451538	7.60263434986287
"AT5G09672"	1.40120936164565	0	0	7.42857142857143	1.49908966772872	0.0978803060830711	3.93692425723849
"AT1G13609"	1.36373874708794	0	0	75.8571428571429	1.3763834769293	0.0126447298413547	6.76620245424969
"AT5G45428"	1.34828515039179	0	0	26.8571428571429	1.37781192325104	0.0295267728592472	5.54421147256525
"AT4G35770"	1.20867543657088	0	0	37.5714285714286	1.23074921290885	0.0220737763379736	5.80105954256792
"AT2G41240"	1.12691343385802	0	0	76.9285714285714	1.1394292900023	0.012515856144279	6.50841060565356
"AT5G27889"	1.08115072419639	0	0	16.9285714285714	1.12600572174358	0.0448549975471908	4.64980161533997
"AT2G04040"	1.07895765697053	0	0	8.21428571428571	1.16779991275265	0.0888422557821204	3.71640327360133
"AT1G07901"	1.0761926744175	0	0	9.28571428571429	1.15517523896222	0.0789825645447197	3.87043370093789
"AT3G13857"	0.970696292460874	0	0	13.0714285714286	1.02778639139832	0.0570900989374494	4.17015608234459
"AT3G44006"	0.957542892409144	0	0	10.1428571428571	1.03013748798315	0.0725945955740095	3.82683094190905
"AT4G19112"	0.909006297837389	0	0	17.7857142857143	0.951863059280682	0.0428567614432932	4.47315929459847
"AT5G04150"	0.867348935063534	0	0	17.4285714285714	0.911014408864449	0.0436654738009157	4.38290897265604
"AT4G26055"	0.797433572095927	4.44089209850063e-16	7.68923002672974e-14	7	0.901098901098901	0.103665329002975	3.11975199561955
"AT1G47400"	0.778457524779479	0	0	106.142857142857	0.788462060990405	0.010004536210926	6.30031514384117
"AT5G51720"	0.761983210741234	0	0	24.7142857142857	0.793776039190186	0.0317928284489523	4.64195873734808
"AT1G25472"	0.746859748024052	4.54414283979077e-13	6.60615482652601e-11	6.07142857142857	0.865861059355869	0.119001311331817	2.86315806968822
"AT3G56980"	0.70467021013453	0	0	56.7142857142857	0.720438163185722	0.015767953051192	5.51380731496764
"AT3G56970"	0.692758940847598	0	0	48.6428571428571	0.710580532777742	0.0178215919301437	5.31730004702216
"AT5G44585"	0.683662692754749	1.664625104425e-10	1.85883136660792e-08	5.35714285714286	0.818078632478633	0.134415939723884	2.60553528913663
"AT3G12900"	0.667372367603242	0	0	16.0714285714286	0.714438746438746	0.0470663788355042	3.92404155961707
"AT2G24940"	0.663712618187216	0	0	13.8571428571429	0.717757956784421	0.0540453385972046	3.7312553224794
"AT1G47395"	0.64980411464263	0	0	175.285714285714	0.657200124443864	0.00739600980123413	6.47344180663265
"AT3G02480"	0.640127483158408	2.22044604925031e-16	3.88830382033492e-14	9.21428571428571	0.719696024184937	0.0795685410265291	3.1771176374892
"AT5G53450"	0.638343293979189	0	0	182.928571428571	0.645571997251387	0.00722870327219806	6.48069731930818
"AT5G42800"	0.633686019389344	0	0	30.5714285714286	0.660037490677721	0.0263514712883769	4.6465925534933
"AT4G22880"	0.598870535526406	0	0	24.9285714285714	0.630419227327299	0.0315486918008924	4.32065944789334
"AT5G54060"	0.591775362628925	5.55111512312578e-16	9.50474267192981e-14	9.85714285714286	0.666375842179245	0.0746004795503195	3.15907929066015
"AT3G47340"	0.544130328700521	2.04193518760221e-08	1.69173232478226e-06	5.5	0.675143038779402	0.131012710078882	2.36548640997661
"AT4G30270"	0.540083665061405	0	0	109	0.54991486083145	0.009831195770045	5.80569756162746
"AT5G04790"	0.503564204359099	2.22044604925031e-16	3.88830382033492e-14	12.4285714285714	0.563431811945486	0.0598676075863874	3.23439349816848
