tracking_id	FPKM_WT_ZT10_seedling_7	TPM_WT_ZT10_seedling_7	Raw_WT_ZT10_seedling_7
AT1G01010	8.13302	9.860457887	245
AT1G01020	12.3814	15.01118567	283
AT1G01030	3.38735	4.106816659	101
AT1G01040	9.18793	11.13942875	1074
AT1G01046	1.64231	1.991133502	3
AT1G01050	99.1993	120.2690415	1434
AT1G01060	0.333197	0.403967405	16
AT1G01070	3.9989	4.848258709	71
AT1G01073	0	0	0
AT1G01080	102.625	124.4223536	1994
AT1G01090	157.616	191.0933368	4452
AT1G01100	504.295	611.4062931	4794
AT1G01110	3.97684	4.821513207	139
AT1G01115	0	0	0
AT1G01120	21.7952	26.42445878	676
AT1G01130	2.88765	3.500981335	36
AT1G01140	16.4961	19.99984008	515
AT1G01150	0.0496923	0.060246849	1
AT1G01160	31.5354	38.23345862	636
AT1G01170	109.934	133.2837713	587
AT1G01180	6.90544	8.372142243	136
AT1G01183	0	0	0
AT1G01190	6.81267	8.259668073	227
AT1G01200	4.44331	5.387060542	79
AT1G01210	35.6535	43.22623518	355
AT1G01220	14.1467	17.15143201	891
AT1G01225	9.26208	11.22932807	140
AT1G01230	34.9464	42.3689485	412
AT1G01240	5.53031	6.704937263	123
AT1G01250	2.36586	2.868364137	37
AT1G01260	9.89698	11.99907962	431
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	14.8893	18.05175883	262
AT1G01300	90.0551	109.1826309	2679
AT1G01305	0	0	0
AT1G01310	0	0	0
AT1G01320	116.251	140.94249	13548
AT1G01340	5.23997	6.352929602	205
AT1G01350	17.5829	21.31747432	449
AT1G01355	0	0	1
AT1G01360	9.15883	11.10414797	149
AT1G01370	12.1299	14.70626755	189
AT1G01380	2.54554	3.086207825	21
AT1G01390	4.63576	5.620386554	136
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	7.05081	8.548388553	190
AT1G01430	42.3506	51.34578641	1100
AT1G01440	8.03235	9.738405771	369
AT1G01448	5.77281	6.998943799	146
AT1G01450	4.42844	5.369032183	0
AT1G01453	0.895714	1.08596194	18
AT1G01460	0	0	0
AT1G01470	162.613	197.1516901	1869
AT1G01471	0	0	0
AT1G01480	0.691458	0.838322356	18
AT1G01490	29.327	35.55599869	523
AT1G01500	15.3912	18.66026143	390
AT1G01510	23.2691	28.21141232	982
AT1G01520	0.222678	0.269974381	8
AT1G01530	0	0	0
AT1G01540	34.9853	42.41611078	1235
AT1G01550	87.2917	105.8322901	1860
AT1G01560	0.0951119	0.115313486	2
AT1G01570	1.95409	2.369134977	57
AT1G01580	0.754726	0.915028358	29
AT1G01590	0.0294691	0.03572828	1
AT1G01600	8.17566	9.912154541	333
AT1G01610	35.0561	42.50194857	1068
AT1G01620	213.892	259.3222515	4468
AT1G01630	56.6408	68.67119755	1201
AT1G01640	8.32043	10.08767341	130
AT1G01650	17.0498	20.6711449	617
AT1G01660	0.525213	0.636767236	27
AT1G01670	1.00221	1.215077486	27
AT1G01680	0	0	0
AT1G01690	5.56255	6.744024977	201
AT1G01695	0.30763	0.372970023	6
AT1G01700	1.27772	1.549105283	46
AT1G01710	15.5156	18.81108375	722
AT1G01720	27.0194	32.75826886	635
AT1G01725	12.3619	14.98754391	61
AT1G01730	26.9054	32.62005548	445
AT1G01740	5.51864	6.690788577	191
AT1G01750	15.4386	18.7177291	197
AT1G01760	4.81776	5.841043006	114
AT1G01770	9.55526	11.58477894	428
AT1G01780	16.0972	19.51621448	245
AT1G01790	55.3278	67.07931886	3977
AT1G01800	55.1923	66.91503892	939
AT1G01810	1.56509	1.897512121	16
AT1G01820	69.5774	84.35550663	1089
AT1G01830	6.93105	8.403191758	309
AT1G01840	3.60521	4.370949706	51
AT1G01860	17.7877	21.56577345	349
AT1G01870	0	0	0
AT1G01880	2.44119	2.959694085	80
AT1G01890	0	0	0
AT1G01900	5.18282	6.283641051	252
AT1G01910	47.5493	57.64868034	1209
AT1G01920	15.8199	19.18001649	602
AT1G01930	8.82562	10.7001648	340
AT1G01940	30.5709	37.06410067	386
AT1G01950	9.29908	11.2741868	563
AT1G01960	25.5646	30.99447213	2634
AT1G01970	33.7473	40.91516195	913
AT1G01980	0.0270745	0.032825072	1
AT1G01990	24.5328	29.74351978	487
AT1G02000	7.27978	8.825991343	244
AT1G02010	5.93631	7.197170886	292
AT1G02020	9.55562	11.5852154	387
AT1G02030	0.542305	0.657489544	18
AT1G02040	0	0	0
AT1G02050	5.3013	6.427285977	176
AT1G02060	5.22226	6.331458032	210
AT1G02065	0.890061	1.079108253	25
AT1G02070	0.316112	0.383253584	5
AT1G02074	0	0	0
AT1G02080	26.8665	32.57289319	3347
AT1G02090	42.4102	51.41804533	940
AT1G02100	26.6879	32.3563589	707
AT1G02110	13.5817	16.46642709	711
AT1G02120	27.4679	33.3020294	1184
AT1G02130	53.1143	64.39567569	863
AT1G02140	174.793	211.9186988	1895
AT1G02145	20.3708	24.69751894	501
AT1G02150	89.717	108.7727191	3381
AT1G02160	41.6539	50.50110866	300
AT1G02170	20.8977	25.3363315	534
AT1G02180	7.85364	9.521738109	120
AT1G02190	0	0	0
AT1G02205	21.9637	26.62874786	947
AT1G02210	0	0	0
AT1G02220	11.5928	14.05508854	294
AT1G02228	0	0	0
AT1G02230	0.924211	1.120511648	17
AT1G02250	0.0620962	0.075285314	2
AT1G02260	14.6138	17.71774316	475
AT1G02270	19.628	23.79694964	496
AT1G02280	95.1338	115.3400371	1782
AT1G02290	8.68653	10.53153235	247
AT1G02300	16.85	20.42890776	412
AT1G02305	34.7431	42.12246796	792
AT1G02310	0.204252	0.247634734	6
AT1G02320	0	0	0
AT1G02330	28.8417	34.9676219	612
AT1G02335	17.9941	21.81601241	215
AT1G02340	1.25031	1.515873452	23
AT1G02350	2.62366	3.180920364	59
AT1G02360	23.6831	28.71334513	412
AT1G02370	10.6586	12.92246625	322
AT1G02380	2.6167	3.172482073	50
AT1G02390	1.30239	1.579015144	38
AT1G02391	0	0	0
AT1G02400	5.65864	6.860524309	118
AT1G02405	0.156148	0.189313536	1
AT1G02410	20.9119	25.35354755	406
AT1G02420	3.74857	4.544759096	94
AT1G02430	2.66973	3.236775544	60
AT1G02440	0	0	2
AT1G02450	0.239274	0.29009534	2
AT1G02460	2.43252	2.949182594	76
AT1G02470	1.2753	1.54617128	15
AT1G02475	74.1928	89.95120876	810
AT1G02480	0	0	0
AT1G02490	0	0	6
AT1G02500	214.665	260.2594353	6817
AT1G02510	0	0	0
AT1G02520	3.63621	4.408534047	279
AT1G02530	0.0927593	0.112461198	8
AT1G02540	0	0	0
AT1G02550	0	0	0
AT1G02560	287.492	348.5547507	6145
AT1G02570	0.590149	0.715495518	8
AT1G02575	0	0	0
AT1G02580	0.217724	0.263968161	3
AT1G02590	0	0	0
AT1G02600	0	0	0
AT1G02610	1.45311	1.761747784	19
AT1G02620	0.217651	0.263879656	3
AT1G02630	0	0	0
AT1G02640	3.80398	4.611938074	199
AT1G02650	0.475233	0.57617158	12
AT1G02660	1.49241	1.809395028	67
AT1G02670	1.57425	1.908617688	80
AT1G02680	15.328	18.58363787	232
AT1G02690	23.3003	28.24923914	832
AT1G02700	1.83177	2.220834443	40
AT1G02710	9.27785	11.24844759	94
AT1G02720	16.9424	20.54093334	447
AT1G02730	28.9186	35.06085531	2191
AT1G02740	7.83945	9.50453418	189
AT1G02750	13.3156	16.14380796	199
AT1G02760	0	0	0
AT1G02770	0.324069	0.392900636	7
AT1G02780	782.991	949.2967903	14343
AT1G02790	0	0	0
AT1G02800	5.50754	6.677330958	167
AT1G02810	12.8822	15.61835463	440
AT1G02813	0.12389	0.150203999	1
AT1G02816	13.9746	16.9427783	173
AT1G02820	2.87653	3.487499468	24
AT1G02830	0.664842	0.806053169	2
AT1G02840	83.3579	101.0629585	2185
AT1G02850	12.9734	15.72892534	452
AT1G02860	9.53779	11.56359835	210
AT1G02870	54.7804	66.41565215	736
AT1G02880	32.8495	39.82667095	564
AT1G02890	27.7273	33.61652547	2183
AT1G02900	44.7354	54.23711337	417
AT1G02910	48.4742	58.77002733	1344
AT1G02920	25.3103	30.68615929	325
AT1G02930	19.7723	23.97189869	283
AT1G02940	0.263261	0.319177133	3
AT1G02950	13.322	16.15156731	64
AT1G02952	0.891001	1.080247908	0
AT1G02960	10.9287	13.24993497	355
AT1G02965	0	0	0
AT1G02970	5.10535	6.189716572	164
AT1G02980	0.0952313	0.115458246	5
AT1G02990	5.68261	6.889585491	451
AT1G03000	13.7989	16.72975996	744
AT1G03010	0.59082	0.716309038	21
AT1G03020	0.945327	1.146112646	4
AT1G03022	0	0	0
AT1G03030	14.474	17.54824991	334
AT1G03040	39.2038	47.53061211	976
AT1G03050	0.097488	0.118194265	4
