tracking_id	FPKM_WT_ZT6_seedling_15	TPM_WT_ZT6_seedling_15	Raw_WT_ZT6_seedling_15
AT1G01010	7.09877	7.956793369	112
AT1G01020	9.36973	10.50224272	146
AT1G01030	3.86347	4.330444919	62
AT1G01040	7.6201	8.541136162	479
AT1G01046	4.00047	4.484004013	2
AT1G01050	97.9885	109.8323015	745
AT1G01060	2.9443	3.300175483	68
AT1G01070	4.81541	5.397445241	52
AT1G01073	0	0	0
AT1G01080	106.059	118.8782772	1051
AT1G01090	151.391	169.6895244	2167
AT1G01100	499.067	559.3888795	2204
AT1G01110	2.94333	3.29908824	56
AT1G01115	0	0	0
AT1G01120	30.6643	34.37067251	472
AT1G01130	2.8077	3.147064737	19
AT1G01140	24.0417	26.94760348	389
AT1G01150	0.185353	0.207756488	4
AT1G01160	26.1899	29.35545491	257
AT1G01170	161.223	180.7099113	392
AT1G01180	6.29128	7.051702617	64
AT1G01183	0	0	1
AT1G01190	6.26015	7.016809956	108
AT1G01200	4.10777	4.604273289	35
AT1G01210	24.1703	27.09174727	124
AT1G01220	11.1566	12.50509045	367
AT1G01225	8.09824	9.077068609	64
AT1G01230	40.4511	45.34039619	243
AT1G01240	13.6868	15.34111395	164
AT1G01250	2.34836	2.632204632	16
AT1G01260	9.0522	10.14633309	207
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	14.5444	16.30237146	142
AT1G01300	55.3467	62.03641695	771
AT1G01305	0	0	0
AT1G01310	0.113482	0.12719849	1
AT1G01320	71.9675	80.66616143	4359
AT1G01340	2.29938	2.577304454	46
AT1G01350	15.1113	16.93779227	201
AT1G01355	0	0	0
AT1G01360	12.6536	14.18303179	103
AT1G01370	10.0886	11.30800203	78
AT1G01380	4.04752	4.536740914	17
AT1G01390	4.46732	5.007281846	62
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	11.312	12.67927353	153
AT1G01430	45.4271	50.91784183	591
AT1G01440	8.30665	9.31066898	199
AT1G01448	4.75193	5.326292458	51
AT1G01450	3.16315	3.54547773	0
AT1G01453	0.20139	0.225731869	2
AT1G01460	0	0	0
AT1G01470	134.966	151.2792461	786
AT1G01471	0	0	0
AT1G01480	0.895777	1.00404894	12
AT1G01490	41.9665	47.03896153	397
AT1G01500	18.5772	20.82261318	243
AT1G01510	20.483	22.9587659	436
AT1G01520	2.31707	2.597132632	18
AT1G01530	0	0	0
AT1G01540	33.9085	38.0069967	615
AT1G01550	106.935	119.8601587	1191
AT1G01560	0.273136	0.306149757	4
AT1G01570	2.09513	2.348366899	30
AT1G01580	0.626367	0.702075542	13
AT1G01590	0	0	0
AT1G01600	7.88849	8.841966273	160
AT1G01610	28.8485	32.33539803	438
AT1G01620	247.262	277.1483851	2570
AT1G01630	54.8053	61.42957831	594
AT1G01640	5.1954	5.823364367	42
AT1G01650	14.0105	15.70393934	260
AT1G01660	0.33071	0.370682687	11
AT1G01670	0.707249	0.792733692	10
AT1G01680	0	0	0
AT1G01690	5.94018	6.658165405	108
AT1G01695	0.755889	0.847252775	9
AT1G01700	2.23099	2.500648202	38
AT1G01710	16.653	18.66583647	396
AT1G01720	24.195	27.11943274	273
AT1G01725	22.9052	25.67373552	61
AT1G01730	28.0789	31.47277702	223
AT1G01740	4.06185	4.552802971	78
AT1G01750	12.6574	14.18729109	90
AT1G01760	2.37989	2.667545641	35
AT1G01770	10.3109	11.55717128	241
AT1G01780	19.102	21.41084539	141
AT1G01790	54.8524	61.48237125	2091
AT1G01800	62.6069	70.17415225	554
AT1G01810	0.782934	0.877566685	4
AT1G01820	58.5741	65.65391053	466
AT1G01830	8.78847	9.850726227	198
AT1G01840	2.38285	2.670863414	15
AT1G01860	17.4343	19.54157166	155
AT1G01870	0	0	0
AT1G01880	2.39898	2.688943036	42
AT1G01890	0	0	0
AT1G01900	5.16538	5.789715871	124
AT1G01910	37.9355	42.52073737	520
AT1G01920	10.8672	12.18071087	206
AT1G01930	9.46909	10.61361229	187
AT1G01940	23.2046	26.00932379	140
AT1G01950	8.81568	9.881225081	278
AT1G01960	19.3881	21.7315261	1052
AT1G01970	28.1003	31.49676362	412
AT1G01980	0	0	0
AT1G01990	19.9836	22.39900377	197
AT1G02000	6.33666	7.102567666	100
AT1G02010	5.9913	6.715464244	152
AT1G02020	7.8792	8.831553398	154
AT1G02030	0.470532	0.527404874	9
AT1G02040	0.103271	0.115753294	1
AT1G02050	4.82407	5.40715197	78
AT1G02060	3.36494	3.771657946	70
AT1G02065	0.982198	1.100915586	14
AT1G02070	0.702396	0.787294114	3
AT1G02074	0	0	0
AT1G02080	19.0441	21.34594706	1250
AT1G02090	35.2508	39.51153956	407
AT1G02100	23.5983	26.45061003	310
AT1G02110	12.2141	13.69040973	291
AT1G02120	28.9561	32.45600357	641
AT1G02130	56.1901	62.98175812	480
AT1G02140	166.054	186.1248309	911
AT1G02145	18.5066	20.74347981	256
AT1G02150	81.1709	90.98196996	1542
AT1G02160	50.4852	56.58731084	181
AT1G02170	17.8495	20.00695659	218
AT1G02180	8.79206	9.854750148	63
AT1G02190	0.246117	0.27586499	4
AT1G02205	18.4861	20.72050199	386
AT1G02210	0	0	0
AT1G02220	8.36323	9.374087766	109
AT1G02228	0	0	0
AT1G02230	0.216407	0.242563963	3
AT1G02250	0.234719	0.263089321	2
AT1G02260	11.2568	12.61740155	194
AT1G02270	24.8981	27.90751595	337
AT1G02280	85.6944	96.05222224	840
AT1G02290	7.53121	8.44150209	110
AT1G02300	22.9201	25.69043647	311
AT1G02305	40.025	44.86279378	499
AT1G02310	0.470415	0.527273732	6
AT1G02320	0	0	0
AT1G02330	24.45	27.40525441	273
AT1G02335	19.4542	21.80561556	114
AT1G02340	3.63594	4.075413527	35
AT1G02350	4.62874	5.188212569	36
AT1G02360	20.7323	23.23819861	180
AT1G02370	4.69258	5.259768865	79
AT1G02380	3.09267	3.466478862	31
AT1G02390	1.04171	1.16762076	15
AT1G02391	0	0	0
AT1G02400	8.32246	9.328389924	89
AT1G02405	0.360104	0.403629519	1
AT1G02410	25.4729	28.55179162	262
AT1G02420	2.48044	2.780249049	32
AT1G02430	1.38314	1.550319165	19
AT1G02440	0	0	1
AT1G02450	0	0	0
AT1G02460	2.3806	2.668341458	37
AT1G02470	1.47677	1.655266158	8
AT1G02475	78.2475	87.70522064	448
AT1G02480	0	0	0
AT1G02490	0	0	3
AT1G02500	221.181	247.9149929	3443
AT1G02510	0	0	0
AT1G02520	1.93381	2.167548263	76
AT1G02530	0.0509519	0.057110421	2
AT1G02540	0	0	0
AT1G02550	0	0	0
AT1G02560	275.809	309.1458411	3029
AT1G02570	0.723531	0.810983686	5
AT1G02575	0.143604	0.160961315	1
AT1G02580	0.180458	0.202269832	0
AT1G02590	0	0	0
AT1G02600	0	0	0
AT1G02610	2.06403	2.313507864	15
AT1G02620	0.668727	0.749555565	4
AT1G02630	0.0869733	0.097485702	1
AT1G02640	2.82788	3.169683879	75
AT1G02650	0.407655	0.456927975	6
AT1G02660	2.33909	2.621814174	56
AT1G02670	0.923204	1.034791022	28
AT1G02680	13.8223	15.49299174	105
AT1G02690	20.4277	22.89678182	376
AT1G02700	0.334789	0.375254712	9
AT1G02710	1.37154	1.537317081	16
AT1G02720	11.4572	12.84202376	154
AT1G02730	27.0556	30.32579146	1072
AT1G02740	7.57807	8.494026025	97
AT1G02750	12.1672	13.63784096	102
AT1G02760	0	0	0
AT1G02770	0.355826	0.39883444	3
AT1G02780	698.739	783.1950946	6513
AT1G02790	0	0	0
AT1G02800	5.54255	6.212474145	85
AT1G02810	7.10524	7.964045393	120
AT1G02813	0.250154	0.280389939	1
AT1G02816	15.3609	17.21756125	100
AT1G02820	25.2165	28.26440073	99
AT1G02830	0	0	0
AT1G02840	77.2461	86.58278212	1011
AT1G02850	9.84811	11.03844417	175
AT1G02860	8.23425	9.229518043	102
AT1G02870	30.277	33.93655983	206
AT1G02880	26.6548	29.87654705	247
AT1G02890	20.829	23.34658667	852
AT1G02900	34.8262	39.03561846	173
AT1G02910	45.6613	51.18034942	644
AT1G02920	14.0781	15.77971011	92
AT1G02930	34.0627	38.17983474	250
AT1G02940	0.865906	0.970567453	5
AT1G02950	12.4723	13.97981818	27
AT1G02952	0.900572	1.009423508	0
AT1G02960	13.0889	14.6709462	225
AT1G02965	0	0	0
AT1G02970	3.35388	3.759261132	55
AT1G02980	0.090194	0.101095686	3
AT1G02990	5.14755	5.769730771	224
AT1G03000	13.1101	14.69470863	387
AT1G03010	0.406908	0.456090686	7
AT1G03020	0	0	1
AT1G03022	0	0	0
AT1G03030	13.9168	15.59891389	161
AT1G03040	29.7592	33.35617371	378
AT1G03050	0	0	0
AT1G03055	11.9514	13.39595737	95
AT1G03060	5.27208	5.909312625	583
AT1G03070	1.86388	2.089165873	12
AT1G03080	10.285	11.52814076	633
AT1G03090	9.53525	10.687769	241
AT1G03100	1.62576	1.822264475	35
AT1G03103	0	0	0
AT1G03106	0.394218	0.441866854	1
AT1G03110	15.2764	17.12284779	215
AT1G03120	1.60845	1.802862227	11
AT1G03130	1065.3	1194.062067	7801
AT1G03140	30.0097	33.63695147	430
AT1G03150	32.5716	36.50850653	208
AT1G03160	33.1842	37.19515106	857
AT1G03170	0.221208	0.247945256	2
AT1G03180	4.82629	5.409640299	47
AT1G03190	5.81075	6.513091292	147
AT1G03200	11.3514	12.72343579	26
AT1G03210	17.0888	19.15431131	148
AT1G03220	98.2367	110.1105013	1182
AT1G03230	13.8719	15.54858686	163
AT1G03240	0	0	0
AT1G03250	30.5794	34.27551071	329
AT1G03260	8.44228	9.462692484	93
AT1G03270	3.42068	3.834135201	56
AT1G03280	17.2956	19.38610709	352
AT1G03290	9.23273	10.34868362	167
AT1G03300	2.54073	2.84782626	63
AT1G03310	46.3992	52.00743888	1223
AT1G03320	0.496837	0.556889341	4
AT1G03330	62.0789	69.58233326	318
AT1G03340	4.16557	4.669059535	49
AT1G03350	20.528	23.00920501	358
AT1G03360	15.4088	17.27125089	192
AT1G03365	8.18115	9.169999883	222
AT1G03370	5.89096	6.602996218	211
AT1G03380	10.81	12.11659715	380
AT1G03390	0	0	0
AT1G03400	10.4432	11.70546229	121
AT1G03410	2.05457	2.30290444	52
AT1G03420	42.4371	47.56644262	0
AT1G03430	26.2379	29.40925664	223
AT1G03440	16.9933	19.0472683	205
AT1G03445	0.154488	0.173160857	4
AT1G03457	6.56484	7.358327623	105
AT1G03470	6.37349	7.143849282	77
AT1G03475	182.174	204.1932441	2338
AT1G03490	0	0	2
AT1G03495	19.3065	21.64006316	253
AT1G03502	181.076	202.9625296	9
AT1G03506	0	0	1
AT1G03510	1.41933	1.590883425	15
AT1G03515	0	0	0
AT1G03520	7.20273	8.073318942	109
AT1G03530	5.26588	5.902363236	163
AT1G03540	0.941372	1.055154976	19
AT1G03545	0.73739	0.826517814	0
AT1G03550	7.55315	8.466093962	31
AT1G03560	4.98311	5.585415023	104
AT1G03570	0	0	0
AT1G03590	11.4878	12.87632236	225
AT1G03600	735.987	824.9452344	3872
AT1G03610	17.4747	19.58685478	217
AT1G03620	2.17987	2.443349364	20
AT1G03630	287.962	322.7677657	3641
AT1G03640	0	0	0
AT1G03650	3.76528	4.220386762	25
AT1G03660	3.2226	3.61211341	15
AT1G03670	0	0	0
AT1G03680	511.861	573.7292814	3188
AT1G03687	12.4609	13.96704027	170
AT1G03700	3.93718	4.413064195	17
AT1G03710	0.375403	0.420777698	3
AT1G03720	0	0	0
AT1G03730	13.5443	15.18139008	91
AT1G03740	12.4281	13.93027576	363
AT1G03743	0	0	0
AT1G03746	0	0	0
AT1G03750	2.33175	2.613586993	59
AT1G03760	5.16657	5.791049705	68
AT1G03770	2.81061	3.150326467	54
AT1G03780	12.7485	14.28940229	344
AT1G03790	0.0866513	0.097124782	1
AT1G03800	1.51078	1.693386923	10
AT1G03810	0	0	0
AT1G03820	34.4133	38.57281152	282
AT1G03830	3.48289	3.90386448	127
AT1G03840	2.70068	3.027109304	45
AT1G03850	24.0397	26.94536174	134
AT1G03860	64.1024	71.85041229	722
AT1G03870	62.2502	69.77433817	492
AT1G03880	0	0	0
AT1G03890	0	0	0
AT1G03900	63.1185	70.74758899	695
AT1G03905	4.04514	4.534073245	44
AT1G03910	20.756	23.26476321	534
AT1G03920	1.53031	1.7152775	29
AT1G03930	18.7994	21.07167034	390
AT1G03935	0	0	11
AT1G03940	4.86507	5.453107611	15
AT1G03950	15.9649	17.89456631	149
AT1G03960	8.40826	9.42456051	178
AT1G03970	5.83628	6.541707085	56
AT1G03980	3.923	4.397170268	8
AT1G03982	0	0	0
AT1G03990	1.0163	1.139139471	38
AT1G04000	14.5758	16.33756676	101
AT1G04010	5.63717	6.318530798	120
AT1G04020	9.19171	10.30270556	204
AT1G04030	4.41754	4.951484973	76
AT1G04040	64.3892	72.17187761	379
AT1G04050	1.71755	1.925149068	49
AT1G04070	21.5164	24.11707223	82
AT1G04080	39.7339	44.53650873	1117
AT1G04090	0.45868	0.514120331	8
AT1G04100	4.46872	5.008851063	50
AT1G04110	8.82256	9.888936662	219
AT1G04120	18.8515	21.13006763	876
AT1G04130	8.01597	8.984854692	106
AT1G04140	31.8027	35.64667012	920
AT1G04150	0.231939	0.259973305	8
AT1G04160	3.38946	3.799141662	161
AT1G04170	71.6077	80.26287266	1209
AT1G04171	0	0	0
AT1G04180	1.1707	1.312201691	18
AT1G04190	31.246	35.02268218	373
AT1G04200	17.7923	19.94284287	396
AT1G04210	19.3244	21.66012672	685
AT1G04220	9.33109	10.45893233	122
AT1G04230	7.27258	8.151611662	93
AT1G04240	31.3704	35.16211833	305
AT1G04250	63.9065	71.63083399	616
AT1G04260	20.7678	23.27798947	117
AT1G04270	560.524	628.2741442	3500
AT1G04280	16.7583	18.78386401	318
AT1G04290	16.3825	18.36264133	15
AT1G04295	14.6681	16.441023	0
AT1G04300	14.7593	16.54324628	554
AT1G04310	2.32073	2.601235013	61
AT1G04320	0	0	0
AT1G04330	1.68913	1.893293963	8
AT1G04340	41.09	46.05651958	248
AT1G04350	56.6383	63.48413174	600
AT1G04360	2.64968	2.96994497	33
AT1G04370	0.316107	0.354314632	1
AT1G04380	0.195426	0.219047004	3
AT1G04390	4.18445	4.690221547	139
AT1G04400	49.804	55.82377467	1106
AT1G04410	540.65	605.9979877	7055
AT1G04420	108.533	121.6513079	1516
AT1G04425	16.1874	18.14395973	61
AT1G04430	58.8774	65.99387019	1214
AT1G04440	31.2736	35.05361818	563
AT1G04445	0	0	0
AT1G04450	0	0	0
AT1G04470	0.0301469	0.033790735	1
AT1G04480	289.984	325.0341634	1355
AT1G04490	0.3344	0.374818694	6
AT1G04500	0.149927	0.168048572	2
AT1G04501	0	0	0
AT1G04510	37.9304	42.51502094	672
AT1G04520	21.5226	24.12402162	276
AT1G04530	53.847	60.35544926	692
AT1G04540	1.62292	1.819081206	33
AT1G04550	23.7572	26.62871616	254
AT1G04555	6.93737	7.775885064	49
AT1G04560	0	0	0
AT1G04570	1.79434	2.011220622	27
AT1G04580	0	0	0
AT1G04590	19.4443	21.79451895	246
AT1G04600	0.167001	0.187186294	9
AT1G04610	0.847264	0.949672208	13
AT1G04620	12.3854	13.88241464	190
AT1G04625	0	0	0
AT1G04630	63.3	70.95102676	372
AT1G04635	7.72657	8.660475116	39
AT1G04640	46.8169	52.47562599	336
AT1G04645	0	0	0
AT1G04650	3.09379	3.467734235	87
AT1G04660	0.08283	0.092841604	1
AT1G04670	0	0	0
