"tracking_id"	"TPM_ZT0_seedling1"	"TPM_ZT0_seedling10"	"TPM_ZT0_seedling12"	"TPM_ZT0_seedling13"	"TPM_ZT0_seedling14"	"TPM_ZT0_seedling15"	"TPM_ZT0_seedling16"	"TPM_ZT0_seedling2"	"TPM_ZT0_seedling4"	"TPM_ZT0_seedling5"	"TPM_ZT0_seedling6"	"TPM_ZT0_seedling7"	"TPM_ZT0_seedling8"	"TPM_ZT0_seedling9"
"AT1G51850"	10.325608	16.442057	9.124449	15.453172	19.802404	11.7266	13.153489	11.130818	13.012238	15.677736	14.90258	11.977816	11.416203	13.647739
"AT1G51860"	9.317833	15.83138	9.307319	17.058361	19.794252	9.986538	13.328704	12.415891	12.456884	17.317682	16.002953	12.413059	13.060385	12.655824
"AT1G51870"	0.838016	2.466679	0.77142	2.065946	1.627245	0.783684	1.305184	0.887229	1.17034	2.01496	2.014636	1.175766	2.945	1.224961
"AT1G51880"	1.048552	1.422372	0.196461	1.016335	1.527033	0.455753	1.10447	1.019657	0.394834	1.61541	2.09336	0.696245	1.213017	0.700909
"AT1G51890"	2.006267	4.946193	2.651181	5.325737	7.257531	3.071881	5.671459	3.648591	5.495372	5.790587	3.888057	4.392364	6.364718	3.983067
"AT1G51900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G51910"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G51913"	0	0.260529	0	0	0	0.449738	0	0	0	0	0	0	0	0.175107
"AT1G51915"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284027
"AT1G51920"	0	0	0	0	0.285057	0	0	0	0	0	0	0	0	1.006196
"AT1G51930"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G51940"	8.120564	10.459505	9.013348	7.620745	9.665634	7.815695	6.297537	9.360829	10.564978	9.432392	5.976331	9.224621	7.208769	9.940122
"AT1G51950"	35.488628	42.934338	42.702415	35.523277	41.052818	37.332405	38.878017	31.854673	36.150276	39.631779	35.131168	37.013325	31.656185	45.741302
"AT1G51960"	0.241013	0.142233	0.223639	0	0.127098	0.146931	0	0.29234	0	0	0.224237	0	0	0.215284
"AT1G51965"	6.752055	9.613901	6.574699	7.531171	9.51285	7.661321	7.783737	8.248448	9.093864	8.814895	7.84897	9.411524	9.255747	7.900919
"AT1G51970"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G51980"	131.666489	160.798676	126.16745	155.753525	164.639481	135.248123	139.465271	143.952469	145.411804	156.31897	145.385727	141.009048	136.641327	141.349213
"AT1G51990"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52000"	9.003704	14.775562	11.464183	12.798381	10.549531	4.012247	2.631917	4.105371	4.415726	6.695661	16.560545	3.879926	12.022981	5.28146
"AT1G52010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52020"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52030"	0.75333	1.951779	0.988005	0.812292	0.73853	0.208614	0	0.473158	0.317869	0.797682	0.386898	0.086799	0.418507	0.226074
"AT1G52040"	1.119755	2.293915	0.898762	0.294413	1.213186	0.823334	0.292406	1.113046	0.219382	0.679671	0	0.403636	1.312553	1.067268
