"position"	"cor_less_1seedling"	"cor_less_2seedling"	"cor_less_3seedling"	"cor_less_4seedling"	"cor_less_6seedling"	"cor_less_8seedling"	"cor_less_10seedling"
1	0.993452430110959	0.987022612236832	0.980184853496484	0.974005288580187	0.946209154332533	0.893923216200442	0.743096508581132
2	0.993078547261861	0.986223184978085	0.98145137637741	0.973796530879875	0.946252618520095	0.878849054350772	0.809677026037714
3	0.991763147658084	0.989054011223379	0.980834186001814	NA	0.943122514232615	0.882971681910953	0.751567473870536
4	0.994118339143842	0.988125679144264	0.974736610228594	0.959673502934919	0.950961341346586	0.844581018826977	0.76025681107543
5	0.992999259085444	0.981413906797871	0.954474182925019	0.960405242440683	0.951548093545238	0.853680669555239	0.799727634992998
6	0.98995659808481	0.963014250048783	0.968675179767504	0.967038343155801	0.950480852853943	0.882085691977976	0.825596528519876
7	0.975111252501842	0.976400002568833	0.974963452379057	0.971654447115735	0.937387726343713	0.903501463620398	0.793228783977831
8	0.987382885678086	0.980478263517143	0.976784561725088	0.966396595901027	0.926835682912221	0.875040721866053	0.743096508581132
9	0.988541021240459	0.982293529238892	0.971788559124415	0.962771030220898	0.955066709272691	0.897622493589192	0.76563197373425
10	0.989160531913052	0.983690551436886	0.965341614981393	0.952398640995184	0.940506109568225	0.893923216200442	0.725991601273746
11	0.99178617041657	0.971784421124992	0.96075433310031	NA	0.954981450576802	0.862221008644979	0.743607697791769
12	0.977932902536976	0.968760713871718	NA	0.963761959283655	0.946209154332533	0.883997236119148	0.784377854211336
13	0.975220112870309	0.985962599349114	0.968040642769804	NA	0.943497707718919	0.848300300692308	0.778720912981576
14	0.991361605871159	0.976561465140076	0.980905317265695	0.974005288580187	0.937162196568403	0.850772868250792	0.779299537805344
15	0.983654352438156	0.987678554699923	0.980184853496484	0.973946587595209	0.948759149250018	0.890402267266366	0.809677026037714
16	0.993652428499847	0.987022612236832	0.981348583168319	0.96978664034651	0.949581435114147	0.898182529320703	0.76563197373425
NA	NA	0.986877765794059	0.979831869183773	0.95046145894823	0.936642309193467	0.87846131619755	0.748334571580203
NA	NA	0.987599166360321	NA	0.962285778268049	0.942754609819341	0.900619052641476	0.773984049438253
NA	NA	0.986140867236222	0.968269776633328	0.969332517474707	0.925065410730614	0.878849054350772	0.839340939591401
NA	NA	0.983800799934212	0.967089118971861	0.97092509439347	0.949407707510397	0.862221008644979	0.802935210555048
NA	NA	0.968807704921305	0.974366044407855	0.967125433089804	0.941091401906298	0.869198890415218	0.823123073214737
NA	NA	0.979624578884687	0.977036814190473	0.95932971993354	0.953807788891833	0.840275204291483	0.751567473870536
NA	NA	0.983238497841028	0.978097871002238	0.955384303769145	0.946252618520095	0.861121735749189	0.725991601273746
NA	NA	0.983349052378064	0.969448867343626	NA	0.943497707718919	0.867085844598156	0.748334571580203
NA	NA	0.983427296195523	0.960692063369429	0.961952892818232	0.937171854742448	0.884835987828566	0.671409900837656
NA	NA	0.972908602181521	0.981446649050156	0.975227341070412	0.936584145220186	0.857141574634954	0.766895508153018
NA	NA	0.96893728416841	0.975456849920222	0.973796530879875	0.939200053947998	0.871198866006402	0.760996756611089
NA	NA	NA	NA	0.973946587595209	0.916879379106536	0.882971681910953	0.756444255763076
NA	NA	0.976829819760335	0.98145137637741	0.967589837122592	0.944997753554385	0.883997236119148	0.76025681107543
NA	NA	0.988129395663034	0.981348583168319	0.946235858215323	0.930592209997287	0.869198890415218	0.743607697791769
NA	NA	0.986223184978085	NA	0.961256167185336	0.952397766099784	0.845608824994487	0.773984049438253
NA	NA	0.986877765794059	0.977524684142623	0.967585879752125	0.942227101520612	0.865977411358471	0.671409900837656
NA	NA	0.986879133618459	0.958953925051426	0.966865889685967	0.953607217035157	0.899902246114055	0.785339788693713
NA	NA	0.987188920721839	0.970724507197221	0.965703967385418	0.943122514232615	0.892197175048942	0.754227538192905
NA	NA	NA	0.976046142289246	0.953490352425011	0.937162196568403	0.884714286513024	0.767265691467077
NA	NA	0.980924205492407	0.976955823166568	NA	0.937171854742448	0.897128726663665	0.799727634992998
NA	NA	0.978648653673473	0.98036341653183	NA	0.937051568149473	0.844581018826977	0.784377854211336
NA	NA	0.981545359589565	0.967005696336904	0.959518564236767	0.936109440582319	0.848300300692308	0.839340939591401
NA	NA	0.982965631797996	0.964827076233164	0.973279428292414	0.938274748134649	0.840275204291483	0.766895508153018
NA	NA	0.986051986855487	0.98178424073367	NA	0.925877088352476	0.845608824994487	0.785339788693713
NA	NA	0.975702944418217	0.9728413071503	0.96978664034651	0.90844861774873	0.808490207741595	0.802328227820143
NA	NA	0.968382394327101	0.984183325655406	0.967589837122592	0.942631209003763	0.865267656708779	0.818899035938118
NA	NA	0.987521833894229	0.980834186001814	0.942295111083888	0.929480146686233	0.869348740081484	0.825596528519876
NA	NA	0.981567329362442	0.979831869183773	0.954468271970711	0.93636305269228	0.85448885495477	0.778720912981576
NA	NA	NA	NA	0.962114628067469	0.950961341346586	0.866096169209952	0.802935210555048
NA	NA	0.989054011223379	0.976209936570482	0.96314956847369	0.948759149250018	0.853680669555239	0.760996756611089
NA	NA	0.987599166360321	0.956028745295064	0.952010018542254	0.936584145220186	0.850772868250792	0.754227538192905
NA	NA	0.986879133618459	0.969671848721459	0.953002903511251	0.937051568149473	0.861121735749189	0.802328227820143
NA	NA	NA	0.975156416419724	NA	0.94966801981762	0.865977411358471	0.81248889730537
NA	NA	0.985390673892841	NA	NA	0.947943717205849	0.808490207741595	0.793228783977831
NA	NA	0.971399924400031	0.979559506708134	0.952472790530124	0.94612659781435	0.868098269993115	0.779299537805344
NA	NA	0.981503933786163	0.963333575143906	0.968197891919622	0.925110593961327	0.87733419004864	0.823123073214737
NA	NA	0.983762995149047	0.962036423235317	0.959673502934919	0.95046562459408	0.852918409911022	0.756444255763076
NA	NA	0.983084344175223	0.980841271819895	0.95046145894823	0.938164883144865	0.871224387546784	0.767265691467077
NA	NA	0.988015326894723	0.971375790732204	0.946235858215323	0.953850400909718	0.882085691977976	0.818899035938118
NA	NA	0.973504289807625	0.982632538838665	0.942295111083888	0.951548093545238	0.890402267266366	0.81248889730537
NA	NA	0.971115052761402	0.974736610228594	0.949901718851142	0.949581435114147	0.867085844598156	0.743096508581132
NA	NA	0.987087493227221	NA	0.944539711376752	0.939200053947998	0.899902246114055	0.809677026037714
NA	NA	0.979809156149306	0.977524684142623	0.950567226841287	0.936109440582319	0.865267656708779	0.751567473870536
NA	NA	0.989928283219494	0.976209936570482	0.916791641112936	0.94966801981762	0.868098269993115	0.76025681107543
NA	NA	0.988125679144264	0.951660764765134	0.953960463185478	0.945312189175769	0.891302770539719	0.799727634992998
NA	NA	0.986140867236222	0.962746586851541	0.939138679591378	0.942911683712765	0.895508950708039	0.825596528519876
NA	NA	0.987188920721839	0.969426243504006	0.947861124107176	0.909149768730919	0.895968426003252	0.793228783977831
NA	NA	NA	0.970779086081139	NA	0.953558671505987	0.903501463620398	0.743096508581132
