Gene	BioVar_ZT2	BioVar_ZT4	BioVar_ZT6	BioVar_ZT8	BioVar_ZT10	BioVar_ZT12	BioVar_ZT14	BioVar_ZT16	BioVar_ZT18	BioVar_ZT20	BioVar_ZT22	BioVar_ZT24
AT2G41100	4.43471866	3.908571737	5.587463034	4.329312926	3.891624584	3.270910513	2.256012942	-0.16421592	3.054473757	3.099686971	2.562383222	2.094474803
AT3G13610	5.259194964	2.960511265	0.582938642	-0.824679498	-0.470244485	2.397914536	2.130300546	3.264051551	4.032424058	4.344558316	4.464993341	2.667238175
AT3G55240	3.309986676	3.215204244	2.330573957	1.895837747	1.113761548	NA	NA	NA	NA	NA	NA	3.602353751
AT1G25472	2.500938914	2.591464682	1.845949084	NA	2.680535022	3.176708846	2.997405175	2.790945693	2.86315807	3.284913376	3.008075583	3.540901114
AT1G52400	4.542901432	3.164432375	3.263932666	4.29092982	3.274645758	4.533553788	2.556262121	4.417573316	3.409366002	3.005408609	4.864355377	3.585339503
AT1G16515	2.509563972	0.645592019	0.045135702	NA	0.927702247	1.121174621	1.39998178	NA	2.037929583	NA	NA	NA
AT5G07842	2.203711041	1.843285281	0.945136659	2.188650445	1.336432298	1.51878986	1.322145971	0.938716171	1.25211386	1.974574362	2.286068491	1.123598977
AT2G33830	2.321460491	NA	1.6952634	3.901167847	3.096890742	4.741009733	2.092047948	4.283672591	4.338973272	4.2397697	3.931002974	3.832663242
ATCG01020	4.957235726	4.335815844	4.409919514	3.679270608	3.793885241	4.70508295	3.531946517	4.854714367	4.372792352	3.775996225	7.918652278	4.816735094
AT3G23290	2.953507382	1.629985436	2.003158448	1.544018803	1.789068551	2.139052847	1.049627328	1.723594057	0.642831823	1.007402268	1.270523299	2.614779792
AT1G43800	2.184282848	2.35686919	3.450020828	NA	2.607359829	4.441481924	6.218163236	6.742337699	4.563979933	5.63780171	3.414134957	4.333283903
AT5G15960	3.88097741	2.46188138	3.278398098	0.773905133	4.095036378	3.845433126	2.653034978	1.733802988	2.606690607	2.620400176	2.135669658	2.227444257
AT3G02040	2.771905804	2.774215188	3.731653217	2.522771569	3.164824985	3.464794757	0.354584326	-0.156810475	2.611844685	0.704201436	-0.204214375	0.082053988
AT3G29250	3.235824254	3.538312966	3.856275716	3.041522875	2.612318937	4.321900005	3.666674188	2.936516765	2.905028393	3.756923915	3.565937793	2.516473303
AT4G32480	3.386636614	NA	NA	NA	NA	NA	0.749360343	-1.246918471	0.361310279	1.335588245	0.316288967	-2.373414707
AT5G05250	2.891233178	1.745825778	2.148654934	2.151067986	1.76194721	3.102936453	2.822881809	2.063163089	3.835373329	2.424850455	3.336048891	3.161883248
ATCG00640	3.087559599	-0.011827579	3.227778341	2.193376721	NA	NA	1.262319246	2.747809195	2.493993566	3.471188305	NA	3.077650565
AT1G28710	2.965382577	0.958663603	1.073923641	0.968741863	0.188036269	0.370662158	0.882010332	0.710514658	0.575600873	1.362521841	2.200630742	1.381966529
AT2G18150	2.553979042	0.935361985	1.297017973	0.436303075	1.467607077	1.271649977	1.28090994	1.205327444	1.745142758	2.122808065	2.0989731	0.980707373
AT3G08770	5.605444253	4.520783839	4.583338419	5.46901798	4.189949564	4.830404218	3.746846899	4.225860059	3.447019427	4.712935911	5.581063383	5.100420452
AT2G42610	1.995020102	0.10095631	0.291147455	0.425265469	-0.17782139	1.705808756	-0.117925646	1.030216323	-0.4595034	0.712804485	1.263507929	1.82646767
AT5G02780	4.528320019	2.813928276	0.001400136	-1.032722763	-0.39819053	2.082737855	1.095022668	2.693193173	2.964277847	3.513054465	2.818766262	2.047303881
AT3G22060	3.461863463	1.773408128	2.861737668	2.148499091	2.323605974	NA	2.056044394	0.324110534	1.851509932	2.097406234	0.20775492	1.817591668
AT1G21910	2.43478164	0.658896803	1.494699217	0.426513563	-0.496673173	NA	-1.094845124	-1.795064092	-1.613793	-0.54204015	-0.472083304	0.246876482
AT1G61280	1.864162624	-0.862117471	-1.076356311	-1.074987065	-1.231204408	0.132277742	0.520377472	0.465215578	-0.8560146	-0.76305235	-1.171104327	-1.225171009
AT1G49860	4.950939269	3.6079453	4.100762442	3.551887627	4.652659014	5.379048795	4.382119519	4.697169211	4.25428262	4.240250767	4.393000191	3.562446264
AT5G52640	3.287925766	-1.819026561	NA	1.569327971	NA	-1.484018307	NA	NA	NA	NA	NA	NA
AT3G07273	2.200501773	1.110129788	2.001793428	2.795934078	0.633974127	2.619482349	0.853608213	1.818211187	2.418755769	3.154553407	3.428127832	4.262751988
AT3G54363	2.080388356	0.736741696	NA	0.526151872	0.864219349	1.745360662	0.299231683	1.202815707	1.102413765	0.20633554	2.665045705	1.145407691
AT5G04140	5.926317986	0.76720841	0.640090989	2.591822874	2.121791898	2.229701671	1.82828793	0.353106652	2.04593545	1.006834778	0.839547637	1.287639077
AT4G22610	1.806941474	0.143282057	1.159719486	0.319368981	-0.974744236	0.955458742	1.111686962	-0.200995145	0.11358301	1.848035013	1.325456919	1.183377794
AT5G37990	4.104834195	4.057368785	3.38605335	2.236650447	2.032493018	3.661800048	3.521569922	2.579090691	2.690413198	3.518866888	3.912640736	1.062935341
AT5G10140	1.77220523	-0.029569511	1.372409715	-0.257450318	0.079084398	2.094475709	0.330940136	0.636831661	0.187220439	0.818806748	1.158413241	0.8950205
AT2G05380	5.909234502	5.15126062	5.151355369	4.832363383	5.729183844	6.074667852	5.308450595	5.479800997	4.824780179	5.572464811	5.109775752	4.684879774
AT5G33370	2.502735882	1.44336905	1.814884555	1.142783671	-0.516556057	2.65754779	0.144399596	-0.538756362	0.478897924	2.172051544	1.202769114	1.859481175
AT3G17790	3.483894122	3.13147174	3.307898357	2.694999425	2.88662573	2.290474524	0.858659092	1.720123059	2.537169465	1.096738788	1.040591344	0.424200456
AT3G18217	3.003575278	1.591489933	3.876570745	2.589557515	2.885676805	3.270624623	3.700867142	NA	NA	NA	NA	NA
ATCG00905	2.868612312	2.338716508	1.174285865	1.02509822	1.259815811	1.767813869	2.42517266	2.586323374	1.398063099	2.518444072	1.824591653	2.592590061
ATCG00300	3.951340213	4.558926812	3.270710664	NA	2.782899552	NA	NA	NA	NA	NA	NA	NA
AT5G45070	3.960421949	2.399577929	1.3774269	1.647907202	1.136052904	3.133397797	1.615715516	3.016919626	2.910837554	4.151199828	3.222490139	2.377114703
AT1G19394	1.953398966	0.264459329	0.243364593	-0.644971211	0.111582409	1.324939467	1.066491095	1.319234831	1.199933451	1.532829368	1.75296022	1.272270023
AT1G31258	4.272426324	5.326909219	4.88481252	3.541696173	4.579657414	5.662026888	4.949637438	6.161054038	3.991830001	5.152316334	6.115669045	5.787076561
AT4G39675	3.66990591	3.461097751	2.456184832	2.665464169	3.587738011	4.025940231	2.490072529	NA	NA	1.308080039	3.081381455	2.80332247
AT2G16060	3.897664969	3.475507017	3.772134137	3.5650399	4.634445378	5.803112262	3.954467095	5.053595685	3.261663971	3.060561187	4.086224315	2.760505666
AT5G48850	1.781343939	3.672821316	3.313864428	4.1237587	5.536870994	5.183507991	NA	-0.833655433	1.352849351	NA	NA	NA
ATCG00140	4.125702748	1.927131252	1.973449357	2.054027461	-0.096156599	2.679885635	1.914177746	1.014206659	1.634039172	2.628274301	2.349957835	4.953287261
ATCG00580	3.835429759	0.957178483	3.0614821	1.84675392	0.502021179	2.165708332	3.102040469	1.676238375	1.774103145	1.18592102	2.406409189	5.38434012
AT2G39530	4.134536964	3.193957272	0.837921773	2.176851803	1.55330504	2.561535013	1.92688228	2.891345751	2.770750627	3.658194028	3.274489791	2.793651351
AT3G16360	2.36969623	0.61514899	3.109839302	2.276435146	1.358820434	2.041871293	0.22366821	1.493937545	1.522980524	0.680079396	2.534589726	2.02343424
AT4G19690	5.755634164	5.93445179	4.389201446	4.344512599	4.258284995	5.545292612	5.016432524	5.651022282	5.091207189	6.134925559	4.715009169	4.386586905
AT5G42800	4.511134085	2.260349385	4.646699214	4.369929643	4.613649136	6.701929902	2.723381063	5.038711791	4.646592553	3.113357762	4.431640413	NA
AT3G21680	1.920918368	-0.214240503	0.641518641	-0.118814179	-0.911431639	2.025969585	0.812858216	1.407237135	0.457313266	1.018473315	1.202769114	-0.065039465
AT3G26460	2.15474844	1.642277411	2.015276262	0.786534334	0.699045877	0.825679638	1.080396556	-0.405110492	0.882117518	0.709419284	1.763041485	-0.530213692
AT5G42530	5.308550371	3.967224865	3.886986624	3.12586421	4.313236073	5.667686486	3.671908181	3.807531917	3.591880827	4.608924484	4.549774645	4.123147679
AT1G62500	3.155631523	0.324981983	1.353007581	1.474129078	0.782453731	2.034770908	1.9113031	2.759157978	2.147978616	3.995432641	3.183086484	3.009983316
AT5G51440	2.933147873	-1.141262195	-0.052401593	1.708348749	-2.5234055	0.064507007	0.201995883	NA	NA	NA	NA	NA
AT5G46890	4.350265218	3.291125954	3.65918666	4.199968446	4.032062711	3.997116134	2.617848269	3.24189033	3.388253971	3.229776838	4.317958473	3.144316399
AT2G22482	1.951932506	-0.802129323	-0.089508732	0.037626286	-0.722686415	1.050169676	1.00289699	1.176134266	-2.067785	1.082140849	1.183672746	0.457803249
AT5G20820	1.93531698	0.396345083	NA	NA	NA	1.081087887	NA	NA	0.698318554	NA	0.860317595	-0.167122095
AT4G12480	4.927139551	4.542425911	5.487634447	4.462337787	4.548066124	4.911123882	4.483593437	4.210909629	4.595454397	3.344667555	3.898803524	3.150935298
AT2G15128	2.376020982	2.765419049	1.308426617	2.341236202	0.811621701	3.106484206	1.352071223	0.758765344	2.377780408	1.649243773	2.015663101	2.819637297
AT3G44006	1.65963456	NA	3.556981987	NA	NA	3.066983839	2.799640542	3.279387442	3.826830942	4.55804234	3.209927186	3.417908521
AT5G09530	3.373104641	3.671493486	2.744540088	1.674345871	1.469150136	2.91819781	3.053903968	3.481016139	2.384833804	4.046215271	3.623846817	3.591485651
AT5G47500	4.738561512	3.628884551	3.947889053	3.614610653	3.613172557	4.124743132	2.591182731	3.461577435	2.902837694	3.678578763	4.053815017	3.533182633
AT4G22870	3.260061734	1.955081514	3.021743446	2.662215486	2.906934594	5.024624573	2.277572801	3.447306234	2.631883337	NA	NA	NA
AT5G09670	2.773482753	2.560469381	2.132000763	2.14444039	2.805162168	4.840627074	3.053654355	2.886111409	2.614868218	1.037059351	2.919830922	2.327009708
AT5G46900	2.655633608	1.217555968	2.419800847	1.942736417	2.296352044	2.280396695	1.395846303	2.273819975	1.196912038	2.828643171	3.183283448	2.621357036
AT3G22121	4.354205208	0.955238022	3.262123596	3.709273973	4.341658504	4.538173679	3.780334969	1.674026435	2.83902929	2.703857027	2.115446259	2.501636707
AT4G22880	4.162496734	2.045731747	4.026125283	4.005069092	4.165933258	5.901085862	2.667755599	4.890310175	4.320659448	2.529703905	3.763659888	NA
ATCG01060	3.213408788	2.580448263	2.134068321	1.74396238	1.042461839	2.383778537	2.45385273	2.389199364	1.598898811	2.430433334	3.342999606	4.465689743
AT2G47880	1.716095643	1.660969188	2.04893324	0.573855701	2.69684584	3.864718933	2.367475508	3.141693041	3.431531735	4.111008799	3.825984506	4.624978167
AT1G02205	2.598864455	2.236095895	2.835813125	2.323528635	2.042207134	2.695819474	-0.124910841	0.429511043	0.351337122	0.892581628	1.429865747	0.88272886
AT5G26220	1.879393959	3.913481204	3.834452305	4.985721248	5.755178255	3.150528715	NA	-0.701852677	NA	NA	NA	NA
AT2G19800	4.084864614	1.949270724	3.70132132	3.022124515	4.007705335	5.761240855	3.288814702	1.345499758	2.255959586	1.947566478	0.655282053	2.069906451
AT1G05065	1.599055147	1.416600848	0.578065884	1.687424909	0.665248225	1.806395806	1.380953763	0.319609468	1.056513018	2.505480653	2.096900485	NA
AT4G08780	1.599055147	NA	0.592366342	0.1252339	-1.507835705	1.456719879	0.952997578	0.525854782	1.325268517	2.258789198	1.740725289	0.61679434
AT5G03552	1.972742249	NA	NA	NA	NA	NA	NA	NA	0.544622471	3.243413608	3.363268425	3.364784085
AT1G65486	3.597894442	3.725732797	4.215559871	2.635988853	3.809165894	3.138589178	1.057733921	1.157469622	1.350350454	1.500748543	0.884669382	1.394182317
AT5G57560	4.141035771	2.073150851	2.968610861	3.287001914	0.695422266	0.086149716	1.031283247	1.168892384	1.921891871	0.831468824	1.398374043	0.964885162
AT3G47640	2.543802273	0.766677901	1.906144669	1.401937988	1.256717011	2.902340928	1.73022994	1.384293402	3.329831046	0.767510403	1.554953605	1.563335222
AT4G33070	1.717043119	1.849470398	3.102237444	1.577707173	2.668166154	4.310608588	0.778656506	1.808056757	NA	NA	NA	NA
AT2G28690	1.648336725	-0.099311394	NA	NA	0.161176838	1.437350903	-0.161052547	0.372477832	NA	NA	NA	NA
AT4G14130	3.299766274	0.609007925	0.56913501	-0.805466745	-1.558485824	0.87556239	0.339037626	1.068245376	-0.3578037	1.800198783	1.81379817	3.281529824
AT3G49330	1.848794047	NA	-0.35580527	-0.67127482	NA	NA	NA	NA	-0.2916092	-0.278644449	0.687623134	0.045080406
AT1G26250	2.613352215	2.400168448	3.614123195	2.382205864	3.091160693	3.357709952	1.67053885	2.388636374	2.112063298	2.008198535	2.27509801	3.372168701
AT2G20670	3.566431396	1.357889146	1.169415187	0.44923247	0.763631516	NA	1.449041469	3.165185196	3.116748249	3.966267345	2.727445629	2.035837607
AT5G54060	2.606648675	0.580529772	2.757522312	2.87056442	3.007233774	4.885038241	0.487440796	3.560117339	3.159079291	NA	NA	NA
AT2G43535	3.91400624	4.024645322	4.51746184	3.875087854	3.866932258	4.011626706	4.641293611	3.720276826	3.443369271	4.50355119	4.296493609	2.603428125
AT5G15120	1.722116574	2.087864035	NA	NA	2.021747425	2.904024861	2.942983002	2.845892936	2.006368456	2.151625703	2.549414644	2.603166867
ATCG00070	3.61360923	3.689178153	3.390929583	2.340473107	4.459098735	3.754711618	4.700422542	3.789857919	3.484345531	3.402558063	3.442021652	5.353862523
AT5G13580	1.926706786	1.503522733	0.952455696	-1.39853672	-0.341842503	1.213163241	1.15088301	1.767699914	0.545428831	2.443192962	1.881020198	1.826778621
AT5G07690	3.506789382	1.545656157	2.393917957	2.59892842	2.236706127	2.344237465	NA	-1.051527192	-0.5333287	0.887990313	0.687078587	1.486914016
AT1G13420	1.820250708	1.887391745	2.641141819	2.452425293	1.950091776	3.47359783	1.981121925	1.685714501	1.85453703	1.525585415	2.207225254	1.498807297
AT3G25570	2.277220809	0.052050853	-0.567563158	0.78289588	0.5169816	1.066743613	1.567921303	1.184000025	2.063759756	1.643792745	2.069390287	1.918141363
AT1G50060	2.522241372	2.634928296	2.712538601	1.65541503	1.018372999	2.730342065	1.653804903	2.435493281	1.892879663	2.677570523	2.192903993	1.87909562
AT1G14250	1.422389249	1.913433384	2.546967024	2.174448069	1.859211492	2.69676138	0.577439899	1.151663551	1.119458001	2.018326015	2.618196284	NA
AT4G10270	1.603536339	1.228044515	NA	NA	2.230543083	3.859496895	4.76010972	4.364007405	2.526095541	2.688695396	2.741773834	3.043184727
AT3G20380	2.562695803	1.849683665	1.87204692	1.639996765	1.669933652	2.233490743	1.717706632	2.071917031	0.996143221	1.183482452	1.701654977	1.892948353
AT2G36030	2.174890389	1.344769013	0.688647376	3.207788838	1.334542495	2.261504269	2.037399546	1.911535285	1.446055777	2.262041139	2.952603776	1.188077778
AT3G16150	2.353745887	2.048977161	2.863016703	1.362889926	-0.146392297	0.571004065	NA	-0.479302425	NA	0.367321833	-0.289138948	-0.601220394
