tracking_id	ZT	seedling
TPM_WT_ZT22_seedling_15	ZT22	seedling15
TPM_WT_ZT22_seedling_16	ZT22	seedling16
TPM_WT_ZT22_seedling_2	ZT22	seedling2
TPM_WT_ZT22_seedling_3	ZT22	seedling3
TPM_WT_ZT22_seedling_4	ZT22	seedling4
TPM_WT_ZT22_seedling_5	ZT22	seedling5
TPM_WT_ZT22_seedling_8	ZT22	seedling8
TPM_WT_ZT22_seedling_9	ZT22	seedling9
TPM_WT_ZT4_seedling_1	ZT4	seedling1
TPM_WT_ZT4_seedling_10	ZT4	seedling10
TPM_WT_ZT4_seedling_13	ZT4	seedling13
TPM_WT_ZT4_seedling_14	ZT4	seedling14
TPM_WT_ZT4_seedling_15	ZT4	seedling15
TPM_WT_ZT4_seedling_16	ZT4	seedling16
TPM_WT_ZT4_seedling_2	ZT4	seedling2
TPM_WT_ZT4_seedling_3	ZT4	seedling3
TPM_WT_ZT4_seedling_4	ZT4	seedling4
TPM_WT_ZT4_seedling_5	ZT4	seedling5
TPM_WT_ZT4_seedling_6	ZT4	seedling6
TPM_WT_ZT4_seedling_7	ZT4	seedling7
TPM_WT_ZT4_seedling_8	ZT4	seedling8
TPM_WT_ZT4_seedling_9	ZT4	seedling9
TPM_WT_ZT6_seedling_1	ZT6	seedling1
TPM_WT_ZT6_seedling_10	ZT6	seedling10
TPM_WT_ZT6_seedling_11	ZT6	seedling11
TPM_WT_ZT6_seedling_14	ZT6	seedling14
TPM_WT_ZT6_seedling_15	ZT6	seedling15
TPM_WT_ZT6_seedling_16	ZT6	seedling16
TPM_WT_ZT6_seedling_2	ZT6	seedling2
TPM_WT_ZT6_seedling_3	ZT6	seedling3
TPM_WT_ZT6_seedling_4	ZT6	seedling4
TPM_WT_ZT6_seedling_5	ZT6	seedling5
TPM_WT_ZT6_seedling_6	ZT6	seedling6
TPM_WT_ZT6_seedling_7	ZT6	seedling7
TPM_WT_ZT6_seedling_8	ZT6	seedling8
TPM_WT_ZT6_seedling_9	ZT6	seedling9
TPM_WT_ZT8_seedling_1	ZT8	seedling1
TPM_WT_ZT8_seedling_10	ZT8	seedling10
TPM_WT_ZT8_seedling_11	ZT8	seedling11
TPM_WT_ZT8_seedling_12	ZT8	seedling12
TPM_WT_ZT8_seedling_13	ZT8	seedling13
TPM_WT_ZT8_seedling_14	ZT8	seedling14
TPM_WT_ZT8_seedling_16	ZT8	seedling16
TPM_WT_ZT8_seedling_2	ZT8	seedling2
TPM_WT_ZT8_seedling_3	ZT8	seedling3
TPM_WT_ZT8_seedling_4	ZT8	seedling4
TPM_WT_ZT8_seedling_5	ZT8	seedling5
TPM_WT_ZT8_seedling_6	ZT8	seedling6
TPM_WT_ZT8_seedling_7	ZT8	seedling7
TPM_WT_ZT8_seedling_9	ZT8	seedling9
