Name	entropyloG2
AT4G16590	4.477542113
AT4G16610	5.891182197
AT4G15980	3.401070619
AT4G16040	5.654615202
AT4G16060	5.868735487
AT4G16110	5.509268686
AT4G16130	5.4478784
AT4G16140	5.721013424
AT4G16150	5.943552753
AT4G16170	5.93707078
AT4G16180	5.900939894
AT4G16190	5.655373583
AT4G16210	5.760458958
AT4G16240	5.893317135
AT4G16250	5.821499539
AT4G16270	4.308442531
AT4G16280	5.955939975
AT4G16320	5.964661512
AT4G16340	5.815641987
AT4G16390	5.684921146
AT4G16400	5.734184885
AT4G16440	5.929848098
AT4G16480	5.425043038
AT4G15620	4.814745542
AT4G15640	5.806705491
AT4G15660	5.100752908
AT4G15690	5.241010638
AT4G15700	5.315148808
AT4G15770	5.821060255
AT4G15780	5.868069298
AT4G15820	5.935741959
AT4G15840	5.961877606
AT4G15850	5.892529132
AT4G15880	5.936588033
AT4G15890	5.84904273
AT4G15910	5.479715216
AT4G15920	5.69567133
AT4G15930	5.904729388
AT4G15950	5.936900296
AT4G15960	5.908993181
AT4G15530	5.036116425
AT4G15570	5.931535546
AT4G15110	5.768157819
AT4G15130	5.74634954
AT4G15160	5.957004042
AT4G15180	5.961398471
AT4G15190	3.264632851
AT4G15200	4.311685495
AT4G15230	4.955290927
AT4G15240	5.955030012
AT4G15250	5.352466445
AT4G15260	5.694743584
AT4G15290	5.556600672
AT4G15330	5.451616048
AT4G15390	3.952772201
AT4G15400	5.083758313
AT4G15410	5.855509045
AT4G15430	5.752556168
AT4G15480	5.483369957
AT4G15500	5.729551174
AT4G15520	5.938468574
AT4G14580	5.41176608
AT4G14605	5.894513417
AT4G14610	5.713715642
AT4G14630	4.493108941
AT4G14660	5.88255315
AT4G14695	4.727866868
AT4G14720	5.818073398
AT4G14750	5.466464324
AT4G14760	5.845943822
AT4G14770	5.472698543
AT4G14780	4.614308281
AT4G14790	5.846469589
AT4G14810	3.069445685
AT4G14920	5.938854759
AT4G14940	5.638705352
AT4G15020	5.825972792
AT4G14540	5.690796369
AT4G14550	5.816542509
AT4G14570	5.876851186
AT4G14190	5.893766641
AT4G14200	5.682874626
AT4G14220	5.91079546
AT4G14230	5.908504813
AT4G14240	5.88892546
AT4G14270	5.828523315
AT4G14290	5.837513722
AT4G14300	5.942896386
AT4G14310	5.946370483
AT4G14330	5.740803741
AT4G14350	5.93613973
AT4G14370	5.068964481
AT4G14380	5.676165838
AT4G14390	5.900721853
AT4G14440	5.706273154
AT4G14510	5.905275236
AT4G13990	5.853237711
AT4G14070	5.796820931
AT4G14080	2.636229108
AT4G14090	4.110072796
AT4G14160	5.962282775
AT1G56700	5.811636563
AT1G56600	4.240243732
AT1G56650	4.749432442
AT1G56580	5.665988075
AT1G25350	5.902917451
AT1G25290	5.923024059
AT1G25280	5.923851327
AT1G25270	4.711054509
AT1G25250	5.762774888
AT1G25240	2.955308736
AT1G25230	5.38790972
AT1G24996	5.909174483
AT1G25260	5.801767037
AT1G25330	3.513507607
AT1G25370	5.821484327
AT1G25275	5.678633831
AT1G25340	5.68447209
AT1G25320	5.83997719
AT1G24764	5.825769486
AT1G24706	5.930122914
AT1G24735	4.116649461
AT1G24793	5.92009158
AT4G13960	5.46155141
AT1G56720	5.52329886
AT1G28270	3.160783286
AT1G28260	5.839080678
AT1G28240	5.899128763
AT1G28220	5.934882784
AT1G28190	5.6081494
AT1G28170	5.500716885
AT1G28250	5.94253591
AT1G28280	5.924944542
AT1G28200	5.928736816
AT1G28330	5.571151442
AT1G28210	5.936498174
AT1G28230	5.594892961
AT1G56680	5.450449075
AT1G56660	5.830899428
AT1G56610	5.887491139
AT1G56590	5.948782522
AT1G56560	5.935484409
AT5G08750	5.63240765
AT5G22030	5.837629531
AT5G22000	5.771222467
AT5G22220	5.706531458
AT5G22060	5.923410967
AT1G28320	5.940977179
AT1G28290	5.124717036
AT5G04120	4.788124109
AT5G04230	5.612490329
AT5G04240	5.870838462
AT5G04150	5.499832491
AT5G04260	5.864071753
AT5G04170	5.913642634
AT5G04270	5.957751057
AT5G04200	4.449912746
AT5G04160	5.793260363
AT5G04250	5.575175874
AT5G04180	2.916666279
AT5G04140	5.416414634
AT5G04220	5.785174933
AT5G04380	4.020390103
AT5G04290	5.926187597
AT5G04390	4.430540587
AT5G04320	5.784573224
AT5G04330	5.755061132
AT5G04340	5.170206391
AT5G04360	5.773314453
AT5G04370	4.825311739
AT5G04280	5.914896242
AT5G08690	5.921590382
AT5G08740	5.81351408
AT5G04100	5.875843746
AT5G04110	5.688049968
AT1G73460	5.892983057
AT1G73430	5.910869499
AT1G73400	5.960904555
AT1G73390	5.811927928
AT1G73370	5.852684366
AT1G73350	5.940343153
AT1G73340	5.843005717
AT1G73490	5.904014812
AT1G73470	5.801061053
AT1G73500	5.627828753
AT1G73440	5.942569688
AT1G73380	5.932771649
AT1G73480	5.464314087
AT1G73330	3.752930917
AT1G44160	3.665254449
AT1G44110	5.374029171
AT1G44100	5.576889738
AT1G44120	4.064475076
AT1G44170	5.76863898
AT1G51110	5.535869782
AT1G51115	5.498345095
AT1G51070	5.799700041
AT1G51100	5.546120308
AT1G51140	5.860519527
AT1G51090	5.396801708
AT1G51060	5.724479555
AT1G25988	5.926443278
AT1G35210	5.441966776
AT1G35190	4.675536074
AT1G35140	4.744751836
AT1G32240	5.775867021
AT1G66900	5.874577952
AT1G66920	5.435779474
AT1G66890	5.88833234
AT1G27880	5.869758451
AT1G27850	5.945109525
AT1G27840	5.945487907
AT1G33600	5.303267382
AT1G33590	5.628543444
AT1G30220	5.553336846
AT1G30240	5.838574752
AT1G30250	4.81580381
AT1G30300	5.885018619
AT1G30290	5.945657245
AT1G30210	5.850787067
AT1G30270	5.654878475
AT1G30260	5.397063754
AT1G73540	5.418198683
AT1G73530	5.661668713
AT1G45688	5.903236861
AT1G45976	5.888240071
AT1G35180	4.849101388
AT1G32190	5.420637938
AT1G32150	5.940626899
AT1G32130	5.947091606
AT1G32120	5.88758059
AT1G32090	5.812579776
AT1G32200	5.753416311
AT1G32210	5.900982339
AT1G32100	5.162594638
AT1G32220	5.72918882
AT1G32170	5.314117682
AT1G32160	5.777388818
AT1G32230	5.880542189
AT1G45261	5.824488408
AT1G46264	5.656029277
AT1G47128	5.688164512
AT1G45474	5.63328723
AT1G46768	5.572103657
AT1G58470	5.684282781
AT1G58440	5.886076062
AT1G37607	5.934176301
AT1G26090	5.93660894
AT1G26210	5.679797383
AT1G26160	5.935954451
AT1G26100	5.842426331
AT1G26310	5.593422927
AT1G26320	4.757155008
AT1G26270	5.836540578
AT1G26110	5.928309417
AT1G57870	5.916828037
AT1G57820	5.403396013
AT1G57790	5.878331289
AT1G48840	5.090686213
AT1G48850	5.901073093
AT1G58420	5.581196084
AT1G58380	5.898894454
AT1G58430	3.654063843
AT1G26180	5.854378208
AT1G26170	5.944317637
AT1G26150	5.754830149
AT1G26130	5.48526451
AT5G13480	5.935771247
AT5G13520	5.642761519
AT5G13540	5.939645483
AT5G13510	5.631387984
AT5G13500	5.930804247
AT5G13490	5.584471669
AT5G13550	5.763503872
AT5G28290	5.746401131
AT5G28310	5.955542606
AT5G28300	5.673335485
AT5G01010	5.942994541
AT1G58070	5.828210973
AT1G57990	5.19336223
AT1G58080	5.820553458
AT1G58032	5.732204602
AT1G26300	5.933191658
AT1G26280	5.93300734
AT1G26260	5.749699546
AT1G26250	4.319369966
AT1G26230	5.558177108
AT1G26220	5.605751367
AT1G26190	5.804007861
AT5G09420	5.91041819
AT5G09430	3.675150127
AT5G09460	5.825126465
AT5G09500	5.16991754
AT5G09300	5.609363236
AT5G09440	5.366367071
AT5G09510	5.809452229
AT5G09390	5.909027736
AT5G09450	5.953792706
AT5G09480	3.9036723
AT5G09220	5.318663345
AT5G09370	3.908110468
AT5G09270	5.877105934
AT5G09310	5.920913242
AT5G09230	5.946755824
AT5G09250	5.668535127
AT5G09400	5.930305319
AT5G11015	5.834986913
AT5G11030	5.953747606
AT5G11040	5.952666378
AT5G11060	5.501809616
AT5G11080	5.887163216
AT5G11100	5.589142952
AT5G11110	5.368117394
AT5G11090	5.736719718
AT5G11070	5.614218839
AT5G09380	5.944578685
AT5G09410	5.956395692
AT5G19690	5.857861931
AT5G19600	5.066596718
AT5G19860	5.86021989
AT5G19620	5.893339498
AT5G19770	5.897256186
AT5G28740	5.919730277
AT5G28750	5.715995367
AT5G28770	5.7665088
AT5G24740	5.926704485
AT5G24750	5.923345256
AT5G24780	5.252685073
AT5G24760	5.754514847
AT5G09240	5.805647551
AT5G09320	5.916924655
AT5G09330	5.941933489
AT5G19850	5.759394284
AT5G19750	5.604107615
AT5G19680	5.936540512
AT5G19760	5.898951626
AT5G19630	5.944896453
AT5G19820	5.906715748
AT5G19500	5.899117978
AT5G19520	4.733337452
AT5G19580	3.755924131
AT5G19530	5.652142204
AT5G19540	5.800997316
AT5G19510	5.874357415
AT5G19570	5.930626452
AT5G19550	5.840305868
AT5G28500	5.565599097
AT5G28530	5.927624089
AT5G28540	5.880672099
AT5G19590	5.913154162
AT5G19610	4.362327813
AT5G19660	5.959985793
AT5G19700	5.923527683
AT5G19720	5.964630653
AT5G19730	5.683925438
AT5G19790	5.186101322
AT5G19800	5.469969355
AT5G19810	5.901859029
AT5G20710	3.73403659
AT5G20730	5.912700529
AT5G20680	5.903091738
AT5G13070	5.917136766
AT5G13080	4.830082225
AT5G13110	5.83882328
AT5G13150	4.169336807
AT5G13140	5.604211341
AT5G13100	5.748441208
AT5G13170	4.381747125
AT5G13050	5.95137498
AT5G13090	5.86055399
AT5G13120	5.826134841
AT5G13160	5.926033969
AT5G13180	5.555812547
AT5G20610	5.946718963
AT5G20620	5.920594089
AT5G20640	5.865709647
AT5G20660	5.942897701
AT5G20690	3.544558962
AT5G20700	5.71357172
AT5G20810	5.226357685
AT5G20830	5.196384741
AT5G20650	5.913686572
AT5G20820	4.936920368
AT5G20790	4.610193115
AT5G20740	4.799321856
AT5G20720	5.803586817
AT5G20630	5.212640748
AT5G08415	5.811112966
AT5G08290	5.955429722
AT5G08410	5.703719053
AT5G08320	5.899395071
AT5G08335	5.947311677
AT5G08440	5.946683345
AT5G08330	5.515493866
AT5G10650	5.023896781
AT5G10660	4.675501049
AT5G10700	5.941274327
AT5G10720	5.618296694
AT5G10730	5.70803708
AT5G10695	5.426383433
AT5G10690	5.629997468
AT5G10710	5.939315007
AT5G21100	5.659294354
AT5G21150	4.185492683
AT5G21070	5.944137969
AT5G21060	5.882631249
AT5G21170	5.852276255
AT5G21090	5.908539407
AT5G21105	5.81819078
AT5G21160	5.896141096
AT5G08280	5.63624983
AT5G08350	5.772581009
AT5G08300	5.89329625
AT5G08370	5.67635968
AT5G19420	5.933320684
AT5G19470	5.80942112
AT5G19480	5.938913431
AT5G19370	5.839336843
AT5G19290	5.670070085
AT5G19440	5.763821317
AT5G19380	5.941565664
AT5G19450	5.938034517
AT5G19430	5.891271538
AT5G28900	5.937159357
AT5G28840	5.890631079
AT5G08340	5.924527429
AT5G08360	5.283064928
AT5G08380	5.759241607
AT5G08390	5.938706661
AT5G08400	5.804121186
AT5G08430	5.762819103
AT5G08450	5.948538105
AT5G08420	5.921038435
AT5G19320	5.904642068
AT5G19330	5.945836797
AT5G19340	5.614227028
AT5G19350	5.926185348
AT5G19360	2.939469064
AT5G19400	5.933536286
AT5G19410	5.05048465
AT5G20290	5.873756767
AT5G20220	5.783744771
AT5G20160	5.809520499
AT5G20150	5.018958963
AT5G20240	3.901883696
AT5G20180	5.924396466
AT5G20130	5.864183909
AT5G20410	3.660651943
AT5G20280	5.679618079
AT5G20450	5.934697905
AT5G20460	4.099046721
AT5G20470	5.797943001
AT5G20480	5.846662906
AT5G20510	5.876919281
AT5G20540	5.805670406
AT5G20560	5.923509334
AT5G20580	5.917196277
AT5G20600	5.863508166
AT5G20570	5.94724971
AT5G20520	5.848237112
AT5G20590	5.896092983
AT5G20500	5.906468535
AT5G20550	4.91836959
AT5G19300	5.821477582
AT5G19310	5.830222191
AT5G20330	4.7143577
AT5G20270	5.584602849
AT5G20400	5.065949759
AT5G20230	5.22172666
AT5G28640	4.797240566
AT5G28650	5.913986142
AT5G28680	2.592587494
AT5G28630	4.898543491
AT5G20120	5.947529668
AT5G20140	5.802385519
AT5G20170	5.946501156
AT5G20200	5.944835184
AT5G20250	5.68935754
AT5G20300	5.924861221
AT5G20320	5.926509654
AT5G20350	5.941969293
AT5G20360	5.918525788
AT5G20370	5.926138843
AT5G20380	5.791830318
AT5G20390	2.509851028
AT5G20060	5.86589773
AT5G19875	5.615228515
AT5G20070	5.920632146
AT5G20990	5.915259202
AT5G20850	5.904171953
AT5G20960	4.768793044
AT5G20930	5.933620208
AT5G20885	5.820711359
AT5G28470	4.83926252
AT5G28490	5.569271645
AT5G19900	5.838564398
AT5G19910	5.930132727
AT5G19920	5.882095592
AT5G19970	5.214552634
AT5G19980	5.850427581
AT5G20110	5.599917404
AT5G19880	4.587756989
AT5G20050	5.736227439
AT5G20000	5.9475273
AT5G19960	5.940325701
AT5G19890	4.735149422
AT5G19930	5.850294806
AT5G20040	5.861316692
AT5G20010	5.92612082
AT5G19940	5.56833761
AT5G20030	5.958513755
AT5G20090	5.929606013
AT5G20080	5.873373167
AT5G19855	5.745776616
AT5G20935	5.491797264
AT5G21040	5.930272375
AT5G20900	5.89949801
AT4G36400	5.794385668
AT5G32430	5.800698427
AT5G32470	5.957682417
AT5G32450	5.852367171
AT5G32440	5.808062116
AT5G28370	5.871262355
AT5G28430	5.608058281
AT5G20840	5.947041819
AT5G20860	4.617784545
AT5G20870	5.941520303
AT5G20940	4.812126623
AT5G20950	5.798389317
AT5G20980	5.866624252
AT5G21050	4.904852689
AT5G20910	5.83744821
AT5G21010	5.901356117
AT5G20890	5.821348138
AT5G20920	5.913840199
AT5G20880	5.892181043
AT4G37000	5.832061735
AT4G36410	5.552866236
AT4G37090	5.836037896
AT4G37010	3.983301993
AT4G36810	5.812929783
AT4G36530	5.752689808
AT4G37240	5.700469071
AT4G36750	5.913245814
AT4G37040	5.768238649
AT4G36610	4.580600624
AT4G37020	5.957129677
AT4G36970	5.899595288
AT4G36960	5.952566105
AT4G36490	2.909444512
AT4G36870	5.792142374
AT4G36420	5.821973479
AT4G36730	5.884707066
AT4G36930	5.632455879
AT4G36480	5.957423327
AT4G36990	5.450234771
AT4G37180	5.827847847
AT4G36380	5.298083931
AT4G36920	5.83937868
AT4G36800	5.920533401
AT4G36760	5.829846053
AT4G37210	5.820295247
AT4G37120	5.949356666
AT4G36900	5.605972488
AT4G36890	5.77558909
AT4G36910	5.690269038
AT4G37200	5.786426496
AT4G36430	4.004720702
AT4G37160	4.930284179
AT4G36710	5.756362309
AT4G37080	5.699881519
AT4G36630	5.929950399
AT4G36550	5.877794753
AT4G37280	5.488233985
AT4G36830	5.837331781
AT4G36470	5.881731062
AT4G36390	5.727738715
AT4G36670	4.994341093
AT4G36790	5.81549664
AT4G37130	5.918253719
AT4G37050	4.202512193
AT4G36600	3.505446147
AT4G36520	5.880751752
AT4G37250	5.793853259
AT4G36440	5.933625829
AT4G36640	5.705608301
AT4G36680	5.785404124
AT4G36880	5.07790786
AT4G37220	5.834213879
AT4G37070	3.644248196
AT4G37260	5.768400534
AT4G36650	5.91661473
AT4G36770	5.476372191
AT4G36690	5.922516945
AT1G31830	5.691101029
AT1G31820	5.133302598
AT1G31810	5.904438037
AT1G31780	5.951215606
AT1G31814	5.768454387
AT1G31860	5.767834543
AT1G31817	5.90197189
AT1G31812	5.901514045
AT1G31800	5.680800926
AT4G37110	5.739756423
AT4G36500	5.329860286
AT4G37150	5.141881691
AT4G36620	4.809003514
AT4G36540	5.529630188
AT4G37270	5.906516039
AT4G37190	5.865099615
AT4G36660	5.882929132
AT4G36940	5.90734295
AT4G36860	5.89129371
AT4G36780	5.896949296
AT4G36980	5.923050262
AT1G31910	5.950612688
AT1G31870	5.948344346
AT1G31850	5.83967502
AT3G56880	5.663988115
AT3G56800	5.875104128
AT3G56820	5.910308151
AT3G56860	5.946772087
AT3G56710	5.351423524
AT3G56910	5.687488149
AT3G56690	5.950116168
AT3G56750	5.933346371
AT3G51770	5.454733631
AT3G51810	2.035470574
AT3G51830	5.894966063
AT3G51850	5.918635997
AT3G51860	5.203509934
AT3G51870	5.751442246
AT3G51840	5.867725602
AT3G51890	5.695999885
AT3G51780	5.953168609
AT3G51800	5.833409034
AT3G51820	5.677067497
AT3G51790	5.933096007
AT3G51895	5.381307782
AT3G51880	5.6935108
AT1G31930	5.863678401
AT1G31920	5.702335423
AT3G56850	5.903731629
AT3G56870	5.402852184
AT3G56900	5.864374444
AT3G56740	5.924881666
AT3G56680	5.846855115
AT1G16560	5.910692334
AT1G16680	5.915219216
AT1G16690	5.954639454
AT1G16610	5.86783376
AT1G16540	5.79062424
AT1G16590	5.834118059
AT1G16670	5.801319953
AT3G43590	5.931045442
AT3G43610	5.84712801
AT3G43600	5.519555885
AT3G44820	5.858516193
AT3G44830	5.227608953
AT3G44850	5.903012803
AT3G44880	5.526451615
AT3G44930	4.265214314
AT3G44890	5.547399806
AT3G44860	4.922555574
AT3G56720	5.936990406
AT3G56730	5.573192291
AT3G56760	5.915568261
AT3G56830	5.942034212
AT3G56840	5.933282095
AT1G51915	4.57726523
AT1G16650	5.907013251
AT1G16570	5.95294669
AT1G38470	5.944244799
AT1G40230	5.912802998
AT1G51850	4.680685199
AT1G51890	5.231906646
AT1G51940	5.705140389
AT1G51860	5.07820747
AT1G51840	5.40646549
AT1G51830	4.022372359
AT1G51950	5.835752585
AT1G57550	4.855728189
AT1G57620	5.861213761
AT1G57660	5.854960449
AT1G57750	3.895808323
AT1G77360	5.68316325
AT1G77370	5.829027054
AT1G77390	5.653031485
AT1G77410	5.511388779
AT1G77400	5.826927482
AT1G77380	5.309348236
AT1G77330	4.135195797
AT1G77350	5.895412118
AT1G58120	2.829851954
AT1G58170	5.636366258
AT1G58180	5.569342418
AT1G58100	5.921380528
AT1G58110	5.929450224
AT1G57540	5.910077998
AT1G57560	5.628736643
AT1G57590	5.161889293
AT1G57600	5.947477537
AT1G57630	5.200353211
AT1G57680	5.854840044
AT1G57760	5.959579692
AT1G57770	5.578694329
AT5G17530	5.935233575
AT1G77310	5.878906434
AT5G17160	5.516573655
AT5G16920	3.336510472
