sample	seedling	ZT
TPM_seedling1	seedling1	ZT0
TPM_seedling10	seedling10	ZT0
TPM_seedling12	seedling12	ZT0
TPM_seedling13	seedling13	ZT0
TPM_seedling14	seedling14	ZT0
TPM_seedling15	seedling15	ZT0
TPM_seedling16	seedling16	ZT0
TPM_seedling2	seedling2	ZT0
TPM_seedling4	seedling4	ZT0
TPM_seedling5	seedling5	ZT0
TPM_seedling6	seedling6	ZT0
TPM_seedling7	seedling7	ZT0
TPM_seedling8	seedling8	ZT0
TPM_seedling9	seedling9	ZT0
