Name	seedling1	seedling2	seedling4	seedling5	seedling6	seedling7	seedling8	seedling9	seedling10	seedling12	seedling13	seedling14	seedling15	seedling16
AT1G01600	4.24945	2.22776	3.79073	7.23955	4.88474	3.44313	7.35156	3.44075	5.26871	4.55144	4.55516	5.62382	3.94456	4.50848
AT1G01610	23.0668	31.0468	32.6448	35.1622	34.8926	29.7572	30.6317	31.0314	28.551	27.2216	29.6934	26.3372	23.4761	27.5487
AT1G01620	501.977	501.128	542.553	552.366	529.797	500.907	553.928	514.453	540.07005	533.201	527.40168	530.095	469.338	502.188
AT1G01630	26.7371	36.7262	32.9065	41.8555	43.6631	33.3683	47.4834	40.6405	37.376	37.6895	39.8511	45.4627	29.1604	34.7369
AT1G01640	8.95168	11.937	12.1998	9.9004	10.6835	10.05864	5.67265	9.70391	8.85712	8.68334	11.66714	14.1142	11.31713469	11.8835
AT1G01650	12.2083	15.13589	15.63883	14.76498	13.71481	13.86316	14.64195	13.68641	13.61387	12.41206	14.7311	14.18025	10.79837	13.87138
AT1G01660	0.341844	0.511477	0.656177	0.698093	1.08321	0.646884	0.566108	0.827984	0.610992	0.376134	1.06569	1.06549	0.84204	0.504646
AT1G01670	1.12831	1.34357	0.958197	0.801051	0.899768	1.08814	1.94211	0.862505	1.07784	0.786565	0.384527	1.21431	0.679003	0.500982
AT1G01680	0	0	0	0.156546	0.177396	0.292107	0	0.086978	0	0	0.483412	0.0960503	0.104842	0.114544
AT1G01690	3.99798	4.13842	4.11763	4.05995	4.21441	3.29833	5.44117	4.87948	5.33592	4.8084	4.92732	5.53281	3.86146	3.11971
AT1G01695	0.245508	0	0	0.206068	0.158775	0.342275	0	0	0.326661	0	0.330591	0.0912515	0.100598	0
AT1G01700	1.80161	1.36952	1.73716	1.92839	1.79399	1.64367	1.3959	1.89538	1.74992	1.78475	0.933749	1.8757	1.32352	1.77393
AT1G01710	16.7448	20.6091	20.2541	19.6098	16.5559	18.1581	19.9699	18.3431	17.745	16.7701	20.7471	18.2237	19.0714	17.3089
AT1G01720	39.7952	46.5558	54.7743	43.4256	45.6046	39.8679	46.9524	44.9119	42.238	53.1056	42.9445	42.2514	46.822	54.7384
AT1G01725	19.997	28.0962	28.6071	21.3698	28.1833	22.2654	26.8487	31.953	31.8152	35.1383	32.2158	30.7053	34.7142	28.6182
AT1G01730	28.7988	27.8846	31.181	27.3173	28.2993	32.1624	26.7859	30.4434	30.5509	38.4634	31.9281	30.8756	33.4748	32.4366
AT1G01740	3.89021	5.43268	5.374400002	5.34158	3.727120136	3.97539	6.14535	4.611980002	5.16972	4.35196	4.85877	5.0641	4.21402	3.28789
AT1G01750	12.7007	11.8251	17.4047	15.3206	19.9846	13.0451	21.8976	17.9369	19.1766	8.16557	22.9417	27.5711	13.1183	23.3696
AT1G01760	6.56246	9.78091	6.0106	5.89791	6.88435	6.27217	4.5034	5.68926	4.84974	5.72135	5.52966	5.84736	5.91084	5.63129
AT1G01770	12.5983	16.8973	16.9393	13.4682	10.5561	15.4292	15.9419	13.6897	11.2681	13.0653	12.7164	13.0282	14.0108	11.0393
AT1G01780	14.5411	24.5507	17.9772	22.8539	19.2065	19.1101	13.3154	19.1568	18.0236	11.5677	16.5167	20.1884	15.2757	16.5611
AT1G01790	49.3122	51.5012	56.6796	58.7094	63.6193	50.262	60.1069	52.205	54.4353	56.398	53.787	43.0027	41.5777	43.535
AT1G01800	43.0613	68.80454	65.21319	59.0509	57.7079	66.6935	71.5152	60.51056	61.867634	63.4475	62.7987	67.709681	67.5783	74.6922
AT1G01810	0	1.19348	0	0.389456	0.598122	0.243345	0.728524	1.31099	0.848158	1.8871	1.10209	1.26473	1.19394	0.844431
AT1G01820	35.2889	42.9866	49.1529	43.7142	40.9281	46.2797	52.4442	47.8115	44.3984	49.3432	43.7374	53.4104	50.8176	49.7328
AT1G01830	6.546217	8.22724	6.01326	6.789972	6.70975	7.04777	6.63596	8.15027	7.686609	6.23605	6.677742	6.14118	6.73957	7.218672
AT1G01840	0.584383	1.0796	1.0126	1.14078	1.81571	1.45058	0	1.6879	2.414	1.0054	1.9468	1.88308	1.49066	1.82407
AT1G01860	7.3852	12.7371	9.95248	12.5527	9.46782	10.6796	14.8026	13.7204	12.4617	14.0829	11.1039	13.3352	11.074	10.1988
AT1G01870	0	0	0	0	0	0	0	0	0	0	2.33106	0	0	0
AT1G01880	1.08431	1.0232109	2.09651	1.52811	1.09633	1.48462	1.8594631	1.31566	1.57624	1.8303892	1.80491	2.20895	1.467679899	0.9231633
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	2.68108	2.91356	1.73665	3.72632	3.57471	2.83734	3.76286	2.65663	4.3718	3.25121	2.86434	2.59477	1.81497	2.55467
AT1G01910	27.3168	28.966863	32.45305	31.486462	30.60423	29.387693	30.9087	27.337506	32.70921	30.1001	32.437623	34.052897	28.907806	27.89268
AT1G01920	11.339489	18.1799	17.6349	14.53779	15.158	15.37567	12.1974	13.837531	15.199664	13.317535	14.126548	14.961707	13.7309	12.597267
AT1G01930	9.5596	9.87822	8.16612	7.39915	6.64898	8.71067	7.12037	8.60957	8.30773	9.31088	8.30664	8.69197	8.84978	8.48096
AT1G01940	18.1348	14.9945	12.7743	15.6669	16.4559	12.4137	14.9047	16.1315	17.79	14.2842	19.7684	20.5579	13.2298	15.1948
AT1G01950	8.43585	13.527	12.9794	12.066826	10.2252	11.6476	9.52606	11.3796	11.5538	11.38245259	12.272	11.81012	9.96522	9.18268
AT1G01960	20.1309	28.7568	28.0163	26.2601	24.532	25.5525	27.1995	22.9157	23.4396	19.9971	22.0757	23.745	20.3175	17.8923
AT1G01970	20.3601	17.9828	16.653	22.3109	21.5304	21.0593	25.3773	19.659	23.3078	23.9212	21.5003	21.8263	18.3061	20.3954
AT1G01980	0	0.0930771	0	0	0	0	0	0	0.024585	0	0	0.0392542	0.0448921	0
AT1G01990	22.2079	23.2505	27.6065	26.5121	23.7557	24.4732	26.7346	22.3328	22.7206	30.2894	24.1083	21.1491	24.0018	24.5081
AT1G02000	7.18647	8.69902	8.11864	9.12669	7.98256	8.16226	8.65135	8.11138	7.51833	5.84926	6.68657	7.83511	6.051	8.36097
AT1G02010	7.74662	8.27188	9.68371	8.24731	7.74478	7.751	7.53355	7.54844	7.3002	7.54067	7.16384	6.31173	7.70277	6.41739
AT1G02020	10.53762	9.985802	7.863	9.136116	10.2105	9.239423	12.1724	7.12265	7.656709	8.123702	7.55949	6.586884	8.75086	7.210127
AT1G02030	0.533693	0.618805	0.404468	0.542796	0.221389	0.325422	0.282657	0.62367	0.398266	0.22238	0.0762696	0.541432	0.266303	0.206819
AT1G02040	0	0	0	0.0565608	0	0	0	0.130998	0.0816005	0	0	0.0673352	0	0.0778434
AT1G02050	4.65658	8.39947	8.32695	7.09122	6.63743	7.37936	5.97492	7.72823	6.80034	6.26241	7.53521	6.9749	7.32011	7.22851
AT1G02060	8.65948	12.1125	12.6218	9.1048	7.13633	11.8377	8.8174	9.407	9.15619	9.8088	7.66715	7.24239	9.83505	8.04074
AT1G02065	1.808313	1.082003	1.77207	0.694455	1.324058	1.256361	1.21722	1.007062	0.66539	1.28661	0.562776	0.343699	1.274162	0.28541
AT1G02070	0	0.830628	2.21191	0	0.321747	0.515219	0	0.914516	0.714709	0.351026	0.48505	0.978851	0.217093	0.22325
AT1G02074	0	5.15408	0	1.49397	3.75979	1.51141	9.094	0	0	0	0	2.49345	0	0
AT1G02080	24.16594	29.28057	30.0657634	29.29827	25.85362	26.1797	25.87920021	20.945252	24.49499	20.01532	24.542884	24.491514	18.52478	16.096627
AT1G02090	27.31921	29.11063	33.69099	31.4426	31.82867	29.96087	35.24798	29.99126	32.83893	29.54578	36.5132	34.37431	27.74988	29.67626
AT1G02100	44.36789	57.56792	68.87658	50.23715	43.76221	55.13994	52.2936	54.78617	48.014061	56.3874	48.6411	50.66505	54.83402	58.34945
AT1G02110	17.3525	24.8133	24.0879	20.617	19.0727	23.053	20.0968	19.3327	15.953	18.7448	15.6918	14.9989	17.7091	13.9871
AT1G02120	29.9442	41.3701	42.321	42.4336	42.6653	41.5	46.6	39.8088	39.5	43.5397	39.5471	40.441	41.9486	36.0672
AT1G02130	41.2561	55.2644	45.3836	48.9072	50.1921	46.8536	48.272	49.5469	52.8621	43.1224	53.6284	53.7599	48.2803	45.6103
AT1G02136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02140	107.967	142.755	142.505	126.469	119.033	117.972	122.242	131.784	155.832	134.381	135.961	159.231	131.761	138.736
AT1G02145	18.65387	25.87704	27.47859	23.259848	23.916	25.14855	27.11507	24.26616	25.92529	20.11583	23.09034	25.01568	27.34495	22.445
AT1G02150	59.4021	64.7058	65.4931	65.0643	65.809	65.7883	74.6803	60.3179	64.1615	74.0691	65.9504	59.3001	64.2948	61.7558
AT1G02160	22.9659	49.30661	50.61643	43.48327	36.08198	50.67046	52.88492	60.5986	60.32884	64.0963	46.95451	66.56135	52.50136	50.68332
AT1G02170	17.7217	29.2664	24.4206	23.5801	23.381	23.4944	18.3796	23.0778	18.5375	21.7013	21.9586	23.037	21.5729	19.8399
AT1G02180	7.60704	6.42935	6.80006	6.59903	4.20571	6.08504	5.94641	6.70482	6.50009	8.1908	8.46714	6.59631	4.47872	5.80724
AT1G02190	0.10013578	0	0	0	0	0	0	0.11416599	0.119317	0.2115327	0.14443402	0	0.086451	0
AT1G02205	5.93279	5.21102	4.10228	6.115625	4.98599	2.17131	5.50684	3.6624	7.535514	6.133238	8.036211	3.6523	4.223153	0.805237
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	5.63728	8.87663	11.3317	9.35238	7.30012	6.94903	10.4109	6.59733	7.62762	6.80279	12.2367	13.9596	7.9942	6.45802
AT1G02228	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02230	0.254933	0.972447	0.313099	0.847763	1.05399	0.729212	0.877907	0.70928	0.592061	0.713443	0.376415	0.719342	1.2333	1.10277
AT1G02250	0	0	0	0.229312	0.174504	0.0715906	0.432049	0.178295	0.0599061	0.177035	0.248098	0.10146	0.111017	0.120103
AT1G02260	10.3087	14.0718	12.3355	15.0048	12.0046	13.5187	13.4199	12.8195	13.4711	11.0799	13.4006	13.1717	13.7253	12.9542
AT1G02270	7.8201	9.78825	10.6907	11.6546	8.79579	9.67924	8.5163	8.73858	10.4398	11.2939	10.6619	10.7818	9.92886	9.36495
AT1G02280	132.83099	162.6547	169.8071	136.9303	116.0189	176.2705	138.2119	145.5921	144.1723	164.5112	147.2804	134.1119	168.1888	165.1448
AT1G02290	3.87459	6.20096	5.65253	6.69884	5.94939	6.15252	5.12008	6.66026	7.75191	7.86277	6.54413	7.56832	5.87684	6.59857
AT1G02300	7.38475	9.73153	7.03045	9.19098	7.8897	8.23637	8.22227	8.78982	8.11396	7.20373	9.84064	8.45123	8.05209	9.21298
AT1G02305	57.6256	80.8213	85.2989	76.6348	68.448	74.4795	71.1259	82.7117	76.0393	72.141	72.53	81.2073	76.6381	81.7736
AT1G02310	0.658827	0.911978	0.38664	0.559853	0.687243	0.229617	0.277337	0.832192	0.83902	0.458103	0.630399	0.626367	0.421285	0.74113
AT1G02320	0	0	0	0	0	0	0	3.18425	0	0	0	0	0	0
AT1G02330	15.7699	21.6694	20.1611	20.1712	22.2729	21.6985	24.0185	21.4977	25.2806	22.5905	27.009	26.1317	20.9309	22.7717
AT1G02335	23.6056	15.1935	17.9631	27.0552	31.7171	19.5302	25.7779	22.9934	22.9942	31.9219	45.3571	28.0252	14.8035	22.9919
AT1G02340	4.63797	7.96826	3.98234	8.11246	4.65137	3.93852	7.85687	6.65147	7.72191	7.95161	7.7859	6.47248	4.49441	6.04199
AT1G02350	14.6435	6.58132	6.46808	9.46423	11.1343	8.86445	16.9419	10.9376	14.518	20.1161	13.1674	15.5291	12.6928	12.352
AT1G02360	11.7684	17.4553	21.7335	27.2307	30.8992	18.6241	28.3616	19.8429	23.9676	10.8423	26.414	37.435	17.7379	28.5849
AT1G02370	3.85671	4.94531	4.63415	4.58654	5.12039	4.0238	4.31305	4.32809	6.67316	4.90347	5.82137	5.97811	4.28991	3.91996
AT1G02380	1.90982	3.88492	2.96692	2.8643	3.83807	2.84032	2.91736	3.7492	3.20759	1.8415	2.8982	3.58899	2.36492	2.34038
AT1G02390	1.01606	0.263019	0	1.13345	0.098041	0.598046	0.963526	0.557083	0.95343	0.768215	0.798432	1.22022	0.601444	0.563554
AT1G02391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02400	4.16274	4.55232	4.65842	6.64611	6.15566	3.85983	6.41452	5.25933	5.77463	4.386	6.69493	6.61977	5.70338	5.30425
AT1G02405	1.09421	0	0.682195	0	0.412308	0	0.95144	0	0	0.866489	0	0	0.272651	0
AT1G02410	17.5036	20.9603	23.5563	21.8672	21.6428	20.7151	22.546	23.8386	26.9243	23.0304	18.417	25.4736	22.2613	22.1716
AT1G02420	3.37777	3.6545	5.69705	3.36406	4.29654	4.27011	4.255	3.32147	3.81142	3.78799	3.97097	3.23522	3.79015	3.72785
AT1G02430	2.01628	5.64907	4.68137	5.60972	4.5731	4.71679	5.6319	3.89312	7.19241	5.61301	5.78038	4.60752	5.80428	4.60816
AT1G02440	0.503584	0.578552	1.44376	0	0.356383	0.166037	1.03794	0.216165	0.263976	0	0.779346	0.427168	0.264422	0
AT1G02450	0	0	0	0	0	0.158864	0	0	0	0.395122	0	0.67812	0.248478	0
AT1G02460	0.658681	0.121017	0.304834	0.619854	0.465343	0.520604	0.668101	0.388225	0.640639	0.637022	0.618961	0.436193	0.559097	0.642472
AT1G02470	0.857555	1.22384	3.6203703	2.37762	0.292091	2.090518	1.45423	1.49055	1.31206	3.01645	1.0621405	1.404300003	1.930599	1.062873
AT1G02475	69.9049	102.886	99.3697	75.9895	81.0776	97.5807	83.3955	74.792	74.473	92.2654	77.5596	82.2317	108.354	103.977
AT1G02480	1.82236	0	0	0	0	0	0	0	0.427207	1.27231	0	0	0	1.64242
AT1G02490	0	0	0	2.52728	12.5771	5.17487	0	14.2339	2.16319	0	10.1982	3.92671	3.98278	0
AT1G02500	364.8705	442.9021	432.6993	416.0563	420.4316	406.9523	448.6044	417.8736	406.672	349.1359	407.839	405.8714	374.37	420.454
AT1G02510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02520	3.13484	5.64502	5.45931	6.60446	6.46414	6.91846	6.89658	4.36276	5.2618	3.27639	6.52909	7.25654	3.8482	4.76124
AT1G02530	0.115887	0	0.0684256	0.074328	0.0416684	0.033054	0	0.043216	0.0836667	0.12351	0.0848004	0.0896742	0.101356	0.0807514
AT1G02540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02560	208.174	239.882	264.903	249.523	230.911	247.679	251.647	201.063	231.192	258.479	234.126	224.778	222.654	230.597
AT1G02570	0.832226	1.26694	0.325697	2.12824	2.52418	0.996984	2.2985	0.922775	1.03227	0.400929	2.2501	1.69559	1.12711	1.22074
AT1G02575	0.57898	0.26638	0.342368	0.709357	0.805964	0.72776	0.486998	0.525517	0.598789	0	0.142955	0.69073	0	0.274238
AT1G02580	0.129906	0.744362	0	0.118174	0.181695	0.149929	0	0.0454137	0.0606806	0	0.0615778	0.294664	0.112586	0.0607826
AT1G02590	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	1.15316	0	0	0	0	0	0	0	0
AT1G02610	6.19411	10.0985	16.1225	10.3897	9.15932	10.2447	11.3325	13.0789	10.8112	11.0751	9.57458	12.1159	12.3293	15.2869
AT1G02620	0.435517	0	1.65232	1.22023	0.62345	0.387478	0	0.646201	0.323485	0.966145	0.670835	1.29298	0.611394	0.21795
AT1G02630	0.398471	0.369995	0.233789	0.180294	0.137794	0.22908301	0.348335	0	0.328542	0.26837	0.0980395	0	0	0.0901892
AT1G02640	22.0313	29.7319	33.9113	25.8403	26.7835	26.7258	20.5148	22.5728	23.8109	27.9905	25.3037	25.4278	29.5519	24.6018
AT1G02650	0.422224	1.15814	1.1395	1.10175	0.800172	1.06129	0.705238	1.24114	0.929631	0.909388	0.83639	0.444284	1.12642	1.11566
AT1G02660	5.12189	5.26664	4.39783	4.44518	4.00687	4.00304	3.27382	5.32145	4.6161	3.69846	3.63841	4.4134	5.18335	4.52781
AT1G02670	1.20822	1.32495	0.420118	0.985354	1.56575	1.13801	0.202796	1.09402	1.39656	0.650338	1.17175	1.81027	0.951232	0.937669
AT1G02680	11.5881	15.1453	16.2605	10.9677	13.6379	13.0207	13.9826	14.3595	14.6275	14.1098	13.9588	14.7547	15.4927	15.848
AT1G02681	0	0	0	0	0.39333	0	0.958116	0	0	0	0	0	0	0
AT1G02690	11.2928	10.06859	12.5862	11.9626	11.9264	12.1647	14.4458	11.594	15.3377	12.5709	15.6981	17.6192	12.7405	10.6573
AT1G02700	0.399804	0.730752	0.46821	1.55355	0.848218	1.23366	0.33767	1.08916	1.50196	2.4563	0.905969	1.12928	1.78753	1.66026
AT1G02710	7.81099	7.21076	12.4819	8.87846	8.62952	7.81057	13.0719	9.30717	7.82726	9.20703	16.1695	6.40663	7.62175	6.39196
AT1G02720	7.05337	10.5178	11.552562	11.012	10.833226	10.108434	9.64994	8.09566	12.274245	10.14882	9.95646	10.147861	9.279642	8.510168
AT1G02730	12.2211	10.9225	13.8717	13.1967	12.8947	11.5383	18.2519	12.6387	16.7451	13.4107	17.1217	14.4911	11.3779	7.65666
AT1G02740	9.05177	9.51133	6.46512	9.25485	9.38281	8.28488	10.321	8.86524	12.3595	9.58896	10.2126	12.0699	9.92002	10.3631
AT1G02750	13.969458	22.5034	18.0223	17.6901	13.7442	17.2618	16.6706	19.7732	19.0256	17.9637	18.239	18.74	21.4536	22.1533
AT1G02760	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02770	0.198092	0.185913	0.962324	0.122816	0.417119	0.169316	0	0.502152	0.282622	0.696924	0.478996	0.762035	0.342483	0.449056
AT1G02780	537.78	636.834	594.959	644.603	688.439	618.547	641.997	633.145	763.012	718.134	801.055	855.841	642.948	701.565
AT1G02790	0	0	0	0	0	0	0	0	0	0	0	0	0	0
