Gene	ZT0_effect.size	ZT0_p.value	ZT0_q.value	ZT0_Mean	ZT0_CV2	ZT0_TechNoise	ZT0_BioVar	ZT0_Stable	ZT0_Type
AT5G25050	-0.05084278	0.999997317	0.999999999	8.928571429	0.004755692	0.055598472	-0.05084278	-0.001512937	Stable
AT1G51580	-0.035952294	0.99999864	0.999999999	12.92857143	0.003188594	0.039140888	-0.035952294	-0.001512647	Stable
AT4G02010	-0.029912097	0.999999097	0.999999999	15.78571429	0.0025798	0.032491897	-0.029912097	-0.001488204	Stable
AT1G51450	-0.057877468	0.999996614	0.999999999	7.785714286	0.00552919	0.063406658	-0.057877468	-0.001483076	Stable
AT4G33440	-0.057877468	0.999996614	0.999999999	7.785714286	0.00552919	0.063406658	-0.057877468	-0.001483076	Stable
AT4G13970	-0.051986403	0.999997074	0.999999999	8.714285714	0.0049201	0.056906504	-0.051986403	-0.001473104	Stable
AT4G34390	-0.051986403	0.999997074	0.999999999	8.714285714	0.0049201	0.056906504	-0.051986403	-0.001473104	Stable
AT5G63770	-0.048581091	0.99999731	0.999999999	9.357142857	0.004581049	0.05316214	-0.048581091	-0.001455549	Stable
AT1G77660	-0.078806737	0.999994965	0.999999999	5.642857143	0.007765028	0.086571765	-0.078806737	-0.001453439	Stable
AT5G15710	-0.078806737	0.999994965	0.999999999	5.642857143	0.007765028	0.086571765	-0.078806737	-0.001453439	Stable
AT5G36930	-0.078806737	0.999994965	0.999999999	5.642857143	0.007765028	0.086571765	-0.078806737	-0.001453439	Stable
AT5G45030	-0.078806737	0.999994965	0.999999999	5.642857143	0.007765028	0.086571765	-0.078806737	-0.001453439	Stable
AT5G60280	-0.078806737	0.999994965	0.999999999	5.642857143	0.007765028	0.086571765	-0.078806737	-0.001453439	Stable
AT1G03000	-0.033020085	0.999998687	0.999999999	14.14285714	0.00296673	0.035986815	-0.033020085	-0.001434123	Stable
AT4G34240	-0.01527222	0.999999897	0.999999999	33.92857143	0.001131217	0.016403437	-0.01527222	-0.001404553	Stable
AT2G44140	-0.034604216	0.999998443	0.999999999	13.42857143	0.003168855	0.037773071	-0.034604216	-0.001402118	Stable
AT3G48860	-0.022654539	0.999999488	0.999999999	21.42857143	0.00191453	0.024569069	-0.022654539	-0.001398919	Stable
AT1G03370	-0.044957608	0.999997398	0.999999999	10.14285714	0.004272657	0.049230265	-0.044957608	-0.001389477	Stable
AT3G06660	-0.044957608	0.999997398	0.999999999	10.14285714	0.004272657	0.049230265	-0.044957608	-0.001389477	Stable
AT3G48195	-0.044957608	0.999997398	0.999999999	10.14285714	0.004272657	0.049230265	-0.044957608	-0.001389477	Stable
AT1G12680	-0.03442038	0.999998415	0.999999999	13.5	0.003165559	0.037585939	-0.03442038	-0.001387592	Stable
AT1G69960	-0.0122601	0.999999964	0.999999999	44.42857143	0.000835074	0.013095174	-0.0122601	-0.001385622	Stable
AT1G67792	-0.063974324	0.999995733	0.999999999	7	0.006279435	0.070253759	-0.063974324	-0.001384937	Stable
AT1G69370	-0.04746764	0.999997086	0.999999999	9.571428571	0.004558151	0.052025791	-0.04746764	-0.001370224	Stable
AT2G32170	-0.020004274	0.999999618	0.999999999	24.64285714	0.001673856	0.021678131	-0.020004274	-0.001364265	Stable
AT2G28320	-0.026416588	0.999999051	0.999999999	18	0.002374169	0.028790757	-0.026416588	-0.001341345	Stable
AT1G73390	-0.017574258	0.999999726	0.999999999	28.57142857	0.001453846	0.019028104	-0.017574258	-0.001331891	Stable
AT1G70060	-0.029869595	0.999998661	0.999999999	15.71428571	0.002759059	0.032628654	-0.029869595	-0.001321969	Stable
AT3G10140	-0.031586186	0.999998485	0.999999999	14.78571429	0.002940559	0.034526745	-0.031586186	-0.00132124	Stable
AT2G02970	-0.017411929	0.999999719	0.999999999	28.85714286	0.001451592	0.018863521	-0.017411929	-0.001318471	Stable
AT1G60790	-0.048080295	0.999996748	0.999999999	9.428571429	0.004697323	0.052777618	-0.048080295	-0.001302654	Stable
